dep,datetime,hosp,rea,rad,dc,population,hosp_pour_100k,rea_pour_100k,nbre_pass_corona
59,2020-09-24,236,41,2916,707,2604361,9.1,1.6,412.0
60,2020-09-24,154,8,1270,427,824503,18.7,1.0,56.0
61,2020-09-24,16,1,268,44,283372,5.6,0.4,10.0
62,2020-09-24,111,20,1572,335,1468018,7.6,1.4,64.0
63,2020-09-24,52,5,218,51,653742,8.0,0.8,44.0
64,2020-09-24,32,4,259,31,677309,4.7,0.6,64.0
65,2020-09-24,7,1,172,27,228530,3.1,0.4,2.0
66,2020-09-24,19,5,306,39,474452,4.0,1.1,36.0
67,2020-09-24,41,11,2865,704,1125559,3.6,1.0,78.0
68,2020-09-24,42,3,3218,840,764030,5.5,0.4,26.0
69,2020-09-24,346,62,3646,711,1843319,18.8,3.4,548.0
70,2020-09-24,2,0,309,77,236659,0.8,0.0,0.0
71,2020-09-24,44,1,823,209,553595,7.9,0.2,166.0
72,2020-09-24,36,4,471,94,566506,6.4,0.7,186.0
73,2020-09-24,18,7,461,75,431174,4.2,1.6,24.0
74,2020-09-24,23,2,980,175,807360,2.8,0.2,146.0
75,2020-09-24,346,87,7112,1855,2187526,15.8,4.0,702.0
76,2020-09-24,95,16,907,191,1254378,7.6,1.3,214.0
77,2020-09-24,120,30,3050,725,1403997,8.5,2.1,254.0
78,2020-09-24,200,23,2706,566,1438266,13.9,1.6,374.0
79,2020-09-24,3,1,75,22,374351,0.8,0.3,6.0
80,2020-09-24,40,6,778,237,572443,7.0,1.0,104.0
81,2020-09-24,20,5,144,23,387890,5.2,1.3,46.0
82,2020-09-24,15,4,54,8,258349,5.8,1.5,96.0
83,2020-09-24,54,13,1162,155,1058740,5.1,1.2,134.0
84,2020-09-24,70,11,354,57,559479,12.5,2.0,114.0
85,2020-09-24,14,0,298,44,675247,2.1,0.0,32.0
86,2020-09-24,8,1,167,41,436876,1.8,0.2,28.0
87,2020-09-24,29,4,152,30,374426,7.7,1.1,60.0
88,2020-09-24,5,0,764,267,367673,1.4,0.0,20.0
89,2020-09-24,13,3,431,95,338291,3.8,0.9,102.0
90,2020-09-24,6,4,578,201,142622,4.2,2.8,22.0
91,2020-09-24,147,24,3013,642,1296130,11.3,1.9,278.0
92,2020-09-24,269,53,5400,1140,1609306,16.7,3.3,356.0
93,2020-09-24,357,44,4604,1053,1623111,22.0,2.7,804.0
94,2020-09-24,308,38,4959,1262,1387926,22.2,2.7,500.0
95,2020-09-24,118,22,3141,763,1228618,9.6,1.8,616.0
971,2020-09-24,137,26,249,53,390253,35.1,6.7,380.0
972,2020-09-24,25,8,124,20,372594,6.7,2.1,0.0
973,2020-09-24,23,8,1697,61,268700,8.6,3.0,44.0
974,2020-09-24,68,18,367,16,853659,8.0,2.1,62.0
976,2020-09-24,7,2,453,28,256518,2.7,0.8,12.0
01,2020-09-25,42,5,485,110,643350,6.5,0.8,68.0
02,2020-09-25,44,1,1160,289,534490,8.2,0.2,86.0
03,2020-09-25,23,3,226,43,337988,6.8,0.9,28.0
04,2020-09-25,8,1,152,15,163915,4.9,0.6,36.0
05,2020-09-25,7,4,154,20,141284,5.0,2.8,26.0
06,2020-09-25,138,12,1083,220,1083310,12.7,1.1,154.0
07,2020-09-25,11,4,464,120,325712,3.4,1.2,30.0
08,2020-09-25,8,3,230,63,273579,2.9,1.1,4.0
09,2020-09-25,7,3,37,2,153153,4.6,2.0,14.0
10,2020-09-25,23,3,670,137,310020,7.4,1.0,34.0
11,2020-09-25,11,3,252,60,370260,3.0,0.8,18.0
12,2020-09-25,13,2,169,26,279206,4.7,0.7,4.0
13,2020-09-25,508,125,4860,641,2024162,25.1,6.2,708.0
14,2020-09-25,32,6,380,86,694002,4.6,0.9,62.0
15,2020-09-25,10,0,61,12,145143,6.9,0.0,8.0
16,2020-09-25,3,0,66,14,352335,0.9,0.0,26.0
17,2020-09-25,15,4,160,54,644303,2.3,0.6,58.0
18,2020-09-25,20,1,216,91,304256,6.6,0.3,38.0
19,2020-09-25,7,1,171,42,241464,2.9,0.4,12.0
21,2020-09-25,22,4,984,254,533819,4.1,0.7,82.0
22,2020-09-25,15,2,247,42,598814,2.5,0.3,40.0
23,2020-09-25,0,0,88,16,118638,0.0,0.0,4.0
24,2020-09-25,16,3,104,14,413606,3.9,0.7,30.0
25,2020-09-25,9,2,657,154,539067,1.7,0.4,52.0
26,2020-09-25,18,3,559,130,511553,3.5,0.6,82.0
27,2020-09-25,48,7,292,90,601843,8.0,1.2,52.0
28,2020-09-25,19,2,625,147,433233,4.4,0.5,50.0
29,2020-09-25,19,2,216,46,909028,2.1,0.2,24.0
2A,2020-09-25,16,2,159,48,157249,10.2,1.3,6.0
2B,2020-09-25,12,2,129,15,177689,6.8,1.1,38.0
30,2020-09-25,53,14,431,104,744178,7.1,1.9,76.0
31,2020-09-25,94,30,918,98,1362672,6.9,2.2,326.0
32,2020-09-25,7,1,95,28,191091,3.7,0.5,6.0
33,2020-09-25,168,33,1231,185,1583384,10.6,2.1,278.0
34,2020-09-25,93,28,909,143,1144892,8.1,2.4,186.0
35,2020-09-25,77,8,570,96,1060199,7.3,0.8,88.0
36,2020-09-25,5,0,199,82,222232,2.2,0.0,12.0
37,2020-09-25,40,8,417,97,606511,6.6,1.3,40.0
38,2020-09-25,112,18,865,169,1258722,8.9,1.4,164.0
39,2020-09-25,9,1,332,60,260188,3.5,0.4,16.0
40,2020-09-25,7,3,88,13,407444,1.7,0.7,16.0
41,2020-09-25,6,1,354,68,331915,1.8,0.3,56.0
42,2020-09-25,122,21,1113,265,762941,16.0,2.8,160.0
43,2020-09-25,18,0,116,19,227283,7.9,0.0,2.0
44,2020-09-25,59,11,831,176,1394909,4.2,0.8,78.0
45,2020-09-25,45,11,709,107,678105,6.6,1.6,52.0
46,2020-09-25,0,0,72,22,173828,0.0,0.0,4.0
47,2020-09-25,13,5,104,13,332842,3.9,1.5,40.0
48,2020-09-25,4,0,31,1,76601,5.2,0.0,0.0
49,2020-09-25,48,7,732,146,813493,5.9,0.9,56.0
50,2020-09-25,13,2,189,52,496883,2.6,0.4,42.0
51,2020-09-25,36,5,1089,281,568895,6.3,0.9,56.0
52,2020-09-25,9,0,277,90,175640,5.1,0.0,4.0
53,2020-09-25,8,2,262,48,307445,2.6,0.7,28.0
54,2020-09-25,42,3,1333,374,733481,5.7,0.4,40.0
55,2020-09-25,8,0,506,103,187187,4.3,0.0,6.0
56,2020-09-25,70,1,459,98,750863,9.3,0.1,452.0
57,2020-09-25,56,3,2668,867,1043522,5.4,0.3,106.0
58,2020-09-25,1,1,112,28,207182,0.5,0.5,16.0
59,2020-09-25,249,47,2937,708,2604361,9.6,1.8,418.0
60,2020-09-25,127,10,1291,427,824503,15.4,1.2,56.0
61,2020-09-25,15,1,270,44,283372,5.3,0.4,10.0
62,2020-09-25,109,23,1583,337,1468018,7.4,1.6,70.0
63,2020-09-25,54,4,220,52,653742,8.3,0.6,42.0
64,2020-09-25,30,5,264,35,677309,4.4,0.7,54.0
65,2020-09-25,8,2,172,27,228530,3.5,0.9,4.0
66,2020-09-25,23,6,306,39,474452,4.8,1.3,40.0
67,2020-09-25,47,15,2869,704,1125559,4.2,1.3,82.0
68,2020-09-25,42,3,3219,840,764030,5.5,0.4,24.0
69,2020-09-25,339,62,3678,716,1843319,18.4,3.4,518.0
70,2020-09-25,2,0,309,77,236659,0.8,0.0,2.0
71,2020-09-25,47,2,829,210,553595,8.5,0.4,158.0
72,2020-09-25,37,3,473,94,566506,6.5,0.5,164.0
73,2020-09-25,19,8,463,75,431174,4.4,1.9,20.0
74,2020-09-25,25,2,981,175,807360,3.1,0.2,148.0
75,2020-09-25,350,85,7139,1856,2187526,16.0,3.9,688.0
76,2020-09-25,104,15,917,193,1254378,8.3,1.2,224.0
77,2020-09-25,128,32,3060,726,1403997,9.1,2.3,240.0
78,2020-09-25,196,24,2720,566,1438266,13.6,1.7,344.0
79,2020-09-25,5,1,75,22,374351,1.3,0.3,8.0
80,2020-09-25,44,5,780,239,572443,7.7,0.9,106.0
81,2020-09-25,21,5,145,23,387890,5.4,1.3,52.0
82,2020-09-25,15,5,56,8,258349,5.8,1.9,84.0
83,2020-09-25,51,14,1169,157,1058740,4.8,1.3,122.0
84,2020-09-25,76,12,354,58,559479,13.6,2.1,106.0
85,2020-09-25,16,0,298,44,675247,2.4,0.0,28.0
86,2020-09-25,8,1,168,41,436876,1.8,0.2,34.0
87,2020-09-25,28,3,154,32,374426,7.5,0.8,42.0
88,2020-09-25,6,0,764,267,367673,1.6,0.0,20.0
89,2020-09-25,14,3,431,95,338291,4.1,0.9,98.0
90,2020-09-25,6,4,578,201,142622,4.2,2.8,24.0
91,2020-09-25,154,23,3027,642,1296130,11.9,1.8,250.0
92,2020-09-25,274,60,5416,1141,1609306,17.0,3.7,314.0
93,2020-09-25,384,48,4623,1055,1623111,23.7,3.0,742.0
94,2020-09-25,320,42,4981,1262,1387926,23.1,3.0,508.0
95,2020-09-25,123,25,3148,765,1228618,10.0,2.0,578.0
971,2020-09-25,144,28,277,59,390253,36.9,7.2,360.0
972,2020-09-25,27,11,126,20,372594,7.2,3.0,0.0
973,2020-09-25,19,6,1701,61,268700,7.1,2.2,40.0
974,2020-09-25,69,17,368,16,853659,8.1,2.0,66.0
976,2020-09-25,8,3,453,28,256518,3.1,1.2,12.0
01,2020-09-26,42,5,488,110,643350,6.5,0.8,66.0
02,2020-09-26,41,3,1165,290,534490,7.7,0.6,88.0
03,2020-09-26,23,2,229,43,337988,6.8,0.6,34.0
04,2020-09-26,10,0,153,15,163915,6.1,0.0,38.0
05,2020-09-26,8,3,155,21,141284,5.7,2.1,14.0
06,2020-09-26,123,14,1102,221,1083310,11.4,1.3,134.0
07,2020-09-26,9,4,466,120,325712,2.8,1.2,26.0
08,2020-09-26,7,2,232,63,273579,2.6,0.7,4.0
09,2020-09-26,7,3,37,2,153153,4.6,2.0,16.0
10,2020-09-26,23,3,672,137,310020,7.4,1.0,36.0
11,2020-09-26,10,2,253,60,370260,2.7,0.5,18.0
12,2020-09-26,13,3,170,26,279206,4.7,1.1,4.0
13,2020-09-26,503,128,4926,644,2024162,24.8,6.3,642.0
14,2020-09-26,31,7,383,87,694002,4.5,1.0,58.0
15,2020-09-26,15,0,61,12,145143,10.3,0.0,10.0
16,2020-09-26,4,0,66,14,352335,1.1,0.0,20.0
17,2020-09-26,20,3,160,54,644303,3.1,0.5,68.0
18,2020-09-26,19,1,218,91,304256,6.2,0.3,36.0
19,2020-09-26,8,1,171,42,241464,3.3,0.4,18.0
21,2020-09-26,27,5,984,254,533819,5.1,0.9,74.0
22,2020-09-26,14,2,249,42,598814,2.3,0.3,42.0
23,2020-09-26,0,0,88,16,118638,0.0,0.0,4.0
24,2020-09-26,15,3,105,14,413606,3.6,0.7,28.0
25,2020-09-26,11,4,657,154,539067,2.0,0.7,42.0
26,2020-09-26,20,4,559,130,511553,3.9,0.8,80.0
27,2020-09-26,55,8,293,90,601843,9.1,1.3,50.0
28,2020-09-26,19,1,625,147,433233,4.4,0.2,48.0
29,2020-09-26,22,2,216,46,909028,2.4,0.2,16.0
2A,2020-09-26,12,1,161,50,157249,7.6,0.6,4.0
2B,2020-09-26,12,2,129,15,177689,6.8,1.1,32.0
30,2020-09-26,50,14,436,104,744178,6.7,1.9,64.0
31,2020-09-26,96,31,935,98,1362672,7.0,2.3,326.0
32,2020-09-26,10,1,95,28,191091,5.2,0.5,8.0
33,2020-09-26,160,31,1243,186,1583384,10.1,2.0,234.0
34,2020-09-26,88,29,918,144,1144892,7.7,2.5,180.0
35,2020-09-26,78,8,571,97,1060199,7.4,0.8,98.0
36,2020-09-26,7,0,199,82,222232,3.1,0.0,16.0
37,2020-09-26,40,8,417,97,606511,6.6,1.3,42.0
38,2020-09-26,119,18,869,170,1258722,9.5,1.4,164.0
39,2020-09-26,7,0,335,60,260188,2.7,0.0,24.0
40,2020-09-26,7,2,88,14,407444,1.7,0.5,14.0
41,2020-09-26,8,1,354,68,331915,2.4,0.3,54.0
42,2020-09-26,137,20,1116,265,762941,18.0,2.6,148.0
43,2020-09-26,19,0,116,19,227283,8.4,0.0,4.0
44,2020-09-26,63,9,836,176,1394909,4.5,0.6,78.0
45,2020-09-26,39,8,717,108,678105,5.8,1.2,38.0
46,2020-09-26,0,0,72,22,173828,0.0,0.0,4.0
47,2020-09-26,14,5,105,13,332842,4.2,1.5,42.0
48,2020-09-26,4,0,31,1,76601,5.2,0.0,0.0
49,2020-09-26,44,7,738,146,813493,5.4,0.9,52.0
50,2020-09-26,13,2,191,52,496883,2.6,0.4,40.0
51,2020-09-26,37,6,1092,281,568895,6.5,1.1,48.0
52,2020-09-26,8,0,278,92,175640,4.6,0.0,2.0
53,2020-09-26,8,1,263,49,307445,2.6,0.3,28.0
54,2020-09-26,47,3,1336,373,733481,6.4,0.4,44.0
55,2020-09-26,7,0,507,103,187187,3.7,0.0,6.0
56,2020-09-26,70,1,461,98,750863,9.3,0.1,466.0
57,2020-09-26,49,2,2675,867,1043522,4.7,0.2,86.0
58,2020-09-26,1,1,112,28,207182,0.5,0.5,16.0
59,2020-09-26,251,51,2958,708,2604361,9.6,2.0,394.0
60,2020-09-26,125,11,1297,427,824503,15.2,1.3,56.0
61,2020-09-26,14,1,272,45,283372,4.9,0.4,8.0
62,2020-09-26,112,26,1592,338,1468018,7.6,1.8,68.0
63,2020-09-26,53,4,225,53,653742,8.1,0.6,44.0
64,2020-09-26,31,5,264,35,677309,4.6,0.7,46.0
65,2020-09-26,8,2,172,27,228530,3.5,0.9,4.0
66,2020-09-26,23,6,306,39,474452,4.8,1.3,42.0
67,2020-09-26,45,15,2871,704,1125559,4.0,1.3,76.0
68,2020-09-26,38,3,3223,840,764030,5.0,0.4,24.0
69,2020-09-26,335,59,3699,718,1843319,18.2,3.2,520.0
70,2020-09-26,2,0,309,77,236659,0.8,0.0,2.0
71,2020-09-26,49,3,829,210,553595,8.9,0.5,150.0
72,2020-09-26,35,2,474,95,566506,6.2,0.4,158.0
73,2020-09-26,21,8,463,75,431174,4.9,1.9,24.0
74,2020-09-26,27,2,981,175,807360,3.3,0.2,142.0
75,2020-09-26,347,86,7159,1862,2187526,15.9,3.9,716.0
76,2020-09-26,105,15,923,193,1254378,8.4,1.2,228.0
77,2020-09-26,127,28,3068,729,1403997,9.0,2.0,242.0
78,2020-09-26,195,23,2732,566,1438266,13.6,1.6,334.0
79,2020-09-26,7,1,75,22,374351,1.9,0.3,10.0
80,2020-09-26,45,5,780,239,572443,7.9,0.9,102.0
81,2020-09-26,25,5,145,23,387890,6.4,1.3,32.0
82,2020-09-26,19,5,56,8,258349,7.4,1.9,74.0
83,2020-09-26,53,15,1173,157,1058740,5.0,1.4,88.0
84,2020-09-26,82,12,363,58,559479,14.7,2.1,104.0
85,2020-09-26,16,2,298,44,675247,2.4,0.3,26.0
86,2020-09-26,7,1,169,41,436876,1.6,0.2,36.0
87,2020-09-26,29,5,157,33,374426,7.7,1.3,40.0
88,2020-09-26,4,0,766,268,367673,1.1,0.0,18.0
89,2020-09-26,14,2,432,95,338291,4.1,0.6,82.0
90,2020-09-26,6,4,578,201,142622,4.2,2.8,18.0
91,2020-09-26,153,23,3034,642,1296130,11.8,1.8,266.0
92,2020-09-26,276,62,5426,1142,1609306,17.2,3.9,296.0
93,2020-09-26,387,51,4632,1055,1623111,23.8,3.1,684.0
94,2020-09-26,321,46,4994,1262,1387926,23.1,3.3,458.0
95,2020-09-26,150,24,3152,766,1228618,12.2,2.0,536.0
971,2020-09-26,144,28,292,60,390253,36.9,7.2,352.0
972,2020-09-26,28,11,126,21,372594,7.5,3.0,0.0
973,2020-09-26,20,7,1701,61,268700,7.4,2.6,38.0
974,2020-09-26,63,18,374,17,853659,7.4,2.1,62.0
976,2020-09-26,9,4,453,28,256518,3.5,1.6,10.0
01,2020-09-27,42,5,488,110,643350,6.5,0.8,54.0
02,2020-09-27,43,3,1165,290,534490,8.0,0.6,96.0
03,2020-09-27,25,2,229,43,337988,7.4,0.6,28.0
04,2020-09-27,11,0,153,15,163915,6.7,0.0,30.0
05,2020-09-27,8,4,155,21,141284,5.7,2.8,22.0
06,2020-09-27,120,14,1105,221,1083310,11.1,1.3,130.0
07,2020-09-27,9,4,466,120,325712,2.8,1.2,22.0
08,2020-09-27,7,2,233,64,273579,2.6,0.7,0.0
09,2020-09-27,7,3,37,2,153153,4.6,2.0,16.0
10,2020-09-27,23,3,672,137,310020,7.4,1.0,32.0
11,2020-09-27,10,2,254,60,370260,2.7,0.5,16.0
12,2020-09-27,13,3,170,26,279206,4.7,1.1,4.0
13,2020-09-27,504,126,4948,647,2024162,24.9,6.2,596.0
14,2020-09-27,31,7,384,87,694002,4.5,1.0,54.0
15,2020-09-27,15,0,61,12,145143,10.3,0.0,8.0
16,2020-09-27,4,0,66,14,352335,1.1,0.0,18.0
17,2020-09-27,20,3,160,54,644303,3.1,0.5,56.0
18,2020-09-27,19,1,218,91,304256,6.2,0.3,38.0
19,2020-09-27,9,1,171,42,241464,3.7,0.4,14.0
21,2020-09-27,27,5,984,254,533819,5.1,0.9,66.0
22,2020-09-27,16,3,249,42,598814,2.7,0.5,42.0
23,2020-09-27,0,0,88,16,118638,0.0,0.0,4.0
24,2020-09-27,12,2,108,14,413606,2.9,0.5,26.0
25,2020-09-27,11,4,657,154,539067,2.0,0.7,40.0
26,2020-09-27,19,4,560,131,511553,3.7,0.8,90.0
27,2020-09-27,55,8,293,90,601843,9.1,1.3,50.0
28,2020-09-27,19,1,625,147,433233,4.4,0.2,40.0
29,2020-09-27,23,2,216,46,909028,2.5,0.2,20.0
2A,2020-09-27,12,1,161,50,157249,7.6,0.6,8.0
2B,2020-09-27,12,2,129,15,177689,6.8,1.1,28.0
30,2020-09-27,50,14,436,104,744178,6.7,1.9,60.0
31,2020-09-27,101,31,935,98,1362672,7.4,2.3,326.0
32,2020-09-27,10,1,95,28,191091,5.2,0.5,8.0
33,2020-09-27,159,32,1245,186,1583384,10.0,2.0,196.0
34,2020-09-27,90,32,918,145,1144892,7.9,2.8,196.0
35,2020-09-27,78,8,571,97,1060199,7.4,0.8,100.0
36,2020-09-27,7,0,199,82,222232,3.1,0.0,16.0
37,2020-09-27,41,8,417,97,606511,6.8,1.3,42.0
38,2020-09-27,113,19,879,171,1258722,9.0,1.5,162.0
39,2020-09-27,7,0,335,60,260188,2.7,0.0,24.0
40,2020-09-27,7,2,88,14,407444,1.7,0.5,12.0
41,2020-09-27,8,1,354,68,331915,2.4,0.3,50.0
42,2020-09-27,143,21,1117,265,762941,18.7,2.8,146.0
43,2020-09-27,19,0,116,19,227283,8.4,0.0,6.0
44,2020-09-27,61,8,838,176,1394909,4.4,0.6,64.0
45,2020-09-27,39,8,717,108,678105,5.8,1.2,44.0
46,2020-09-27,0,0,72,22,173828,0.0,0.0,4.0
47,2020-09-27,14,4,106,13,332842,4.2,1.2,46.0
48,2020-09-27,4,0,31,1,76601,5.2,0.0,0.0
49,2020-09-27,44,7,738,146,813493,5.4,0.9,46.0
50,2020-09-27,15,2,191,52,496883,3.0,0.4,32.0
51,2020-09-27,38,6,1093,281,568895,6.7,1.1,44.0
52,2020-09-27,9,0,278,92,175640,5.1,0.0,2.0
53,2020-09-27,9,1,263,49,307445,2.9,0.3,30.0
54,2020-09-27,47,3,1336,373,733481,6.4,0.4,38.0
55,2020-09-27,7,0,507,103,187187,3.7,0.0,6.0
56,2020-09-27,71,1,461,98,750863,9.5,0.1,486.0
57,2020-09-27,49,2,2675,867,1043522,4.7,0.2,78.0
58,2020-09-27,1,1,112,28,207182,0.5,0.5,12.0
59,2020-09-27,259,54,2960,709,2604361,9.9,2.1,366.0
60,2020-09-27,127,11,1298,427,824503,15.4,1.3,48.0
61,2020-09-27,14,1,272,45,283372,4.9,0.4,8.0
62,2020-09-27,111,24,1594,338,1468018,7.6,1.6,62.0
63,2020-09-27,53,5,227,54,653742,8.1,0.8,38.0
64,2020-09-27,31,3,264,37,677309,4.6,0.4,36.0
65,2020-09-27,9,3,172,27,228530,3.9,1.3,4.0
66,2020-09-27,23,6,306,39,474452,4.8,1.3,40.0
67,2020-09-27,45,15,2871,704,1125559,4.0,1.3,80.0
68,2020-09-27,38,3,3223,840,764030,5.0,0.4,28.0
69,2020-09-27,353,61,3707,718,1843319,19.2,3.3,506.0
70,2020-09-27,2,0,309,77,236659,0.8,0.0,4.0
71,2020-09-27,51,4,829,210,553595,9.2,0.7,130.0
72,2020-09-27,35,2,474,95,566506,6.2,0.4,168.0
73,2020-09-27,21,8,463,75,431174,4.9,1.9,24.0
74,2020-09-27,27,2,981,175,807360,3.3,0.2,136.0
75,2020-09-27,364,91,7169,1863,2187526,16.6,4.2,724.0
76,2020-09-27,110,17,924,194,1254378,8.8,1.4,202.0
77,2020-09-27,132,26,3074,730,1403997,9.4,1.9,222.0
78,2020-09-27,194,23,2733,566,1438266,13.5,1.6,312.0
79,2020-09-27,7,1,75,22,374351,1.9,0.3,12.0
80,2020-09-27,46,5,782,240,572443,8.0,0.9,92.0
81,2020-09-27,26,6,145,23,387890,6.7,1.5,28.0
82,2020-09-27,19,5,56,8,258349,7.4,1.9,72.0
83,2020-09-27,54,14,1173,157,1058740,5.1,1.3,96.0
84,2020-09-27,80,12,368,59,559479,14.3,2.1,84.0
85,2020-09-27,15,2,299,44,675247,2.2,0.3,30.0
86,2020-09-27,7,1,169,41,436876,1.6,0.2,38.0
87,2020-09-27,29,5,157,34,374426,7.7,1.3,50.0
88,2020-09-27,4,0,766,268,367673,1.1,0.0,18.0
89,2020-09-27,14,2,432,95,338291,4.1,0.6,82.0
90,2020-09-27,6,4,578,201,142622,4.2,2.8,18.0
91,2020-09-27,155,23,3037,642,1296130,12.0,1.8,268.0
92,2020-09-27,290,63,5431,1144,1609306,18.0,3.9,304.0
93,2020-09-27,390,49,4634,1059,1623111,24.0,3.0,628.0
94,2020-09-27,313,40,5005,1262,1387926,22.6,2.9,458.0
95,2020-09-27,150,24,3158,769,1228618,12.2,2.0,530.0
971,2020-09-27,144,28,292,60,390253,36.9,7.2,348.0
972,2020-09-27,31,15,127,21,372594,8.3,4.0,0.0
973,2020-09-27,22,6,1701,61,268700,8.2,2.2,26.0
974,2020-09-27,59,17,378,18,853659,6.9,2.0,68.0
976,2020-09-27,8,4,454,28,256518,3.1,1.6,12.0
01,2020-09-28,45,5,489,110,643350,7.0,0.8,42.0
02,2020-09-28,51,5,1165,290,534490,9.5,0.9,96.0
03,2020-09-28,24,2,230,43,337988,7.1,0.6,28.0
04,2020-09-28,10,0,154,15,163915,6.1,0.0,28.0
05,2020-09-28,8,4,155,21,141284,5.7,2.8,22.0
06,2020-09-28,117,16,1118,222,1083310,10.8,1.5,116.0
07,2020-09-28,9,4,466,120,325712,2.8,1.2,14.0
08,2020-09-28,10,2,233,64,273579,3.7,0.7,0.0
09,2020-09-28,8,3,37,2,153153,5.2,2.0,14.0
10,2020-09-28,21,3,675,138,310020,6.8,1.0,26.0
11,2020-09-28,9,2,255,60,370260,2.4,0.5,14.0
12,2020-09-28,14,4,170,26,279206,5.0,1.4,4.0
13,2020-09-28,503,120,4996,658,2024162,24.8,5.9,560.0
14,2020-09-28,31,6,384,87,694002,4.5,0.9,60.0
15,2020-09-28,15,1,61,13,145143,10.3,0.7,6.0
16,2020-09-28,5,0,67,14,352335,1.4,0.0,18.0
17,2020-09-28,21,3,160,54,644303,3.3,0.5,52.0
18,2020-09-28,20,1,218,91,304256,6.6,0.3,28.0
19,2020-09-28,10,1,171,42,241464,4.1,0.4,12.0
21,2020-09-28,26,5,987,254,533819,4.9,0.9,72.0
22,2020-09-28,16,3,249,42,598814,2.7,0.5,42.0
23,2020-09-28,0,0,88,16,118638,0.0,0.0,2.0
24,2020-09-28,14,2,108,14,413606,3.4,0.5,28.0
25,2020-09-28,7,4,662,154,539067,1.3,0.7,40.0
26,2020-09-28,24,5,561,131,511553,4.7,1.0,86.0
27,2020-09-28,53,9,297,91,601843,8.8,1.5,32.0
28,2020-09-28,21,1,625,147,433233,4.8,0.2,36.0
29,2020-09-28,24,2,216,47,909028,2.6,0.2,22.0
2A,2020-09-28,11,1,162,50,157249,7.0,0.6,6.0
2B,2020-09-28,13,2,129,15,177689,7.3,1.1,32.0
30,2020-09-28,53,14,438,105,744178,7.1,1.9,54.0
31,2020-09-28,101,34,942,100,1362672,7.4,2.5,314.0
32,2020-09-28,9,1,96,28,191091,4.7,0.5,8.0
33,2020-09-28,174,31,1248,190,1583384,11.0,2.0,192.0
34,2020-09-28,97,32,920,147,1144892,8.5,2.8,208.0
35,2020-09-28,83,10,573,98,1060199,7.8,0.9,98.0
36,2020-09-28,7,0,199,82,222232,3.1,0.0,16.0
37,2020-09-28,37,6,425,98,606511,6.1,1.0,38.0
38,2020-09-28,116,19,883,172,1258722,9.2,1.5,158.0
39,2020-09-28,8,0,334,60,260188,3.1,0.0,26.0
40,2020-09-28,8,2,89,14,407444,2.0,0.5,20.0
41,2020-09-28,10,1,353,68,331915,3.0,0.3,52.0
42,2020-09-28,137,21,1129,268,762941,18.0,2.8,160.0
43,2020-09-28,19,0,116,19,227283,8.4,0.0,6.0
44,2020-09-28,61,9,840,176,1394909,4.4,0.6,76.0
45,2020-09-28,40,8,717,108,678105,5.9,1.2,36.0
46,2020-09-28,0,0,72,22,173828,0.0,0.0,6.0
47,2020-09-28,13,3,106,14,332842,3.9,0.9,42.0
48,2020-09-28,4,0,31,1,76601,5.2,0.0,0.0
49,2020-09-28,50,7,740,147,813493,6.1,0.9,40.0
50,2020-09-28,15,1,191,52,496883,3.0,0.2,32.0
51,2020-09-28,38,7,1097,282,568895,6.7,1.2,38.0
52,2020-09-28,10,1,279,92,175640,5.7,0.6,4.0
53,2020-09-28,9,1,263,49,307445,2.9,0.3,28.0
54,2020-09-28,47,3,1336,373,733481,6.4,0.4,42.0
55,2020-09-28,9,0,507,103,187187,4.8,0.0,6.0
56,2020-09-28,70,1,462,98,750863,9.3,0.1,350.0
57,2020-09-28,45,2,2680,867,1043522,4.3,0.2,72.0
58,2020-09-28,1,1,112,28,207182,0.5,0.5,16.0
59,2020-09-28,280,60,2966,712,2604361,10.8,2.3,350.0
60,2020-09-28,123,11,1302,427,824503,14.9,1.3,42.0
61,2020-09-28,14,1,272,45,283372,4.9,0.4,6.0
62,2020-09-28,111,21,1599,338,1468018,7.6,1.4,56.0
63,2020-09-28,56,8,228,55,653742,8.6,1.2,38.0
64,2020-09-28,34,5,267,38,677309,5.0,0.7,36.0
65,2020-09-28,10,3,172,27,228530,4.4,1.3,4.0
66,2020-09-28,23,4,309,39,474452,4.8,0.8,38.0
67,2020-09-28,46,14,2874,705,1125559,4.1,1.2,78.0
68,2020-09-28,44,4,3224,840,764030,5.8,0.5,30.0
69,2020-09-28,341,69,3753,723,1843319,18.5,3.7,480.0
70,2020-09-28,0,0,311,77,236659,0.0,0.0,4.0
71,2020-09-28,50,4,835,211,553595,9.0,0.7,110.0
72,2020-09-28,42,2,477,95,566506,7.4,0.4,170.0
73,2020-09-28,21,7,466,77,431174,4.9,1.6,26.0
74,2020-09-28,32,2,982,175,807360,4.0,0.2,132.0
75,2020-09-28,399,95,7178,1872,2187526,18.2,4.3,720.0
76,2020-09-28,126,20,929,196,1254378,10.0,1.6,192.0
77,2020-09-28,137,24,3080,732,1403997,9.8,1.7,218.0
78,2020-09-28,199,25,2742,566,1438266,13.8,1.7,298.0
79,2020-09-28,7,1,75,22,374351,1.9,0.3,18.0
80,2020-09-28,48,5,782,240,572443,8.4,0.9,76.0
81,2020-09-28,32,5,145,24,387890,8.2,1.3,30.0
82,2020-09-28,25,6,57,8,258349,9.7,2.3,80.0
