dep,datetime,hosp,rea,rad,dc,population,hosp_pour_100k,rea_pour_100k,nbre_pass_corona
971,2020-09-01,23,10,100,24,390253,5.9,2.6,176.0
972,2020-09-01,14,3,104,18,372594,3.8,0.8,0.0
973,2020-09-01,88,11,1536,56,268700,32.8,4.1,62.0
974,2020-09-01,70,14,224,10,853659,8.2,1.6,82.0
976,2020-09-01,6,2,445,28,256518,2.3,0.8,10.0
01,2020-09-02,28,2,463,106,643350,4.4,0.3,40.0
02,2020-09-02,38,1,1133,288,534490,7.1,0.2,42.0
03,2020-09-02,3,0,210,41,337988,0.9,0.0,10.0
04,2020-09-02,9,1,136,13,163915,5.5,0.6,20.0
05,2020-09-02,4,1,140,20,141284,2.8,0.7,10.0
06,2020-09-02,82,7,904,193,1083310,7.6,0.6,170.0
07,2020-09-02,12,1,449,116,325712,3.7,0.3,26.0
08,2020-09-02,3,0,221,60,273579,1.1,0.0,6.0
09,2020-09-02,1,1,34,2,153153,0.7,0.7,8.0
10,2020-09-02,14,0,654,137,310020,4.5,0.0,6.0
11,2020-09-02,7,1,240,59,370260,1.9,0.3,12.0
12,2020-09-02,7,0,151,24,279206,2.5,0.0,0.0
13,2020-09-02,259,47,3969,584,2024162,12.8,2.3,522.0
14,2020-09-02,1,0,354,84,694002,0.1,0.0,6.0
15,2020-09-02,3,1,53,9,145143,2.1,0.7,10.0
16,2020-09-02,1,0,61,13,352335,0.3,0.0,16.0
17,2020-09-02,4,1,154,51,644303,0.6,0.2,10.0
18,2020-09-02,0,0,208,85,304256,0.0,0.0,18.0
19,2020-09-02,2,0,161,37,241464,0.8,0.0,6.0
21,2020-09-02,7,1,960,251,533819,1.3,0.2,36.0
22,2020-09-02,7,0,233,40,598814,1.2,0.0,8.0
23,2020-09-02,0,0,86,15,118638,0.0,0.0,0.0
24,2020-09-02,4,1,99,14,413606,1.0,0.2,16.0
25,2020-09-02,3,1,644,152,539067,0.6,0.2,26.0
26,2020-09-02,6,1,544,128,511553,1.2,0.2,28.0
27,2020-09-02,15,0,273,85,601843,2.5,0.0,28.0
28,2020-09-02,9,1,607,145,433233,2.1,0.2,16.0
29,2020-09-02,9,1,198,44,909028,1.0,0.1,12.0
2A,2020-09-02,4,0,148,48,157249,2.5,0.0,10.0
2B,2020-09-02,7,2,111,11,177689,3.9,1.1,42.0
30,2020-09-02,17,4,384,99,744178,2.3,0.5,30.0
31,2020-09-02,59,10,740,83,1362672,4.3,0.7,142.0
32,2020-09-02,5,2,90,23,191091,2.6,1.0,10.0
33,2020-09-02,51,8,1042,166,1583384,3.2,0.5,250.0
34,2020-09-02,42,10,785,124,1144892,3.7,0.9,188.0
35,2020-09-02,35,4,511,89,1060199,3.3,0.4,36.0
36,2020-09-02,3,1,198,82,222232,1.3,0.4,4.0
37,2020-09-02,6,1,381,93,606511,1.0,0.2,18.0
38,2020-09-02,30,7,747,153,1258722,2.4,0.6,74.0
39,2020-09-02,2,0,328,60,260188,0.8,0.0,12.0
40,2020-09-02,2,0,76,13,407444,0.5,0.0,22.0
41,2020-09-02,13,0,334,65,331915,3.9,0.0,34.0
42,2020-09-02,45,2,1031,249,762941,5.9,0.3,40.0
43,2020-09-02,2,1,108,18,227283,0.9,0.4,2.0
44,2020-09-02,14,2,781,170,1394909,1.0,0.1,36.0
45,2020-09-02,27,6,676,104,678105,4.0,0.9,56.0
46,2020-09-02,1,0,70,22,173828,0.6,0.0,2.0
47,2020-09-02,7,1,89,12,332842,2.1,0.3,70.0
48,2020-09-02,2,0,24,1,76601,2.6,0.0,0.0
49,2020-09-02,24,7,686,143,813493,3.0,0.9,18.0
50,2020-09-02,8,0,174,50,496883,1.6,0.0,30.0
51,2020-09-02,48,4,1043,274,568895,8.4,0.7,30.0
52,2020-09-02,7,0,272,90,175640,4.0,0.0,12.0
53,2020-09-02,6,1,248,48,307445,2.0,0.3,24.0
54,2020-09-02,46,1,1280,367,733481,6.3,0.1,20.0
55,2020-09-02,2,0,504,103,187187,1.1,0.0,0.0
56,2020-09-02,14,0,449,96,750863,1.9,0.0,88.0
57,2020-09-02,89,2,2585,855,1043522,8.5,0.2,86.0
58,2020-09-02,2,0,99,28,207182,1.0,0.0,34.0
59,2020-09-02,139,18,2750,682,2604361,5.3,0.7,112.0
60,2020-09-02,120,1,1229,422,824503,14.6,0.1,12.0
61,2020-09-02,9,1,263,44,283372,3.2,0.4,10.0
62,2020-09-02,93,10,1444,323,1468018,6.3,0.7,16.0
63,2020-09-02,22,0,188,45,653742,3.4,0.0,18.0
64,2020-09-02,6,1,237,28,677309,0.9,0.1,46.0
65,2020-09-02,4,0,166,27,228530,1.8,0.0,0.0
66,2020-09-02,6,2,289,36,474452,1.3,0.4,16.0
67,2020-09-02,88,6,2771,689,1125559,7.8,0.5,42.0
68,2020-09-02,113,5,3102,831,764030,14.8,0.7,32.0
69,2020-09-02,136,23,3246,670,1843319,7.4,1.2,310.0
70,2020-09-02,0,0,309,77,236659,0.0,0.0,10.0
71,2020-09-02,6,3,796,202,553595,1.1,0.5,76.0
72,2020-09-02,27,2,439,89,566506,4.8,0.4,162.0
73,2020-09-02,8,0,434,75,431174,1.9,0.0,58.0
74,2020-09-02,29,1,944,171,807360,3.6,0.1,142.0
75,2020-09-02,294,41,6648,1812,2187526,13.4,1.9,274.0
76,2020-09-02,28,1,848,185,1254378,2.2,0.1,116.0
77,2020-09-02,143,16,2868,717,1403997,10.2,1.1,84.0
78,2020-09-02,238,14,2483,547,1438266,16.5,1.0,202.0
79,2020-09-02,0,0,73,22,374351,0.0,0.0,38.0
80,2020-09-02,42,3,764,233,572443,7.3,0.5,22.0
81,2020-09-02,6,1,134,23,387890,1.5,0.3,12.0
82,2020-09-02,4,1,44,7,258349,1.5,0.4,48.0
83,2020-09-02,50,3,1075,143,1058740,4.7,0.3,132.0
84,2020-09-02,20,4,278,42,559479,3.6,0.7,66.0
85,2020-09-02,7,0,284,43,675247,1.0,0.0,10.0
86,2020-09-02,0,0,155,40,436876,0.0,0.0,8.0
87,2020-09-02,5,1,136,25,374426,1.3,0.3,22.0
88,2020-09-02,14,0,751,267,367673,3.8,0.0,16.0
89,2020-09-02,8,1,416,95,338291,2.4,0.3,64.0
90,2020-09-02,2,1,566,200,142622,1.4,0.7,4.0
91,2020-09-02,210,13,2590,558,1296130,16.2,1.0,156.0
92,2020-09-02,500,31,4793,1118,1609306,31.1,1.9,154.0
93,2020-09-02,381,27,4195,1022,1623111,23.5,1.7,444.0
94,2020-09-02,301,16,4647,1233,1387926,21.7,1.2,222.0
95,2020-09-02,217,11,2804,732,1228618,17.7,0.9,276.0
971,2020-09-02,20,9,107,25,390253,5.1,2.3,206.0
972,2020-09-02,13,4,106,18,372594,3.5,1.1,0.0
973,2020-09-02,70,7,1555,57,268700,26.1,2.6,64.0
974,2020-09-02,71,14,228,10,853659,8.3,1.6,74.0
976,2020-09-02,6,2,445,28,256518,2.3,0.8,10.0
01,2020-09-03,27,2,463,107,643350,4.2,0.3,48.0
02,2020-09-03,36,1,1136,288,534490,6.7,0.2,66.0
03,2020-09-03,3,0,210,41,337988,0.9,0.0,14.0
04,2020-09-03,9,0,136,13,163915,5.5,0.0,22.0
05,2020-09-03,4,1,140,20,141284,2.8,0.7,6.0
06,2020-09-03,84,8,911,193,1083310,7.8,0.7,170.0
07,2020-09-03,12,1,449,116,325712,3.7,0.3,26.0
08,2020-09-03,2,0,222,60,273579,0.7,0.0,6.0
09,2020-09-03,1,1,34,2,153153,0.7,0.7,8.0
10,2020-09-03,14,0,654,137,310020,4.5,0.0,10.0
11,2020-09-03,7,1,240,59,370260,1.9,0.3,12.0
12,2020-09-03,7,0,151,24,279206,2.5,0.0,0.0
13,2020-09-03,269,50,3992,586,2024162,13.3,2.5,528.0
14,2020-09-03,1,0,354,84,694002,0.1,0.0,6.0
15,2020-09-03,3,1,53,9,145143,2.1,0.7,12.0
16,2020-09-03,1,0,61,13,352335,0.3,0.0,16.0
17,2020-09-03,4,1,154,51,644303,0.6,0.2,12.0
18,2020-09-03,1,0,207,85,304256,0.3,0.0,14.0
19,2020-09-03,2,0,161,37,241464,0.8,0.0,2.0
21,2020-09-03,8,2,960,251,533819,1.5,0.4,34.0
22,2020-09-03,3,0,237,40,598814,0.5,0.0,10.0
23,2020-09-03,0,0,86,15,118638,0.0,0.0,0.0
24,2020-09-03,4,1,99,14,413606,1.0,0.2,14.0
25,2020-09-03,3,1,644,152,539067,0.6,0.2,24.0
26,2020-09-03,6,1,545,128,511553,1.2,0.2,38.0
27,2020-09-03,16,0,273,85,601843,2.7,0.0,32.0
28,2020-09-03,9,1,607,145,433233,2.1,0.2,18.0
29,2020-09-03,9,1,198,44,909028,1.0,0.1,16.0
2A,2020-09-03,4,0,148,48,157249,2.5,0.0,8.0
2B,2020-09-03,8,1,113,11,177689,4.5,0.6,46.0
30,2020-09-03,20,4,384,99,744178,2.7,0.5,34.0
31,2020-09-03,60,10,740,83,1362672,4.4,0.7,140.0
32,2020-09-03,5,2,89,23,191091,2.6,1.0,6.0
33,2020-09-03,60,13,1049,166,1583384,3.8,0.8,246.0
34,2020-09-03,50,15,785,124,1144892,4.4,1.3,200.0
35,2020-09-03,36,4,511,89,1060199,3.4,0.4,30.0
36,2020-09-03,3,1,198,82,222232,1.3,0.4,4.0
37,2020-09-03,8,1,382,93,606511,1.3,0.2,20.0
38,2020-09-03,32,5,749,153,1258722,2.5,0.4,80.0
39,2020-09-03,2,0,328,60,260188,0.8,0.0,18.0
40,2020-09-03,1,0,77,13,407444,0.2,0.0,34.0
41,2020-09-03,13,0,335,65,331915,3.9,0.0,28.0
42,2020-09-03,45,2,1031,249,762941,5.9,0.3,40.0
43,2020-09-03,2,1,108,18,227283,0.9,0.4,0.0
44,2020-09-03,15,3,784,170,1394909,1.1,0.2,30.0
45,2020-09-03,23,5,680,104,678105,3.4,0.7,56.0
46,2020-09-03,1,0,70,22,173828,0.6,0.0,2.0
47,2020-09-03,7,1,90,13,332842,2.1,0.3,66.0
48,2020-09-03,1,0,25,1,76601,1.3,0.0,0.0
49,2020-09-03,24,6,687,144,813493,3.0,0.7,18.0
50,2020-09-03,8,0,174,50,496883,1.6,0.0,32.0
51,2020-09-03,47,2,1046,275,568895,8.3,0.4,24.0
52,2020-09-03,8,0,272,90,175640,4.6,0.0,12.0
53,2020-09-03,7,0,250,48,307445,2.3,0.0,28.0
54,2020-09-03,47,1,1280,367,733481,6.4,0.1,20.0
55,2020-09-03,2,0,504,103,187187,1.1,0.0,0.0
56,2020-09-03,14,1,449,96,750863,1.9,0.1,104.0
57,2020-09-03,88,2,2587,855,1043522,8.4,0.2,82.0
58,2020-09-03,2,0,99,28,207182,1.0,0.0,40.0
59,2020-09-03,134,19,2759,682,2604361,5.1,0.7,110.0
60,2020-09-03,122,2,1230,422,824503,14.8,0.2,10.0
61,2020-09-03,9,1,263,44,283372,3.2,0.4,4.0
62,2020-09-03,86,9,1451,324,1468018,5.9,0.6,20.0
63,2020-09-03,20,0,191,45,653742,3.1,0.0,22.0
64,2020-09-03,6,2,238,28,677309,0.9,0.3,36.0
65,2020-09-03,4,0,166,27,228530,1.8,0.0,0.0
66,2020-09-03,6,2,290,36,474452,1.3,0.4,16.0
67,2020-09-03,85,6,2775,689,1125559,7.6,0.5,42.0
68,2020-09-03,113,4,3107,831,764030,14.8,0.5,32.0
69,2020-09-03,154,24,3259,671,1843319,8.4,1.3,322.0
70,2020-09-03,0,0,309,77,236659,0.0,0.0,10.0
71,2020-09-03,5,3,797,202,553595,0.9,0.5,72.0
72,2020-09-03,27,1,439,89,566506,4.8,0.2,172.0
73,2020-09-03,9,1,435,75,431174,2.1,0.2,70.0
74,2020-09-03,30,1,944,171,807360,3.7,0.1,162.0
75,2020-09-03,297,43,6661,1813,2187526,13.6,2.0,284.0
76,2020-09-03,27,1,849,185,1254378,2.2,0.1,118.0
77,2020-09-03,145,19,2872,717,1403997,10.3,1.4,88.0
78,2020-09-03,228,13,2496,548,1438266,15.9,0.9,220.0
79,2020-09-03,0,0,73,22,374351,0.0,0.0,44.0
80,2020-09-03,39,3,766,234,572443,6.8,0.5,22.0
81,2020-09-03,6,1,134,23,387890,1.5,0.3,12.0
82,2020-09-03,5,1,45,7,258349,1.9,0.4,38.0
83,2020-09-03,52,3,1081,145,1058740,4.9,0.3,120.0
84,2020-09-03,24,6,280,42,559479,4.3,1.1,74.0
85,2020-09-03,7,0,284,43,675247,1.0,0.0,10.0
86,2020-09-03,0,0,155,40,436876,0.0,0.0,14.0
87,2020-09-03,3,1,139,25,374426,0.8,0.3,20.0
88,2020-09-03,14,0,751,267,367673,3.8,0.0,14.0
89,2020-09-03,8,1,416,95,338291,2.4,0.3,68.0
90,2020-09-03,1,1,566,200,142622,0.7,0.7,4.0
91,2020-09-03,214,13,2592,558,1296130,16.5,1.0,170.0
92,2020-09-03,500,31,4802,1118,1609306,31.1,1.9,164.0
93,2020-09-03,368,25,4223,1024,1623111,22.7,1.5,446.0
94,2020-09-03,306,17,4651,1233,1387926,22.0,1.2,226.0
95,2020-09-03,214,11,2811,735,1228618,17.4,0.9,276.0
971,2020-09-03,27,7,111,27,390253,6.9,1.8,226.0
972,2020-09-03,12,4,107,18,372594,3.2,1.1,0.0
973,2020-09-03,53,8,1575,57,268700,19.7,3.0,74.0
974,2020-09-03,72,18,235,10,853659,8.4,2.1,68.0
976,2020-09-03,5,2,447,28,256518,1.9,0.8,8.0
01,2020-09-04,28,2,463,107,643350,4.4,0.3,54.0
02,2020-09-04,35,1,1137,288,534490,6.5,0.2,92.0
03,2020-09-04,2,0,213,41,337988,0.6,0.0,16.0
04,2020-09-04,7,0,138,13,163915,4.3,0.0,20.0
05,2020-09-04,4,1,140,20,141284,2.8,0.7,8.0
06,2020-09-04,78,9,923,196,1083310,7.2,0.8,182.0
07,2020-09-04,12,1,449,116,325712,3.7,0.3,20.0
08,2020-09-04,3,0,222,60,273579,1.1,0.0,6.0
09,2020-09-04,1,1,34,2,153153,0.7,0.7,4.0
10,2020-09-04,11,0,657,137,310020,3.5,0.0,14.0
11,2020-09-04,8,1,240,59,370260,2.2,0.3,12.0
12,2020-09-04,6,0,153,24,279206,2.1,0.0,0.0
13,2020-09-04,282,48,4027,586,2024162,13.9,2.4,540.0
14,2020-09-04,2,0,354,84,694002,0.3,0.0,8.0
15,2020-09-04,7,4,53,9,145143,4.8,2.8,10.0
16,2020-09-04,1,0,61,13,352335,0.3,0.0,18.0
17,2020-09-04,6,1,155,51,644303,0.9,0.2,14.0
18,2020-09-04,1,0,207,85,304256,0.3,0.0,14.0
19,2020-09-04,3,0,161,37,241464,1.2,0.0,4.0
21,2020-09-04,9,2,960,251,533819,1.7,0.4,34.0
22,2020-09-04,3,0,239,40,598814,0.5,0.0,14.0
23,2020-09-04,0,0,86,15,118638,0.0,0.0,0.0
24,2020-09-04,4,1,99,14,413606,1.0,0.2,14.0
25,2020-09-04,3,1,644,152,539067,0.6,0.2,24.0
26,2020-09-04,6,1,547,128,511553,1.2,0.2,34.0
27,2020-09-04,17,0,273,85,601843,2.8,0.0,46.0
28,2020-09-04,10,2,608,145,433233,2.3,0.5,14.0
29,2020-09-04,10,1,198,44,909028,1.1,0.1,14.0
2A,2020-09-04,4,0,148,48,157249,2.5,0.0,6.0
2B,2020-09-04,8,1,113,11,177689,4.5,0.6,44.0
30,2020-09-04,19,4,385,99,744178,2.6,0.5,34.0
31,2020-09-04,60,9,742,84,1362672,4.4,0.7,148.0
32,2020-09-04,5,2,89,23,191091,2.6,1.0,4.0
33,2020-09-04,65,15,1056,167,1583384,4.1,0.9,250.0
34,2020-09-04,50,11,788,126,1144892,4.4,1.0,202.0
35,2020-09-04,36,4,513,89,1060199,3.4,0.4,32.0
36,2020-09-04,3,1,198,82,222232,1.3,0.4,4.0
37,2020-09-04,7,1,382,93,606511,1.2,0.2,16.0
38,2020-09-04,32,5,753,153,1258722,2.5,0.4,92.0
39,2020-09-04,2,0,328,60,260188,0.8,0.0,20.0
40,2020-09-04,2,0,77,13,407444,0.5,0.0,36.0
41,2020-09-04,12,0,337,65,331915,3.6,0.0,24.0
42,2020-09-04,47,3,1032,249,762941,6.2,0.4,38.0
43,2020-09-04,2,1,108,18,227283,0.9,0.4,0.0
44,2020-09-04,14,3,785,170,1394909,1.0,0.2,28.0
45,2020-09-04,23,5,680,105,678105,3.4,0.7,56.0
46,2020-09-04,1,0,70,22,173828,0.6,0.0,2.0
47,2020-09-04,8,2,90,13,332842,2.4,0.6,72.0
48,2020-09-04,0,0,26,1,76601,0.0,0.0,0.0
49,2020-09-04,23,6,690,144,813493,2.8,0.7,20.0
50,2020-09-04,9,0,174,50,496883,1.8,0.0,36.0
51,2020-09-04,41,2,1053,275,568895,7.2,0.4,26.0
52,2020-09-04,7,0,273,90,175640,4.0,0.0,16.0
53,2020-09-04,7,0,252,48,307445,2.3,0.0,32.0
54,2020-09-04,48,1,1280,367,733481,6.5,0.1,18.0
55,2020-09-04,2,0,504,103,187187,1.1,0.0,0.0
56,2020-09-04,13,1,451,96,750863,1.7,0.1,112.0
57,2020-09-04,85,2,2596,855,1043522,8.1,0.2,86.0
58,2020-09-04,3,0,99,28,207182,1.4,0.0,40.0
59,2020-09-04,138,20,2765,682,2604361,5.3,0.8,128.0
60,2020-09-04,120,2,1232,422,824503,14.6,0.2,16.0
61,2020-09-04,8,1,264,44,283372,2.8,0.4,14.0
62,2020-09-04,83,9,1458,324,1468018,5.7,0.6,22.0
63,2020-09-04,22,0,191,45,653742,3.4,0.0,24.0
64,2020-09-04,7,2,238,28,677309,1.0,0.3,32.0
65,2020-09-04,4,0,166,27,228530,1.8,0.0,0.0
66,2020-09-04,8,2,290,36,474452,1.7,0.4,12.0
67,2020-09-04,88,7,2776,690,1125559,7.8,0.6,38.0
68,2020-09-04,112,4,3111,831,764030,14.7,0.5,32.0
69,2020-09-04,166,25,3273,671,1843319,9.0,1.4,370.0
70,2020-09-04,0,0,309,77,236659,0.0,0.0,10.0
71,2020-09-04,5,3,798,202,553595,0.9,0.5,66.0
72,2020-09-04,26,0,441,89,566506,4.6,0.0,174.0
73,2020-09-04,8,1,436,75,431174,1.9,0.2,82.0
74,2020-09-04,27,0,948,171,807360,3.3,0.0,184.0
75,2020-09-04,293,45,6677,1814,2187526,13.4,2.1,304.0
76,2020-09-04,27,1,849,185,1254378,2.2,0.1,120.0
77,2020-09-04,145,16,2876,717,1403997,10.3,1.1,100.0
78,2020-09-04,234,14,2499,549,1438266,16.3,1.0,216.0
79,2020-09-04,0,0,73,22,374351,0.0,0.0,44.0
80,2020-09-04,39,3,767,234,572443,6.8,0.5,22.0
81,2020-09-04,6,1,134,23,387890,1.5,0.3,12.0
82,2020-09-04,5,1,45,7,258349,1.9,0.4,42.0
