CodCirLg,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,codeDepartement,code_dep_min,code_dep,votes,entete,id_circo
01,82694,42063,40631,545,155,39931,001,01,01,"[{""NomPsn"":""MALLET"",""PrenomPsn"":""Laurent"",""CivilitePsn"":""M."",""CodNua"":""MDM"",""LibNua"":""Modem"",""NumPanneauCand"":""1"",""NbVoix"":13534,""score"":33.9},{""NomPsn"":""BRETON"",""PrenomPsn"":""Xavier"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""5"",""NbVoix"":10693,""score"":26.8},{""NomPsn"":""BUISSON"",""PrenomPsn"":""J\u00e9r\u00f4me"",""CivilitePsn"":""M."",""CodNua"":""FN"",""LibNua"":""Front National"",""NumPanneauCand"":""9"",""NbVoix"":6174,""score"":15.5},{""NomPsn"":""MARTIN ZEMLIK"",""PrenomPsn"":""Fabrine"",""CivilitePsn"":""Mme"",""CodNua"":""FI"",""LibNua"":""La France insoumise"",""NumPanneauCand"":""4"",""NbVoix"":3874,""score"":9.7},{""NomPsn"":""BLATRIX-CONTAT"",""PrenomPsn"":""Florence"",""CivilitePsn"":""Mme"",""CodNua"":""SOC"",""LibNua"":""Parti socialiste"",""NumPanneauCand"":""2"",""NbVoix"":3687,""score"":9.2},{""NomPsn"":""FONTAINE"",""PrenomPsn"":""Jacques"",""CivilitePsn"":""M."",""CodNua"":""COM"",""LibNua"":""Parti communiste fran\u00e7ais"",""NumPanneauCand"":""8"",""NbVoix"":656,""score"":1.6},{""NomPsn"":""RAIMONDO"",""PrenomPsn"":""Laurane"",""CivilitePsn"":""Mme"",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""7"",""NbVoix"":562,""score"":1.4},{""NomPsn"":""L\u00c9PAGNOT"",""PrenomPsn"":""Maude"",""CivilitePsn"":""Mme"",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""3"",""NbVoix"":293,""score"":0.7},{""NomPsn"":""CARLIER"",""PrenomPsn"":""Marie"",""CivilitePsn"":""Mme"",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""6"",""NbVoix"":247,""score"":0.6},{""NomPsn"":""BONNOT"",""PrenomPsn"":""Gilbert"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""10"",""NbVoix"":211,""score"":0.5}]",MDM,01001
02,93520,47291,46229,471,160,45598,001,01,01,"[{""NomPsn"":""BEGUET"",""PrenomPsn"":""Marie Jeanne"",""CivilitePsn"":""Mme"",""CodNua"":""MDM"",""LibNua"":""Modem"",""NumPanneauCand"":""6"",""NbVoix"":16371,""score"":35.9},{""NomPsn"":""DE LA VERPILLI\u00c8RE"",""PrenomPsn"":""Charles"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""8"",""NbVoix"":11182,""score"":24.5},{""NomPsn"":""MICHAUD"",""PrenomPsn"":""Anne"",""CivilitePsn"":""Mme"",""CodNua"":""FN"",""LibNua"":""Front National"",""NumPanneauCand"":""1"",""NbVoix"":7553,""score"":16.6},{""NomPsn"":""THIEBAUT"",""PrenomPsn"":""Sylviane"",""CivilitePsn"":""Mme"",""CodNua"":""FI"",""LibNua"":""La France insoumise"",""NumPanneauCand"":""9"",""NbVoix"":4896,""score"":10.7},{""NomPsn"":""COLIN"",""PrenomPsn"":""Albane"",""CivilitePsn"":""Mme"",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""2"",""NbVoix"":2874,""score"":6.3},{""NomPsn"":""LEMERRE"",""PrenomPsn"":""Pascale"",""CivilitePsn"":""Mme"",""CodNua"":""DLF"",""LibNua"":""Debout la France"",""NumPanneauCand"":""3"",""NbVoix"":1149,""score"":2.5},{""NomPsn"":""BRULLAND"",""PrenomPsn"":""Guy"",""CivilitePsn"":""M."",""CodNua"":""COM"",""LibNua"":""Parti communiste fran\u00e7ais"",""NumPanneauCand"":""5"",""NbVoix"":676,""score"":1.5},{""NomPsn"":""CHOMETTE"",""PrenomPsn"":""Sandrine"",""CivilitePsn"":""Mme"",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""10"",""NbVoix"":400,""score"":0.9},{""NomPsn"":""GOUTAGNY"",""PrenomPsn"":""Vincent"",""CivilitePsn"":""M."",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""7"",""NbVoix"":303,""score"":0.7},{""NomPsn"":""SAHIN"",""PrenomPsn"":""Atila"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""4"",""NbVoix"":194,""score"":0.4}]",MDM,01002
03,75614,41131,34483,359,116,34008,001,01,01,"[{""NomPsn"":""GIVERNET"",""PrenomPsn"":""Olga"",""CivilitePsn"":""Mme"",""CodNua"":""REM"",""LibNua"":""La R\u00e9publique en marche"",""NumPanneauCand"":""4"",""NbVoix"":15405,""score"":45.3},{""NomPsn"":""PERNOD BEAUDON"",""PrenomPsn"":""St\u00e9phanie"",""CivilitePsn"":""Mme"",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""7"",""NbVoix"":7281,""score"":21.4},{""NomPsn"":""NOBLET"",""PrenomPsn"":""Ga\u00ebtan"",""CivilitePsn"":""M."",""CodNua"":""FN"",""LibNua"":""Front National"",""NumPanneauCand"":""6"",""NbVoix"":3808,""score"":11.2},{""NomPsn"":""JOLIE"",""PrenomPsn"":""Christian"",""CivilitePsn"":""M."",""CodNua"":""FI"",""LibNua"":""La France insoumise"",""NumPanneauCand"":""8"",""NbVoix"":3064,""score"":9.0},{""NomPsn"":""MERCIER"",""PrenomPsn"":""Jean"",""CivilitePsn"":""M."",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""2"",""NbVoix"":1496,""score"":4.4},{""NomPsn"":""SACCHI-HASSANEIN"",""PrenomPsn"":""G\u00e9raldine"",""CivilitePsn"":""Mme"",""CodNua"":""SOC"",""LibNua"":""Parti socialiste"",""NumPanneauCand"":""5"",""NbVoix"":1468,""score"":4.3},{""NomPsn"":""BORNE"",""PrenomPsn"":""Thierry"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""1"",""NbVoix"":488,""score"":1.4},{""NomPsn"":""BLOCH"",""PrenomPsn"":""Jean S\u00e9bastien"",""CivilitePsn"":""M."",""CodNua"":""COM"",""LibNua"":""Parti communiste fran\u00e7ais"",""NumPanneauCand"":""3"",""NbVoix"":431,""score"":1.3},{""NomPsn"":""MOZER"",""PrenomPsn"":""Fr\u00e9d\u00e9ric"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""11"",""NbVoix"":361,""score"":1.1},{""NomPsn"":""LAHY"",""PrenomPsn"":""\u00c9ric"",""CivilitePsn"":""M."",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""9"",""NbVoix"":147,""score"":0.4},{""NomPsn"":""GENTILE"",""PrenomPsn"":""Fabrice"",""CivilitePsn"":""M."",""CodNua"":""DVG"",""LibNua"":""Divers gauche"",""NumPanneauCand"":""10"",""NbVoix"":59,""score"":0.2}]",REM,01003
04,89390,45625,43765,521,211,43033,001,01,01,"[{""NomPsn"":""TROMPILLE"",""PrenomPsn"":""St\u00e9phane"",""CivilitePsn"":""M."",""CodNua"":""REM"",""LibNua"":""La R\u00e9publique en marche"",""NumPanneauCand"":""5"",""NbVoix"":15492,""score"":36.0},{""NomPsn"":""CHAUSSAT"",""PrenomPsn"":""Blanche"",""CivilitePsn"":""Mme"",""CodNua"":""FN"",""LibNua"":""Front National"",""NumPanneauCand"":""10"",""NbVoix"":7964,""score"":18.5},{""NomPsn"":""BILLOUDET"",""PrenomPsn"":""Guy"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""3"",""NbVoix"":7178,""score"":16.7},{""NomPsn"":""HUGUET"",""PrenomPsn"":""Line"",""CivilitePsn"":""Mme"",""CodNua"":""FI"",""LibNua"":""La France insoumise"",""NumPanneauCand"":""9"",""NbVoix"":3426,""score"":8.0},{""NomPsn"":""LUGA GIRAUD"",""PrenomPsn"":""Muriel"",""CivilitePsn"":""Mme"",""CodNua"":""UDI"",""LibNua"":""Union des D\u00e9mocrates et Ind\u00e9pendants"",""NumPanneauCand"":""11"",""NbVoix"":3164,""score"":7.4},{""NomPsn"":""CH\u00caNE"",""PrenomPsn"":""Sylviane"",""CivilitePsn"":""Mme"",""CodNua"":""RDG"",""LibNua"":""Parti radical de gauche"",""NumPanneauCand"":""1"",""NbVoix"":2025,""score"":4.7},{""NomPsn"":""PARTENSKY-LEIBMAN"",""PrenomPsn"":""Anne"",""CivilitePsn"":""Mme"",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""2"",""NbVoix"":1391,""score"":3.2},{""NomPsn"":""VEILLEROT"",""PrenomPsn"":""Annick"",""CivilitePsn"":""Mme"",""CodNua"":""DLF"",""LibNua"":""Debout la France"",""NumPanneauCand"":""8"",""NbVoix"":860,""score"":2.0},{""NomPsn"":""SYMNIACOS"",""PrenomPsn"":""Olivia"",""CivilitePsn"":""Mme"",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""14"",""NbVoix"":459,""score"":1.1},{""NomPsn"":""LATTARD"",""PrenomPsn"":""Catherine"",""CivilitePsn"":""Mme"",""CodNua"":""COM"",""LibNua"":""Parti communiste fran\u00e7ais"",""NumPanneauCand"":""12"",""NbVoix"":348,""score"":0.8},{""NomPsn"":""ANTOINETTE"",""PrenomPsn"":""Yves"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""7"",""NbVoix"":232,""score"":0.5},{""NomPsn"":""LOUBIGNES"",""PrenomPsn"":""Thierry"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""6"",""NbVoix"":199,""score"":0.5},{""NomPsn"":""DRACOS"",""PrenomPsn"":""Electre"",""CivilitePsn"":""Mme"",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""13"",""NbVoix"":198,""score"":0.5},{""NomPsn"":""ADAM"",""PrenomPsn"":""Xavier"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""4"",""NbVoix"":97,""score"":0.2}]",REM,01004
05,75359,38409,36950,374,168,36408,001,01,01,"[{""NomPsn"":""ABAD"",""PrenomPsn"":""Damien"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""9"",""NbVoix"":12743,""score"":35.0},{""NomPsn"":""DE MEIRE"",""PrenomPsn"":""H\u00e9l\u00e8ne"",""CivilitePsn"":""Mme"",""CodNua"":""REM"",""LibNua"":""La R\u00e9publique en marche"",""NumPanneauCand"":""12"",""NbVoix"":9149,""score"":25.1},{""NomPsn"":""CHALON"",""PrenomPsn"":""P\u00e9n\u00e9lope"",""CivilitePsn"":""Mme"",""CodNua"":""FN"",""LibNua"":""Front National"",""NumPanneauCand"":""4"",""NbVoix"":5599,""score"":15.4},{""NomPsn"":""JACQUIER"",""PrenomPsn"":""Bertrand"",""CivilitePsn"":""M."",""CodNua"":""FI"",""LibNua"":""La France insoumise"",""NumPanneauCand"":""7"",""NbVoix"":3759,""score"":10.3},{""NomPsn"":""PONTIER"",""PrenomPsn"":""Carole"",""CivilitePsn"":""Mme"",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""11"",""NbVoix"":1051,""score"":2.9},{""NomPsn"":""SCHWANDER"",""PrenomPsn"":""Elodie"",""CivilitePsn"":""Mme"",""CodNua"":""SOC"",""LibNua"":""Parti socialiste"",""NumPanneauCand"":""2"",""NbVoix"":1032,""score"":2.8},{""NomPsn"":""FERRI"",""PrenomPsn"":""Myl\u00e8ne"",""CivilitePsn"":""Mme"",""CodNua"":""COM"",""LibNua"":""Parti communiste fran\u00e7ais"",""NumPanneauCand"":""10"",""NbVoix"":809,""score"":2.2},{""NomPsn"":""CETIN"",""PrenomPsn"":""Ahmet"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""13"",""NbVoix"":721,""score"":2.0},{""NomPsn"":""JUILLET"",""PrenomPsn"":""Claude"",""CivilitePsn"":""M."",""CodNua"":""DLF"",""LibNua"":""Debout la France"",""NumPanneauCand"":""3"",""NbVoix"":637,""score"":1.7},{""NomPsn"":""MEUDAN"",""PrenomPsn"":""Monique"",""CivilitePsn"":""Mme"",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""5"",""NbVoix"":398,""score"":1.1},{""NomPsn"":""ARCHENY"",""PrenomPsn"":""Jean-Philippe"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""8"",""NbVoix"":231,""score"":0.6},{""NomPsn"":""LARGERON"",""PrenomPsn"":""Guy"",""CivilitePsn"":""M."",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""6"",""NbVoix"":158,""score"":0.4},{""NomPsn"":""BOULM\u00c9"",""PrenomPsn"":""Jean-Michel"",""CivilitePsn"":""M."",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""1"",""NbVoix"":121,""score"":0.3}]",LR,01005
01,72345,36770,35575,517,173,34885,002,02,02,"[{""NomPsn"":""BONO-VANDORME"",""PrenomPsn"":""Aude"",""CivilitePsn"":""Mme"",""CodNua"":""REM"",""LibNua"":""La R\u00e9publique en marche"",""NumPanneauCand"":""3"",""NbVoix"":10043,""score"":28.8},{""NomPsn"":""PHILIPPOT"",""PrenomPsn"":""Damien"",""CivilitePsn"":""M."",""CodNua"":""FN"",""LibNua"":""Front National"",""NumPanneauCand"":""4"",""NbVoix"":9114,""score"":26.1},{""NomPsn"":""COULON"",""PrenomPsn"":""Christophe"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""1"",""NbVoix"":5653,""score"":16.2},{""NomPsn"":""KARIMET"",""PrenomPsn"":""Fawaz"",""CivilitePsn"":""M."",""CodNua"":""SOC"",""LibNua"":""Parti socialiste"",""NumPanneauCand"":""8"",""NbVoix"":4856,""score"":13.9},{""NomPsn"":""CHAMBLAY"",""PrenomPsn"":""Jean-Marc"",""CivilitePsn"":""M."",""CodNua"":""FI"",""LibNua"":""La France insoumise"",""NumPanneauCand"":""9"",""NbVoix"":2479,""score"":7.1},{""NomPsn"":""FOURNI\u00c9 TURQUIN"",""PrenomPsn"":""Brigitte"",""CivilitePsn"":""Mme"",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""2"",""NbVoix"":1306,""score"":3.7},{""NomPsn"":""FERRAND"",""PrenomPsn"":""Jacques"",""CivilitePsn"":""M."",""CodNua"":""DLF"",""LibNua"":""Debout la France"",""NumPanneauCand"":""5"",""NbVoix"":491,""score"":1.4},{""NomPsn"":""PERNELLE"",""PrenomPsn"":""Jean-Loup"",""CivilitePsn"":""M."",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""7"",""NbVoix"":424,""score"":1.2},{""NomPsn"":""GOBLET"",""PrenomPsn"":""Antoine"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""10"",""NbVoix"":260,""score"":0.7},{""NomPsn"":""BOULAY"",""PrenomPsn"":""Eric"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""6"",""NbVoix"":259,""score"":0.7}]",REM,02001
02,73981,39857,34124,685,270,33169,002,02,02,"[{""NomPsn"":""DIVE"",""PrenomPsn"":""Julien"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""1"",""NbVoix"":12099,""score"":36.5},{""NomPsn"":""SAILLARD-MEUNIER"",""PrenomPsn"":""Sylvie"",""CivilitePsn"":""Mme"",""CodNua"":""FN"",""LibNua"":""Front National"",""NumPanneauCand"":""7"",""NbVoix"":8349,""score"":25.2},{""NomPsn"":""GIRONDE"",""PrenomPsn"":""Paul"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""12"",""NbVoix"":4005,""score"":12.1},{""NomPsn"":""LEMPEREUR"",""PrenomPsn"":""Sarah"",""CivilitePsn"":""Mme"",""CodNua"":""FI"",""LibNua"":""La France insoumise"",""NumPanneauCand"":""5"",""NbVoix"":3457,""score"":10.4},{""NomPsn"":""PINCHERELLE"",""PrenomPsn"":""Karl"",""CivilitePsn"":""M."",""CodNua"":""SOC"",""LibNua"":""Parti socialiste"",""NumPanneauCand"":""3"",""NbVoix"":2309,""score"":7.0},{""NomPsn"":""MAGNIEZ"",""PrenomPsn"":""Michel"",""CivilitePsn"":""M."",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""11"",""NbVoix"":721,""score"":2.2},{""NomPsn"":""BECOURT"",""PrenomPsn"":""Corinne"",""CivilitePsn"":""Mme"",""CodNua"":""COM"",""LibNua"":""Parti communiste fran\u00e7ais"",""NumPanneauCand"":""4"",""NbVoix"":694,""score"":2.1},{""NomPsn"":""SEUBE"",""PrenomPsn"":""Jean-Christophe"",""CivilitePsn"":""M."",""CodNua"":""DLF"",""LibNua"":""Debout la France"",""NumPanneauCand"":""13"",""NbVoix"":607,""score"":1.8},{""NomPsn"":""ZANDIT\u00c9NAS"",""PrenomPsn"":""Anne"",""CivilitePsn"":""Mme"",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""2"",""NbVoix"":297,""score"":0.9},{""NomPsn"":""RIBEIRO"",""PrenomPsn"":""Antonio"",""CivilitePsn"":""M."",""CodNua"":""DVG"",""LibNua"":""Divers gauche"",""NumPanneauCand"":""8"",""NbVoix"":191,""score"":0.6},{""NomPsn"":""CID"",""PrenomPsn"":""Antoine"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""10"",""NbVoix"":174,""score"":0.5},{""NomPsn"":""DAUBIN"",""PrenomPsn"":""Nora"",""CivilitePsn"":""Mme"",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""6"",""NbVoix"":163,""score"":0.5},{""NomPsn"":""LOGRADA"",""PrenomPsn"":""Bela\u00efdi"",""CivilitePsn"":""M."",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""9"",""NbVoix"":103,""score"":0.3}]",LR,02002
03,68099,35369,32730,639,287,31804,002,02,02,"[{""NomPsn"":""HANSEN-CATTA"",""PrenomPsn"":""Paul-Henry"",""CivilitePsn"":""M."",""CodNua"":""FN"",""LibNua"":""Front National"",""NumPanneauCand"":""10"",""NbVoix"":8113,""score"":25.5},{""NomPsn"":""BRICOUT"",""PrenomPsn"":""Jean-Louis"",""CivilitePsn"":""M."",""CodNua"":""SOC"",""LibNua"":""Parti socialiste"",""NumPanneauCand"":""3"",""NbVoix"":7556,""score"":23.8},{""NomPsn"":""HUSILLOS-CRESPO"",""PrenomPsn"":""Alain"",""CivilitePsn"":""M."",""CodNua"":""MDM"",""LibNua"":""Modem"",""NumPanneauCand"":""4"",""NbVoix"":5755,""score"":18.1},{""NomPsn"":""MARLOT"",""PrenomPsn"":""Laurent"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""9"",""NbVoix"":4841,""score"":15.2},{""NomPsn"":""MORTET"",""PrenomPsn"":""Alexandra"",""CivilitePsn"":""Mme"",""CodNua"":""FI"",""LibNua"":""La France insoumise"",""NumPanneauCand"":""1"",""NbVoix"":2352,""score"":7.4},{""NomPsn"":""TORRE"",""PrenomPsn"":""Philippe"",""CivilitePsn"":""M."",""CodNua"":""DLF"",""LibNua"":""Debout la France"",""NumPanneauCand"":""6"",""NbVoix"":1242,""score"":3.9},{""NomPsn"":""PARENT"",""PrenomPsn"":""Christophe"",""CivilitePsn"":""M."",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""2"",""NbVoix"":767,""score"":2.4},{""NomPsn"":""GALL"",""PrenomPsn"":""Aur\u00e9lien"",""CivilitePsn"":""M."",""CodNua"":""COM"",""LibNua"":""Parti communiste fran\u00e7ais"",""NumPanneauCand"":""8"",""NbVoix"":613,""score"":1.9},{""NomPsn"":""VOISIN"",""PrenomPsn"":""Laetitia"",""CivilitePsn"":""Mme"",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""7"",""NbVoix"":358,""score"":1.1},{""NomPsn"":""TH\u00c9RY-HERMAIN"",""PrenomPsn"":""Cl\u00e9mence"",""CivilitePsn"":""Mme"",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""5"",""NbVoix"":207,""score"":0.7}]",FN,02003
04,79116,43878,35238,530,208,34500,002,02,02,"[{""NomPsn"":""DELATTE"",""PrenomPsn"":""Marc"",""CivilitePsn"":""M."",""CodNua"":""REM"",""LibNua"":""La R\u00e9publique en marche"",""NumPanneauCand"":""9"",""NbVoix"":9683,""score"":28.1},{""NomPsn"":""MESSIHA"",""PrenomPsn"":""Jean"",""CivilitePsn"":""M."",""CodNua"":""FN"",""LibNua"":""Front National"",""NumPanneauCand"":""2"",""NbVoix"":8010,""score"":23.2},{""NomPsn"":""L\u00c9TRILLART"",""PrenomPsn"":""Isabelle"",""CivilitePsn"":""Mme"",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""10"",""NbVoix"":6969,""score"":20.2},{""NomPsn"":""HEYVAERTS"",""PrenomPsn"":""Sylvie"",""CivilitePsn"":""Mme"",""CodNua"":""FI"",""LibNua"":""La France insoumise"",""NumPanneauCand"":""6"",""NbVoix"":2995,""score"":8.7},{""NomPsn"":""BECHTEL"",""PrenomPsn"":""Marie-Fran\u00e7oise"",""CivilitePsn"":""Mme"",""CodNua"":""DVG"",""LibNua"":""Divers gauche"",""NumPanneauCand"":""1"",""NbVoix"":2747,""score"":8.0},{""NomPsn"":""CARREAU"",""PrenomPsn"":""Michel"",""CivilitePsn"":""M."",""CodNua"":""COM"",""LibNua"":""Parti communiste fran\u00e7ais"",""NumPanneauCand"":""3"",""NbVoix"":2427,""score"":7.0},{""NomPsn"":""MEULEY"",""PrenomPsn"":""Francis"",""CivilitePsn"":""M."",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""5"",""NbVoix"":611,""score"":1.8},{""NomPsn"":""VITU"",""PrenomPsn"":""Jean-Pierre"",""CivilitePsn"":""M."",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""7"",""NbVoix"":463,""score"":1.3},{""NomPsn"":""MARIOTTI"",""PrenomPsn"":""Caroline"",""CivilitePsn"":""Mme"",""CodNua"":""EXD"",""LibNua"":""Extr\u00eame droite"",""NumPanneauCand"":""8"",""NbVoix"":327,""score"":0.9},{""NomPsn"":""ROSELET"",""PrenomPsn"":""Natacha"",""CivilitePsn"":""Mme"",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""4"",""NbVoix"":268,""score"":0.8}]",REM,02004
05,82223,41864,40359,609,251,39499,002,02,02,"[{""NomPsn"":""KRABAL"",""PrenomPsn"":""Jacques"",""CivilitePsn"":""M."",""CodNua"":""REM"",""LibNua"":""La R\u00e9publique en marche"",""NumPanneauCand"":""4"",""NbVoix"":14206,""score"":36.0},{""NomPsn"":""DE VOYER"",""PrenomPsn"":""Fran\u00e7ois"",""CivilitePsn"":""M."",""CodNua"":""FN"",""LibNua"":""Front National"",""NumPanneauCand"":""8"",""NbVoix"":10111,""score"":25.6},{""NomPsn"":""FENARDJI"",""PrenomPsn"":""Omar"",""CivilitePsn"":""M."",""CodNua"":""FI"",""LibNua"":""La France insoumise"",""NumPanneauCand"":""3"",""NbVoix"":3939,""score"":10.0},{""NomPsn"":""MOYSE"",""PrenomPsn"":""Dominique"",""CivilitePsn"":""M."",""CodNua"":""UDI"",""LibNua"":""Union des D\u00e9mocrates et Ind\u00e9pendants"",""NumPanneauCand"":""5"",""NbVoix"":3351,""score"":8.5},{""NomPsn"":""MANSCOURT"",""PrenomPsn"":""S\u00e9bastien"",""CivilitePsn"":""M."",""CodNua"":""DVD"",""LibNua"":""Divers droite"",""NumPanneauCand"":""6"",""NbVoix"":3227,""score"":8.2},{""NomPsn"":""JOURDAIN"",""PrenomPsn"":""Dominique"",""CivilitePsn"":""M."",""CodNua"":""ECO"",""LibNua"":""Ecologiste"",""NumPanneauCand"":""1"",""NbVoix"":2426,""score"":6.1},{""NomPsn"":""SAPORI"",""PrenomPsn"":""Michelle"",""CivilitePsn"":""Mme"",""CodNua"":""DLF"",""LibNua"":""Debout la France"",""NumPanneauCand"":""7"",""NbVoix"":764,""score"":1.9},{""NomPsn"":""VACCA"",""PrenomPsn"":""Fran\u00e7oise"",""CivilitePsn"":""Mme"",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""9"",""NbVoix"":727,""score"":1.8},{""NomPsn"":""G\u00c9RET"",""PrenomPsn"":""Sylvie"",""CivilitePsn"":""Mme"",""CodNua"":""EXG"",""LibNua"":""Extr\u00eame gauche"",""NumPanneauCand"":""2"",""NbVoix"":480,""score"":1.2},{""NomPsn"":""LECLERC"",""PrenomPsn"":""Annick"",""CivilitePsn"":""Mme"",""CodNua"":""DIV"",""LibNua"":""Divers"",""NumPanneauCand"":""10"",""NbVoix"":268,""score"":0.7}]",REM,02005
