id,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12
31084001,,Rupture totale,,,,,,,,,,,,,,
31100010,,Rupture partielle,,,,,,,,,,,,,,
31200002,,Rupture totale,,,,,,,,,,,,,,
31200023,,Rupture partielle,,,,,,,,,,,,,,
31250001,,Rupture totale,,,,,,,,,,,,,,
31270007,,Rupture totale,,,,,,,,,,,,,,
31300008,,Rupture partielle,,,,,,,,,,,,,,
31400010,,Rupture partielle,,,,,,,,,,,,,,
31470002,,Rupture partielle,,,,,,,,,,,,,,
31590004,,Rupture partielle,,,,,,,,,,,,,,
31770005,,Rupture totale,,,,,,,,,,,,,,
32130002,,Rupture totale,,,,,,,,,,,,,,
32550001,,Rupture totale,,,,,,,,,,,,,,
33000022,,Rupture partielle,,,,,,,,,,,,,,
33110007,,Rupture partielle,,,,,,,,,,,,,,
33170008,,Rupture partielle,,,,,,,,,,,,,,
33210011,,Rupture partielle,,,,,,,,,,,,,,
33370014,,Rupture partielle,,,,,,,,,,,,,,
33450005,,Rupture partielle,,,,,,,,,,,,,,
33600009,,Rupture partielle,,,,,,,,,,,,,,
33600011,,Rupture totale,,,,,,,,,,,,,,
33690001,,Rupture totale,,,,,,,,,,,,,,
33700020,,Rupture partielle,,,,,,,,,,,,,,
33720008,,Rupture partielle,,,,,,,,,,,,,,
34090003,,Rupture totale,,,,,,,,,,,,,,
34130004,,Rupture partielle,,,,,,,,,,,,,,
34420004,,Rupture partielle,,,,,,,,,,,,,,
34500027,,Rupture partielle,,,,,,,,,,,,,,
34770001,,Rupture partielle,,,,,,,,,,,,,,
35000017,,Rupture partielle,,,,,,,,,,,,,,
35000021,,Rupture partielle,,,,,,,,,,,,,,
35150004,,Rupture partielle,,,,,,,,,,,,,,
35200007,,Rupture partielle,,,,,,,,,,,,,,
35400002,,Rupture partielle,,,,,,,,,,,,,,
35580004,,Rupture partielle,,,,,,,,,,,,,,
36130004,,Rupture totale,,,,,,,,,,,,,,
37100010,,Rupture totale,,,,,,,,,,,,,,
37170006,,Rupture totale,,,,,,,,,,,,,,
37200004,,Rupture totale,,,,,,,,,,,,,,
38150010,,Rupture partielle,,,,,,,,,,,,,,
38200018,,Rupture totale,,,,,,,,,,,,,,
38260002,,Rupture totale,,,,,,,,,,,,,,
38260004,,Rupture partielle,,,,,,,,,,,,,,
38340013,,Rupture partielle,,,,,,,,,,,,,,
38470003,,Rupture partielle,,,,,,,,,,,,,,
39130002,,Rupture totale,,,,,,,,,,,,,,
39200003,,Rupture partielle,,,,,,,,,,,,,,
39500004,,Rupture totale,,,,,,,,,,,,,,
40180001,,Rupture partielle,,,,,,,,,,,,,,
40260009,,Rupture partielle,,,,,,,,,,,,,,
41000019,,Rupture partielle,,,,,,,,,,,,,,
41100002,,Rupture partielle,,,,,,,,,,,,,,
41200001,,Rupture partielle,,,,,,,,,,,,,,
42110007,,Rupture totale,,,,,,,,,,,,,,
42170003,,Rupture partielle,,,,,,,,,,,,,,
42510003,,Rupture totale,,,,,,,,,,,,,,
43000009,,Rupture totale,,,,,,,,,,,,,,
