dep,datetime,tx_incidence,tx_positivite
54,2021-11-13,87.1113131083589,2.64
54,2021-11-14,87.1113131083589,2.64
54,2021-11-15,100.99862389374945,2.92
54,2021-11-16,145.18552184726482,4.17
54,2021-11-17,199.47228219015517,4.89
54,2021-11-18,252.49655973437362,4.42
54,2021-11-19,304.25835447992023,4.59
54,2021-11-20,339.6078728427325,4.68
54,2021-11-21,338.34539004406065,4.63
54,2021-11-22,380.0073224002323,4.53
55,2021-09-01,83.94543546694648,9.2
55,2021-09-02,68.20566631689402,8.55
55,2021-09-03,68.20566631689402,9.42
55,2021-09-04,73.45225603357818,10.07
55,2021-09-05,73.45225603357818,9.72
55,2021-09-06,83.94543546694648,9.64
55,2021-09-07,57.712486883525706,6.29
55,2021-09-08,47.219307450157395,5.17
55,2021-09-09,41.97271773347324,3.86
55,2021-09-10,36.72612801678909,2.92
55,2021-09-11,47.219307450157395,3.64
55,2021-09-12,57.712486883525706,4.55
55,2021-09-13,41.97271773347324,2.82
55,2021-09-14,47.219307450157395,2.4
55,2021-09-15,57.712486883525706,2.6
55,2021-09-16,68.20566631689402,2.09
55,2021-09-17,89.19202518363063,2.18
55,2021-09-18,73.45225603357818,1.68
55,2021-09-19,62.95907660020986,1.45
55,2021-09-20,57.712486883525706,1.16
55,2021-09-21,57.712486883525706,1.13
55,2021-09-22,47.219307450157395,0.94
55,2021-09-23,41.97271773347324,0.91
55,2021-09-24,26.232948583420775,0.6
55,2021-09-25,36.72612801678909,0.9
55,2021-09-26,36.72612801678909,0.89
55,2021-09-27,41.97271773347324,1.06
55,2021-09-28,36.72612801678909,0.94
55,2021-09-29,41.97271773347324,1.09
55,2021-09-30,36.72612801678909,0.97
55,2021-10-01,36.72612801678909,0.97
55,2021-10-02,26.232948583420775,0.7
55,2021-10-03,26.232948583420775,0.7
55,2021-10-04,20.98635886673662,0.59
55,2021-10-05,15.739769150052465,0.46
55,2021-10-06,10.49317943336831,0.32
55,2021-10-07,10.49317943336831,0.38
55,2021-10-08,5.246589716684155,0.23
55,2021-10-09,5.246589716684155,0.24
55,2021-10-10,5.246589716684155,0.24
55,2021-10-11,10.49317943336831,0.5
55,2021-10-12,26.232948583420775,1.16
55,2021-10-13,52.46589716684155,2.35
55,2021-10-14,52.46589716684155,2.21
55,2021-10-15,62.95907660020986,2.5
55,2021-10-16,73.45225603357818,2.91
55,2021-10-17,73.45225603357818,2.92
55,2021-10-18,62.95907660020986,2.48
55,2021-10-19,47.219307450157395,1.62
55,2021-10-20,20.98635886673662,0.74
55,2021-10-21,20.98635886673662,0.75
55,2021-10-22,10.49317943336831,0.39
55,2021-10-23,0.0,0.0
55,2021-10-24,0.0,0.0
55,2021-10-25,5.246589716684155,0.24
55,2021-10-26,15.739769150052465,1.34
55,2021-10-27,15.739769150052465,1.42
55,2021-10-28,31.47953830010493,3.57
55,2021-10-29,41.97271773347324,6.56
55,2021-10-30,41.97271773347324,6.61
55,2021-10-31,41.97271773347324,7.27
55,2021-11-01,36.72612801678909,7.22
55,2021-11-02,52.46589716684155,10.31
55,2021-11-03,52.46589716684155,8.55
55,2021-11-04,41.97271773347324,7.34
55,2021-11-05,47.219307450157395,7.83
55,2021-11-06,57.712486883525706,8.46
55,2021-11-07,57.712486883525706,8.27
55,2021-11-08,110.17838405036726,8.2
55,2021-11-09,99.68520461699894,4.58
55,2021-11-10,104.9317943336831,4.49
55,2021-11-11,99.68520461699894,4.42
55,2021-11-12,104.9317943336831,3.83
55,2021-11-13,115.42497376705141,4.06
55,2021-11-14,115.42497376705141,4.07
55,2021-11-15,94.43861490031479,3.16
55,2021-11-16,120.67156348373557,4.04
55,2021-11-17,141.6579223504722,3.96
55,2021-11-18,183.63064008394542,4.13
55,2021-11-19,209.8635886673662,4.12
55,2021-11-20,204.61699895068205,3.77
55,2021-11-21,204.61699895068205,3.74
55,2021-11-22,225.60335781741867,3.81
56,2021-09-01,104.15039316773421,12.72
56,2021-09-02,108.05603291152424,12.71
56,2021-09-03,106.75415299692756,12.08
56,2021-09-04,111.96167265531427,12.25
56,2021-09-05,109.35791282612092,11.98
56,2021-09-06,115.8673123991043,10.11
56,2021-09-07,102.84851325313753,8.83
56,2021-09-08,102.84851325313753,8.59
56,2021-09-09,100.24475342394418,7.93
56,2021-09-10,100.24475342394418,5.93
56,2021-09-11,101.54663333854086,5.39
56,2021-09-12,100.24475342394418,5.28
56,2021-09-13,96.33911368015414,4.92
56,2021-09-14,104.15039316773421,4.51
56,2021-09-15,104.15039316773421,3.96
56,2021-09-16,108.05603291152424,3.79
56,2021-09-17,108.05603291152424,3.86
56,2021-09-18,100.24475342394418,3.65
56,2021-09-19,100.24475342394418,3.65
56,2021-09-20,82.01843461959069,3.12
56,2021-09-21,68.99963547362391,2.68
56,2021-09-22,57.28271624225381,2.45
56,2021-09-23,41.66015726709368,1.77
56,2021-09-24,31.245117950320264,1.4
56,2021-09-25,32.54699786491694,1.56
56,2021-09-26,32.54699786491694,1.58
56,2021-09-27,31.245117950320264,1.46
56,2021-09-28,32.54699786491694,1.53
56,2021-09-29,35.1507576941103,1.43
56,2021-09-30,28.641358121126906,1.12
56,2021-10-01,28.641358121126906,1.06
56,2021-10-02,27.33947820653023,1.02
56,2021-10-03,29.943238035723585,1.11
56,2021-10-04,28.641358121126906,0.99
56,2021-10-05,29.943238035723585,0.97
56,2021-10-06,29.943238035723585,1.12
56,2021-10-07,29.943238035723585,1.15
56,2021-10-08,28.641358121126906,1.18
