antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
France Info,Michaël Delafosse,Maire de Montpellier,Parti socialiste,GAUCHE,2.2828408483988905,2020-10-19
LCP,Eric Diard,Député des Bouches-du-Rhône,Les Républicains,DROITE,8.201864513687509,2020-10-19
BFM TV,Agnès Evren,Députée européenne,Les Républicains,DROITE,8.71281858833349,2020-10-20
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.226939995778103,2020-10-20
CNews,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.049519667144056,2020-10-20
Public Sénat,Françoise Gatel,Sénatrice d'Ille-et-Vilaine,UDI,CENTRE DROIT,7.423598996364025,2020-10-20
France Inter,Nathalie Loiseau,Députée européenne,La République en marche !,CENTRE (majorité),4.259657659211121,2020-10-20
CNews,Jacques Myard,Maire de Maisons-Laffitte,Les Républicains,DROITE,8.106805097660967,2020-10-20
CNews,Eric Diard,Député des Bouches-du-Rhône,Les Républicains,DROITE,8.492921142405342,2020-10-20
France Info,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.731997851126895,2020-10-20
RMC-BFM TV,Jean-Michel Blanquer,Ministre de l'Éducation nationale et de la Jeunesse,La République en marche !,CENTRE (majorité),4.4016338108227515,2020-10-20
LCI,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.09605343972217,2020-10-20
RMC,Laëtitia Avia,Députée de Paris,La République en marche !,CENTRE (majorité),4.751805814307337,2020-10-20
Public Sénat,Jacqueline Gourault,Ministre de la Cohésion des territoires et des Relations avec les collectivités territoriales,MoDem,CENTRE,5.239295612111512,2020-10-20
France Inter,Eric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice",Divers,DIV,6.752283544564292,2020-10-20
Sud Radio,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.640463970323388,2020-10-20
RTL,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.15827432923815,2020-10-20
France 2,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.7902562350959101,2020-10-20
Radio Classique,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.365085769091501,2020-10-20
BFM TV,Jean-Didier Berger,Maire de Clamart et porte-parole de Libres !,Les Républicains,DROITE,8.486857344008872,2020-10-20
Public Sénat,Philippe Bas,Sénateur de la Manche,Les Républicains,DROITE,8.54644340960619,2020-10-21
Sud Radio,Annie Genevard,Députée du Doubs,Les Républicains,DROITE,8.693785782689535,2020-10-21
Public Sénat,Dominique Bussereau,Président du Conseil départemental de Charente-Maritime,Les Républicains,DROITE,8.732213573707757,2020-10-21
Europe 1,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.602407251906376,2020-10-21
CNews,Jean-Pierre Raffarin,Ancien Premier ministre,Les Républicains,DROITE,8.046179430077437,2020-10-21
RMC-BFM TV,Richard Ferrand,Président de l'Assemblée nationale,La République en marche !,CENTRE (majorité),4.622049947026849,2020-10-21
LCI,Christian Jacob,Député de Seine-et-Marne et Président du groupe Les Républicains à l'Assemblée nationale,Les Républicains,DROITE,8.0091310741001,2020-10-21
Le Figaro,Guillaume Larrivé,Député de l'Yonne,Les Républicains,DROITE,8.704125238954415,2020-10-21
CNews,Patrice Bessac,Maire de Montreuil,PCF,EXT G,1.6902649695350616,2020-10-21
CNews,Julien Dray,Conseiller régional d'Ile-de-France,Parti socialiste,GAUCHE,2.123044901102902,2020-10-21
Radio Classique,Gérard Larcher,Sénateur des Yvelines et Président du Sénat,Les Républicains,DROITE,8.19728554803468,2020-10-21
Le Figaro,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.108702906221611,2020-10-22
RMC-BFM TV,François Bayrou,"Haut-commissaire au Plan, maire de Pau et président du MoDem",MoDem,CENTRE,5.686522285703081,2020-10-22
France Info,François Rebsamen,Maire de Dijon et ancien ministre du Travail,Parti socialiste,GAUCHE,2.065190021322252,2020-10-22
CNews,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.399069569121034,2020-10-22
CNews,Jérôme Rivière,Député européen,Rassemblement national,EXT D,9.491752321254895,2020-10-22
France Info,Roland Lescure,Député des Français établis hors de France,La République en marche !,CENTRE (majorité),4.707416598275783,2020-10-22
LCI,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.72975774071895,2020-10-22
Europe 1,Jean-Michel Blanquer,Ministre de l'Éducation nationale et de la Jeunesse,La République en marche !,CENTRE (majorité),4.06205476661042,2020-10-22
Public Sénat,Guillaume Larrivé,Député de l'Yonne,Les Républicains,DROITE,8.30906922348786,2020-10-22
Sud Radio,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.528831091180153,2020-10-22
Public Sénat,Hervé Maurey,Sénateur de l'Eure,UDI,CENTRE DROIT,7.662297133753961,2020-10-22
RMC,Gaël Perdriau,Maire de Saint-Etienne,Les Républicains,DROITE,8.511851366934254,2020-10-22
Sud Radio,Nathalie Avy-Elimas,Secrétaire d'État chargée de l'Éducation prioritaire,MoDem,CENTRE,5.385469305568382,2020-10-22
RFI,Manuel Bompard,Député européen,La France insoumise,EXT G,1.465577343451305,2020-10-22
France Inter,Pierre Laurent,Sénateur de Paris et Secrétaire national du Parti communiste français,PCF,EXT G,1.1737018561141168,2020-10-23
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.238731339198514,2020-10-23
LCP,Anne Sander,Députée européenne,Les Républicains,DROITE,8.505480655419412,2020-10-23
France Info,Rachida Dati,Maire du 7e arrondissement de Paris,Les Républicains,DROITE,8.067409550029703,2020-10-23
France 2,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.235809349351362,2020-10-23
Sud Radio,Yaël  Braun-Pivet,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.706106789034098,2020-10-23
Europe 1,Bruno Le Maire,Ministre de l'Économie,La République en marche !,CENTRE (majorité),4.257403708447053,2020-10-23
Public Sénat,Adrien Taquet,Secrétaire d'État auprès de la ministre des Solidarités et de la Santé,La République en marche !,CENTRE (majorité),4.140576036273234,2020-10-23
LCP,Yaël  Braun-Pivet,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.344360679062681,2020-10-23
CNews,Franck Riester,Ministre délégué chargé du Commerce extérieur et de l'Attractivité,Agir,CENTRE DROIT,7.115760286345737,2020-10-23
Le Figaro,Manuel Valls,Ancien Premier ministre,Divers gauche,GAUCHE,2.729208362692227,2020-10-23
France Inter,Najat Vallaud-Belkacem,Ancienne ministre,Parti socialiste,GAUCHE,2.0776381013946605,2020-10-24
Europe 1,Franck Louvrier,Conseiller régional des Pays de la Loire,Les Républicains,DROITE,8.04031077557773,2020-10-24
France Inter,Emmanuelle Wargon,Ministre déléguée chargée du Logement,Divers,DIV,6.337759272449834,2020-10-24
Europe 1,Mathieu Klein,Maire de Nancy,Parti socialiste,GAUCHE,2.122589784303743,2020-10-24
Europe 1,Jack Lang,Ancien ministre,Parti socialiste,GAUCHE,2.6645118977314746,2020-10-25
France Info,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.13986826464075,2020-10-25
BFM TV,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.4755780545044275,2020-10-25
BFM TV,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.109406891311941,2020-10-25
Radio Classique,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.1748774802825528,2020-10-26
Public Sénat,Julien Bargeton,Sénateur de Paris,La République en marche !,CENTRE (majorité),4.549405614680798,2020-10-26
France 2,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.639099427966752,2020-10-26
Sud Radio,Boris Vallaud,Député des Landes,Parti socialiste,GAUCHE,2.334691053335664,2020-10-26
Public Sénat,Amélie de Montchalin,Ministre de la Transformation et de la Fonction publiques,La République en marche !,CENTRE (majorité),4.335167386471965,2020-10-26
Europe 1,Sarah El Haïry,Secrétaire d'État chargée de la Jeunesse et de l'Engagement,MoDem,CENTRE,5.715339295037154,2020-10-26
France Inter,Jean-Luc Mélenchon,Député des Bouches-du-Rhône et coprésident du bureau national du Parti de gauche,La France insoumise,EXT G,1.2070696337283398,2020-10-26
Le Figaro,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.093740496565496,2020-10-26
France Info,Franck Riester,Ministre délégué chargé du Commerce extérieur et de l'Attractivité,Agir,CENTRE DROIT,7.69348484555637,2020-10-26
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.789828989846393,2020-10-26
LCP,Olivier Dussopt,Secrétaire d'État auprès du Ministre de l'Action et des Comptes publics,Divers,DIV,6.743911422830924,2020-10-26
CNews,Alexis Bachelay,Ancien député des Hauts-de-Seine,Parti socialiste,GAUCHE,2.2629891496141625,2020-10-26
LCI,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.1811279285129075,2020-10-26
RMC-BFM TV,Roselyne Bachelot,Ministre de la Culture,Divers droite,DROITE,8.627891254153134,2020-10-26
BFM TV,Julien Odoul,Président du groupe RN à la région Bourgogne-Franche-Comté,Rassemblement national,EXT D,9.661034074989747,2020-10-27
France Info,Patrick Kanner,Sénateur du Nord,Parti socialiste,GAUCHE,2.6104090860025,2020-10-27
France Info,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.598331650559732,2020-10-27
CNews,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.54202847368261,2020-10-27
France 2,Stéphane Troussel,Président du Conseil Départemental de la Seine-Saint-Denis,Parti socialiste,GAUCHE,2.5851331105899047,2020-10-27
Public Sénat,Manuel Valls,Ancien Premier ministre,Divers gauche,GAUCHE,2.258472091046705,2020-10-27
Public Sénat,Sophie Primas,Sénatrice des Yvelines,Les Républicains,DROITE,8.34631678717804,2020-10-27
Radio Classique,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.383144810214205,2020-10-27
France Inter,Gérald Darmanin,Ministre de l'Intérieur,La République en marche !,CENTRE (majorité),4.665088660605511,2020-10-27
LCI,Elisabeth Moreno,"Ministre déléguée chargée de lÉgalité entre les femmes et les hommes, de la Diversité et de lÉgalité des chances",Divers,DIV,6.5902185390761865,2020-10-27
Le Figaro,Franck Riester,Ministre délégué chargé du Commerce extérieur et de l'Attractivité,Agir,CENTRE DROIT,7.641675380222817,2020-10-27
France 2,Stanislas Guerini,Député de Paris,La République en marche !,CENTRE (majorité),4.59055687898484,2020-10-28
RMC-BFM TV,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.478433052394145,2020-10-28
France Info,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.489036301329463,2020-10-28
France Inter,Richard Ferrand,Président de l'Assemblée nationale,La République en marche !,CENTRE (majorité),4.388794920902131,2020-10-28
Sud Radio,Olivier Dussopt,Secrétaire d'État auprès du Ministre de l'Action et des Comptes publics,Divers,DIV,6.638091590737596,2020-10-28
Public Sénat,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.314267774804334,2020-10-28
LCI,Christian Estrosi,Maire de Nice,Les Républicains,DROITE,8.155290175077958,2020-10-28
France Info,François Hollande,Ancien Président de la République,Parti socialiste,GAUCHE,2.4813956076322174,2020-10-28
Radio Classique,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.382065276797817,2020-10-29
BFM TV,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.666758464293576,2020-10-29
Europe 1,François Hollande,Ancien Président de la République,Parti socialiste,GAUCHE,2.0313113631259316,2020-10-29
France Info,Olivier Véran,Ministre des Solidarités et de la Santé,La République en marche !,CENTRE (majorité),4.04353312323707,2020-10-29
RMC,Rachida Dati,Maire du 7e arrondissement de Paris,Les Républicains,DROITE,8.20361649911154,2020-10-29
CNews,Gérard Larcher,Sénateur des Yvelines et Président du Sénat,Les Républicains,DROITE,8.172342014540792,2020-10-29
Public Sénat,Patrick Kanner,Sénateur du Nord,Parti socialiste,GAUCHE,2.7337648994679884,2020-10-29
RMC,François Ruffin,Député de la Somme,La France insoumise,EXT G,1.112669741153977,2020-10-29
France 2,Jean-Michel Blanquer,Ministre de l'Éducation nationale et de la Jeunesse,La République en marche !,CENTRE (majorité),4.0048291016192294,2020-10-29
LCI,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.348783597826581,2020-10-29
Public Sénat,Frédérique Vidal,"Ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation",Divers,DIV,6.6351846169918876,2020-10-30
RMC,Alain Griset,Ministre délégué chargé des Petites et Moyennes entreprises,Divers,DIV,6.12272479309989,2020-10-30
Public Sénat,Rachid Temal,Sénateur du Val d'Oise et porte-parole du groupe socialiste,Parti socialiste,GAUCHE,2.5907852711196036,2020-10-30
