antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.488727057155295,2020-06-03
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.357864999949648,2020-06-08
LCI,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.2910348756693764,2020-06-09
Le Figaro,Nicolas Florian,Ancien maire de Bordeaux,Les Républicains,DROITE,8.791619013201515,2020-06-09
France Info,Florian Philippot,Ancien député européen,Les Patriotes,EXT D,9.22335979365953,2020-06-09
France Inter,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.638719421413658,2020-06-09
BFM TV,François Pupponi,Député du Val-d'Oise,Divers gauche,GAUCHE,2.6994163398799476,2020-06-09
BFM TV,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.613832621728598,2020-06-09
BFM TV,Esther Benbassa,Sénatrice du Val-de-Marne,Europe écologie - Les Verts,GAUCHE,2.752007581182505,2020-06-09
Radio Classique,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.372983066080737,2020-06-09
CNews,Eric Coquerel,"Député de Seine-Saint-Denis, Coordinateur politique et porte-parole du Parti de gauche",La France insoumise,EXT G,1.034787259939514,2020-06-09
Public Sénat,Valérie Rabault,Députée du Tarn-et-Garonne,Parti socialiste,GAUCHE,2.227575901265971,2020-06-09
RTL,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.182075359023683,2020-06-09
Sud Radio,Aurélien Pradié,Député du Lot,Les Républicains,DROITE,8.735339422674208,2020-06-09
France 2,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.510524420699248,2020-06-09
Public Sénat,Philippe Dominati,Sénateur de Paris,Les Républicains,DROITE,8.506646969244901,2020-06-09
France Inter,Sarah El Haïry,Secrétaire d'État chargée de la Jeunesse et de l'Engagement,MoDem,CENTRE,5.682574185787097,2020-06-09
RMC-BFM TV,Christophe Castaner,"Président du groupe LREM à l'Assemblée nationale, ancien Ministre de l'Intérieur",La République en marche !,CENTRE (majorité),4.067754180317403,2020-06-09
CNews,Julien Dray,Conseiller régional d'Ile-de-France,Parti socialiste,GAUCHE,2.1308625124829543,2020-06-10
France Info,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.673497036847511,2020-06-10
Le Figaro,Philippe Goujon,Maire du 15e arrondissement de Paris,Les Républicains,DROITE,8.679064867011505,2020-06-10
RFI,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.3333359913491365,2020-06-10
France Info,François Ruffin,Député de la Somme,La France insoumise,EXT G,1.7942899625406907,2020-06-10
RMC-BFM TV,Ségolène Royal,Ancienne ministre,Parti socialiste,GAUCHE,2.4990869700978204,2020-06-10
RTL,Nicole Belloubet,"Garde des Sceaux, ministre de la Justice",Divers gauche,GAUCHE,2.621680934982991,2020-06-10
France Inter,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.191340792221341,2020-06-10
CNews,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.192005092863942,2020-06-10
Europe 1,Laurent Nuñez,Secrétaire d'État auprès du ministre de l'Intérieur,Divers,DIV,6.173809661553004,2020-06-10
Public Sénat,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.154308804656755,2020-06-10
RTL,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.033570525219393,2020-06-10
Sud Radio,Florian Philippot,Ancien député européen,Les Patriotes,EXT D,9.097256645709791,2020-06-10
Public Sénat,Alain Millon,Sénateur du Vaucluse,Les Républicains,DROITE,8.784527729931465,2020-06-10
France 2,Manuel Valls,Ancien Premier ministre,Divers gauche,GAUCHE,2.3958092347575404,2020-06-10
CNews,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.152517437798894,2020-06-10
LCI,Marion Maréchal-Le Pen,Ancienne députée de Vaucluse,Rassemblement national,EXT D,9.398895344966167,2020-06-11
Europe 1,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.196868222437191,2020-06-11
France Info,Sibeth Ndiaye,"Secrétaire d'État auprès du Premier ministre
Porte-parole du gouvernement",La République en marche !,CENTRE (majorité),4.0166065538805364,2020-06-11
Le Figaro,Emmanuel Grégoire,Premier-adjoint au maire de Paris,Parti socialiste,GAUCHE,2.396355026757777,2020-06-11
RFI,Eric Woerth,Député de l'Oise,Les Républicains,DROITE,8.236841390303473,2020-06-11
LCI,Bruno Le Maire,Ministre de l'Économie,La République en marche !,CENTRE (majorité),4.237446653194247,2020-06-11
RMC-BFM TV,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.747891989060406,2020-06-11
Radio Classique,Agnès Buzyn,"Ancienne Ministre, tête de liste La République en marche à Paris",La République en marche !,CENTRE (majorité),4.691222395976895,2020-06-11
CNews,Guillaume Peltier,Député de Loir-et-Cher,Les Républicains,DROITE,8.536363892636476,2020-06-11
Europe 1,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.257675542826874,2020-06-11
Public Sénat,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.159193542387543,2020-06-11
Sud Radio,Valérie Rabault,Députée du Tarn-et-Garonne,Parti socialiste,GAUCHE,2.0089622402857867,2020-06-11
France 2,Gérard Larcher,Sénateur des Yvelines et Président du Sénat,Les Républicains,DROITE,8.300180833144307,2020-06-11
Public Sénat,Hervé Marseille,Président du groupe Union centriste du Sénat,UDI,CENTRE DROIT,7.712433433108547,2020-06-11
France Info,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.226061028903223,2020-06-11
LCP,Marie-Noëlle Lienemann,Sénatrice de Paris,Gauche républicaine et socialiste,GAUCHE,2.2953192772236224,2020-06-12
France Info,Nicole Belloubet,"Garde des Sceaux, ministre de la Justice",Divers gauche,GAUCHE,2.602680303212087,2020-06-12
LCP,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.6324596445609265,2020-06-12
France Info,Mathilde Panot,Députée du Val-de-Marne,La France insoumise,EXT G,1.7940237156675594,2020-06-12
France Info,Nathalie Loiseau,Députée européenne,La République en marche !,CENTRE (majorité),4.7374614125939125,2020-06-12
Public Sénat,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.082763782648834,2020-06-12
BFM TV,Jean-Luc Mélenchon,Député des Bouches-du-Rhône et coprésident du bureau national du Parti de gauche,La France insoumise,EXT G,1.5115308650383543,2020-06-12
RMC-BFM TV,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.414306650832569,2020-06-12
France Inter,Arnaud Montebourg,Ancien ministre,Parti socialiste,GAUCHE,2.771068727393912,2020-06-12
Radio Classique,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.6001597327602255,2020-06-12
France 2,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.2434073682136957,2020-06-12
Sud Radio,Marc Fesneau,Ministre chargé des Relations avec le Parlement,MoDem,CENTRE,5.471509425277456,2020-06-12
LCI,Eric Coquerel,"Député de Seine-Saint-Denis, Coordinateur politique et porte-parole du Parti de gauche",La France insoumise,EXT G,1.5176494795423017,2020-06-12
France Inter,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.720660757595587,2020-06-13
BFM TV,Louis Aliot,Député européen,Rassemblement national,EXT D,9.60035831337168,2020-06-14
LCI,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.061194898331326,2020-06-14
BFM TV,Xavier Bertrand,Président du conseil régional des Hauts-de-France,Les Républicains,DROITE,8.52678989631224,2020-06-14
LCP,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.68698080794835,2020-06-15
France Info,Jean-Pierre Chevènement,Ancien ministre,MRC,GAUCHE,2.665382965015998,2020-06-15
France Info,Stéphane Séjourné,Député européen,La République en marche !,CENTRE (majorité),4.30608391841306,2020-06-15
Radio Classique,Ségolène Royal,Ancienne ministre,Parti socialiste,GAUCHE,2.4823638329047344,2020-06-15
LCP,Dominique Bussereau,Président du Conseil départemental de Charente-Maritime,Les Républicains,DROITE,8.518740227707843,2020-06-15
CNews,Julien Odoul,Président du groupe RN à la région Bourgogne-Franche-Comté,Rassemblement national,EXT D,9.121131711507429,2020-06-15
France 2,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.103611342247813,2020-06-15
LCI,Olivier Véran,Ministre des Solidarités et de la Santé,La République en marche !,CENTRE (majorité),4.563231798317898,2020-06-15
France Inter,Sibeth Ndiaye,"Secrétaire d'État auprès du Premier ministre
Porte-parole du gouvernement",La République en marche !,CENTRE (majorité),4.734315264958862,2020-06-15
Public Sénat,Hervé Morin,Président de la Région Normandie,UDI,CENTRE DROIT,7.1220413378958325,2020-06-15
RTL,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.165892434811129,2020-06-15
Sud Radio,Eric Coquerel,"Député de Seine-Saint-Denis, Coordinateur politique et porte-parole du Parti de gauche",La France insoumise,EXT G,1.7748890088285076,2020-06-15
Europe 1,Jean-Michel Blanquer,Ministre de l'Éducation nationale et de la Jeunesse,La République en marche !,CENTRE (majorité),4.317360053173954,2020-06-15
Public Sénat,Martial Bourquin,Sénateur du Doubs,Parti socialiste,GAUCHE,2.6937344243316845,2020-06-15
RMC-BFM TV,Gérald Darmanin,Ministre de l'Intérieur,La République en marche !,CENTRE (majorité),4.450470348121955,2020-06-15
Europe 1,Muriel Pénicaud,Ancienne ministre du Travail,La République en marche !,CENTRE (majorité),4.3319242052085585,2020-06-16
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.176157360173187,2020-06-16
Le Figaro,Frédéric Péchenard,Vice-président du Conseil régional d'Île-de-France et conseiller de Paris,Les Républicains,DROITE,8.317131158664264,2020-06-16
CNews,David Guiraud,Porte parole Jeunesse de la France insoumise,La France insoumise,EXT G,1.1928350163910193,2020-06-16
BFM TV,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.538308507224537,2020-06-16
BFM TV,Jean-Luc Mélenchon,Député des Bouches-du-Rhône et coprésident du bureau national du Parti de gauche,La France insoumise,EXT G,1.3191935935000692,2020-06-16
France Info,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.699477089112067,2020-06-16
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.514909945597934,2020-06-16
France Info,Jean-Lin Lacapelle,Député européen et conseiller régional d'Ile-de-France,Rassemblement national,EXT D,9.473565467616696,2020-06-16
Sud Radio,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.093669263179596,2020-06-16
Public Sénat,Catherine Morin-Desailly,Sénatrice de Seine-Maritime,UDI,CENTRE DROIT,7.571134948281196,2020-06-16
France 2,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.239759616765039,2020-06-16
France Inter,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.279706818906131,2020-06-16
CNews,Jean-Michel Fauvergue,Député de Seine-et-Marne,La République en marche !,CENTRE (majorité),4.628006142418022,2020-06-16
CNews,Didier Guillaume,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.643202831898416,2020-06-16
Radio Classique,Emmanuel Grégoire,Premier-adjoint au maire de Paris,Parti socialiste,GAUCHE,2.4398477039185567,2020-06-16
LCI,Eric Woerth,Député de l'Oise,Les Républicains,DROITE,8.600849289140026,2020-06-16
Europe 1,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.425861579513263,2020-06-16
France Inter,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.1064255406133614,2020-06-17
Le Figaro,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.620886819917491,2020-06-17
RFI,Marc Fesneau,Ministre chargé des Relations avec le Parlement,MoDem,CENTRE,5.120314199149446,2020-06-17
Public Sénat,Yves Daudigny,Sénateur de l'Aisne,Parti socialiste,GAUCHE,2.7954975699126576,2020-06-17
RMC-BFM TV,Aurore Bergé,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.226635842118067,2020-06-17
Public Sénat,Stanislas Guerini,Député de Paris,La République en marche !,CENTRE (majorité),4.0789081341791515,2020-06-17
CNews,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.18819920876454,2020-06-17
Sud Radio,Yaël  Braun-Pivet,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.549777949752789,2020-06-17
France 2,Franck Riester,Ministre délégué chargé du Commerce extérieur et de l'Attractivité,Agir,CENTRE DROIT,7.379828447109256,2020-06-17
LCI,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.59565612649828,2020-06-17
RMC,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.643378168367898,2020-06-18
RMC-BFM TV,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.022853489735487,2020-06-18
LCP,Sylvie Charrière,Députée de Seine-Saint-Denis,La République en marche !,CENTRE (majorité),4.667104800768752,2020-06-18
BFM TV,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.526183087492873,2020-06-18
France Info,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.157753328116707,2020-06-18
Le Figaro,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.323304461662,2020-06-18
France Info,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.547150374227234,2020-06-18
CNews,Jean-Pierre Raffarin,Ancien Premier ministre,Les Républicains,DROITE,8.509674455381678,2020-06-18
France Info,Anne Hidalgo,Maire de Paris,Parti socialiste,GAUCHE,2.5466904675241975,2020-06-18
Radio Classique,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.272822706128154,2020-06-18
Europe 1,Manuel Valls,Ancien Premier ministre,Divers gauche,GAUCHE,2.5192626925368087,2020-06-18
Public Sénat,Didier Guillaume,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.772105338341508,2020-06-18
France Inter,Bruno Le Maire,Ministre de l'Économie,La République en marche !,CENTRE (majorité),4.513824686010233,2020-06-18
Sud Radio,Sophie Cluzel,Secrétaire d'État chargée des Personnes handicapées,Divers,DIV,6.7954724689236805,2020-06-18
RTL,Xavier Bertrand,Président du conseil régional des Hauts-de-France,Les Républicains,DROITE,8.5352678003924,2020-06-18
Public Sénat,Philippe Bas,Sénateur de la Manche,Les Républicains,DROITE,8.029484039993468,2020-06-18
France Inter,Gabriel Serville,Député de Guyane,Divers gauche,GAUCHE,2.1378004782631317,2020-06-18
LCI,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.4125859130310374,2020-06-18
Le Figaro,Agnès Buzyn,"Ancienne Ministre, tête de liste La République en marche à Paris",La République en marche !,CENTRE (majorité),4.79387413672691,2020-06-19
RMC-BFM TV,Nadine Morano,Députée européenne,Les Républicains,DROITE,8.563187007390697,2020-06-19
LCP,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.664097510759822,2020-06-19
LCP,Marie Guévenoux,Députée de l'Essonne,La République en marche !,CENTRE (majorité),4.460839670008894,2020-06-19
RFI,Boris Vallaud,Député des Landes,Parti socialiste,GAUCHE,2.776212774933038,2020-06-19
RTL,Franck Riester,Ministre délégué chargé du Commerce extérieur et de l'Attractivité,Agir,CENTRE DROIT,7.2637344286092524,2020-06-19
France Info,François-Xavier Bellamy,Député européen,Les Républicains,DROITE,8.498325037978686,2020-06-19
Radio Classique,David Cormand,Député européen,Europe écologie - Les Verts,GAUCHE,2.3580637552209365,2020-06-19
CNews,Ségolène Royal,Ancienne ministre,Parti socialiste,GAUCHE,2.12335177166331,2020-06-19
Europe 1,Amélie de Montchalin,Ministre de la Transformation et de la Fonction publiques,La République en marche !,CENTRE (majorité),4.471267772204876,2020-06-19
Public Sénat,Marc Fesneau,Ministre chargé des Relations avec le Parlement,MoDem,CENTRE,5.468584112087357,2020-06-19
Public Sénat,Jean-Raymond Hugonet,Sénateur de l'Essonne,Les Républicains,DROITE,8.311850505414899,2020-06-19
France 2,Jean-Baptiste Lemoyne,"Secrétaire d'État chargé du Tourisme, des Français de létranger et de la Francophonie",La République en marche !,CENTRE (majorité),4.24690293800152,2020-06-19
Sud Radio,Eric Woerth,Député de l'Oise,Les Républicains,DROITE,8.474153346219056,2020-06-19
LCI,Brice Hortefeux,Député européen,Les Républicains,DROITE,8.083761488423013,2020-06-19
Europe 1,Agnès Buzyn,"Ancienne Ministre, tête de liste La République en marche à Paris",La République en marche !,CENTRE (majorité),4.063980830625567,2020-06-20
France Inter,David Cormand,Député européen,Europe écologie - Les Verts,GAUCHE,2.0898956185088853,2020-06-20
LCI,Arnaud Montebourg,Ancien ministre,Parti socialiste,GAUCHE,2.6135886560675208,2020-06-21
BFM TV,Christian Jacob,Député de Seine-et-Marne et Président du groupe Les Républicains à l'Assemblée nationale,Les Républicains,DROITE,8.04734654962208,2020-06-21
Europe 1,Franck Riester,Ministre délégué chargé du Commerce extérieur et de l'Attractivité,Agir,CENTRE DROIT,7.116951786981593,2020-06-21
LCI,Jean-Luc Mélenchon,Député des Bouches-du-Rhône et coprésident du bureau national du Parti de gauche,La France insoumise,EXT G,1.6120647020010193,2020-06-21
LCP,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.382603097557228,2020-06-22
France Info,Eric Coquerel,"Député de Seine-Saint-Denis, Coordinateur politique et porte-parole du Parti de gauche",La France insoumise,EXT G,1.0851057909540667,2020-06-22
LCP,Elisabeth Guigou,Ancienne ministre,Parti socialiste,GAUCHE,2.1804084179434446,2020-06-22
CNews,Isabelle Florennes,Députée des Hauts-de-Seine,MoDem,CENTRE,5.00262036480099,2020-06-22
CNews,David Cormand,Député européen,Europe écologie - Les Verts,GAUCHE,2.1153883803033096,2020-06-22
Public Sénat,Julien Bargeton,Sénateur de Paris,La République en marche !,CENTRE (majorité),4.055620281623209,2020-06-22
RMC,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.78122123527836,2020-06-22
Radio Classique,Rachida Dati,Maire du 7e arrondissement de Paris,Les Républicains,DROITE,8.341734834428708,2020-06-22
RFI,David Belliard,Président du groupe EELV au conseil de Paris,Europe écologie - Les Verts,GAUCHE,2.419252386203949,2020-06-22
RMC-BFM TV,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.278598428149826,2020-06-22
Public Sénat,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.566496808094739,2020-06-22
Sud Radio,François-Xavier Bellamy,Député européen,Les Républicains,DROITE,8.760255312939321,2020-06-22
France 2,Daniel Cohn-Bendit,Ancien député européen,Divers gauche,GAUCHE,2.45494912426663,2020-06-22
France Info,Jean-Pierre Raffarin,Ancien Premier ministre,Les Républicains,DROITE,8.195257918588766,2020-06-22
France Info,Eric Bothorel,Député des Côtes-d'Armor,La République en marche !,CENTRE (majorité),4.105121083318556,2020-06-22
France Info,Agnès Buzyn,"Ancienne Ministre, tête de liste La République en marche à Paris",La République en marche !,CENTRE (majorité),4.634422156926251,2020-06-23
CNews,Constance Le Grip,Députée des Hauts-de-Seine,Les Républicains,DROITE,8.524003123209152,2020-06-23
France Info,Delphine Batho,Députée des Deux-Sèvres,Génération écologie,GAUCHE,2.0391185463481025,2020-06-23
Le Figaro,Geoffroy Boulard,Maire du 17e arrondissement de Paris,Les Républicains,DROITE,8.51622041027297,2020-06-23
RFI,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.3257552827410715,2020-06-23
RMC-BFM TV,Fabien Roussel,Membre du PCF,PCF,EXT G,1.6428131762765426,2020-06-23
Public Sénat,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.7805032221079484,2020-06-23
Public Sénat,Jean Bizet,Sénateur de la Manche,Les Républicains,DROITE,8.35531483318844,2020-06-23
RTL,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.433593945993194,2020-06-23
France Inter,Manuel Valls,Ancien Premier ministre,Divers gauche,GAUCHE,2.385735823875031,2020-06-23
France 2,Hervé Morin,Président de la Région Normandie,UDI,CENTRE DROIT,7.251057965615877,2020-06-23
Europe 1,David Belliard,Président du groupe EELV au conseil de Paris,Europe écologie - Les Verts,GAUCHE,2.2259542116231903,2020-06-23
CNews,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.364868835053208,2020-06-23
Radio Classique,Jean-Pierre Raffarin,Ancien Premier ministre,Les Républicains,DROITE,8.156218324955834,2020-06-23
France Info,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.444281001069101,2020-06-23
France Info,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.75594926156241,2020-06-24
LCI,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.681628812123211,2020-06-24
CNews,Julien Borowczyk,Député de la Loire,La République en marche !,CENTRE (majorité),4.775245249903071,2020-06-24
Le Figaro,Jean-Noël Barrot,Député des Yvelines,La République en marche !,CENTRE (majorité),4.7147402231981586,2020-06-24
Public Sénat,Henri Cabanel,Sénateur de l'Hérault,Parti socialiste,GAUCHE,2.661153212178931,2020-06-24
France Info,Céline Calvez,Députée des Hauts-de-Seine,La République en marche !,CENTRE (majorité),4.376607681228466,2020-06-24
RFI,Bastien Lachaud,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.231686490314823,2020-06-24
RTL,Bruno Bonnell,Député du Rhône,La République en marche !,CENTRE (majorité),4.547920595173299,2020-06-24
France Info,Stanislas Guerini,Député de Paris,La République en marche !,CENTRE (majorité),4.2305819146079,2020-06-24
Public Sénat,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.738051700747949,2020-06-24
RMC-BFM TV,Richard Ferrand,Président de l'Assemblée nationale,La République en marche !,CENTRE (majorité),4.107977617732257,2020-06-24
France 2,Nicole Belloubet,"Garde des Sceaux, ministre de la Justice",Divers gauche,GAUCHE,2.3414573411399067,2020-06-24
LCI,Florian Philippot,Ancien député européen,Les Patriotes,EXT D,9.553742789084547,2020-06-24
CNews,Julien Dray,Conseiller régional d'Ile-de-France,Parti socialiste,GAUCHE,2.759181924889617,2020-06-25
LCP,Pacôme Rupin,Député de Paris,La République en marche !,CENTRE (majorité),4.440389685796289,2020-06-25
France Info,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.5740850826442183,2020-06-25
Le Figaro,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.326057064327804,2020-06-25
RMC,François Ruffin,Député de la Somme,La France insoumise,EXT G,1.5371489803595169,2020-06-25
France Info,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.35437982959921,2020-06-25
LCI,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.220330005629894,2020-06-25
France Info,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.373730764554977,2020-06-25
CNews,Amélie de Montchalin,Ministre de la Transformation et de la Fonction publiques,La République en marche !,CENTRE (majorité),4.568776409764089,2020-06-25
Europe 1,Muriel Pénicaud,Ancienne ministre du Travail,La République en marche !,CENTRE (majorité),4.502707958006384,2020-06-25
Public Sénat,Pierre Person,Député de Paris,La République en marche !,CENTRE (majorité),4.795937555789301,2020-06-25
France Inter,Christian Jacob,Député de Seine-et-Marne et Président du groupe Les Républicains à l'Assemblée nationale,Les Républicains,DROITE,8.066135156407917,2020-06-25
Public Sénat,Loïc Hervé,Sénateur de Haute-Savoie,UDI,CENTRE DROIT,7.24507065303403,2020-06-25
RFI,Jérôme Rivière,Député européen,Rassemblement national,EXT D,9.247109304621604,2020-06-25
RTL,Nicolas Hulot,Ancien Ministre de la Transition écologique et solidaire,Divers,DIV,6.103136558752405,2020-06-25
Sud Radio,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.045908493829081,2020-06-25
LCP,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.196959703629415,2020-06-26
RFI,Sacha Houlié,Député de la Vienne,La République en marche !,CENTRE (majorité),4.038827865073496,2020-06-26
RMC,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.554317358720628,2020-06-26
France Info,Rachida Dati,Maire du 7e arrondissement de Paris,Les Républicains,DROITE,8.278464085404785,2020-06-26
France Info,Danièle Obono,Députée de Paris,La France insoumise,EXT G,1.7539151722366764,2020-06-26
LCP,Jean-Luc Bennahmias,Ancien député européen,Front démocrate,CENTRE GAUCHE,3.2200463996959052,2020-06-26
LCI,Agnès Buzyn,"Ancienne Ministre, tête de liste La République en marche à Paris",La République en marche !,CENTRE (majorité),4.184887281605394,2020-06-26
Public Sénat,François-Xavier Bellamy,Député européen,Les Républicains,DROITE,8.475389958800235,2020-06-26
RMC-BFM TV,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.765101281426723,2020-06-26
Radio Classique,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.501406292188914,2020-06-26
Europe 1,Olivier Véran,Ministre des Solidarités et de la Santé,La République en marche !,CENTRE (majorité),4.293806430123394,2020-06-26
Sud Radio,Gaspard Gantzer,Candidat à la mairie de Paris,"Parisiennes, Parisiens",CENTRE,5.429845627597829,2020-06-26
France 2,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.35894895254237,2020-06-26
Public Sénat,Sophie Taillé-Polian,Sénatrice du Val-de-Marne,Génération.s,GAUCHE,2.4363660692329336,2020-06-26
France Info,Nathalie Loiseau,Députée européenne,La République en marche !,CENTRE (majorité),4.505502063291244,2020-06-29
RFI,Eric Coquerel,"Député de Seine-Saint-Denis, Coordinateur politique et porte-parole du Parti de gauche",La France insoumise,EXT G,1.1680092897219385,2020-06-29
Europe 1,Céline Calvez,Députée des Hauts-de-Seine,La République en marche !,CENTRE (majorité),4.757324142899479,2020-06-29
CNews,Florian Philippot,Ancien député européen,Les Patriotes,EXT D,9.298689588740137,2020-06-29
LCP,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.076184408071235,2020-06-29
