jour,nombre_injections,injections_glissantes
2021-08-04,647760,620769
2021-08-05,644831,592291
2021-08-06,684127,569957
2021-08-07,421111,556477
2021-08-08,147625,552362
2021-08-09,554793,542767
2021-08-10,627966,532601
2021-08-11,579338,522827
2021-08-12,589634,514942
2021-08-13,564335,497828
2021-08-14,363991,489668
2021-08-15,93653,481958
2021-08-16,530672,478512
2021-08-17,583816,472205
2021-08-18,552079,468311
2021-08-19,546424,462138
2021-08-20,580071,464386
2021-08-21,358275,463570
2021-08-22,123665,467857
2021-08-23,519424,466250
2021-08-24,564520,463494
2021-08-25,525295,459667
2021-08-26,509412,454380
2021-08-27,561950,451791
2021-08-28,355198,451352
2021-08-29,115188,450141
2021-08-30,463823,442198
2021-08-31,492973,431977
2021-09-01,457846,422341
2021-09-02,397966,406420
2021-09-03,457942,391562
2021-09-04,332765,388357
2021-09-05,74000,382473
2021-09-06,298357,358835
2021-09-07,302696,331653
2021-09-08,335646,314196
2021-09-09,283624,297861
2021-09-10,347690,282111
2021-09-11,257192,271315
2021-09-12,49620,267832
2021-09-13,241229,259671
2021-09-14,269350,254907
2021-09-15,303044,250249
2021-09-16,239384,243929
2021-09-17,290004,235689
2021-09-18,208371,228714
2021-09-19,35160,226648
2021-09-20,188253,219080
2021-09-21,205527,209963
2021-09-22,245283,201711
2021-09-23,194651,195321
2021-09-24,240881,188303
2021-09-25,170387,182877
2021-09-26,26164,181592
2021-09-27,159476,177481
2021-09-28,164980,171688
2021-09-29,199848,165198
2021-09-30,163230,160709
2021-10-01,222988,158153
2021-10-02,142706,154198
2021-10-03,18886,153159
2021-10-04,148781,151631
2021-10-05,159018,150779
2021-10-06,189199,149258
2021-10-07,156804,148340
2021-10-08,221156,148078
2021-10-09,130346,146312
2021-10-10,15048,145764
2021-10-11,144043,145087
2021-10-12,156311,144701
2021-10-13,180378,143440
2021-10-14,152249,142790
2021-10-15,216570,142135
2021-10-16,116784,140197
2021-10-17,13036,139910
2021-10-18,139314,139234
2021-10-19,148648,138139
2021-10-20,186617,139031
2021-10-21,154792,139394
2021-10-22,208197,138198
2021-10-23,115995,138085
2021-10-24,11670,137890
2021-10-25,146705,138946
2021-10-26,147070,138720
2021-10-27,187087,138788
2021-10-28,147131,137693
2021-10-29,201126,136683
2021-10-30,105711,135214
2021-10-31,10127,134993
2021-11-01,11013,115609
2021-11-02,158704,117271
2021-11-03,196324,118590
2021-11-04,167705,121530
2021-11-05,226211,125113
2021-11-06,121142,127318
2021-11-07,12082,127597
2021-11-08,183957,152303
2021-11-09,225725,161878
2021-11-10,271955,172682
2021-11-11,22622,151956
2021-11-12,266707,157741
2021-11-13,134604,159664
2021-11-14,13757,159903
2021-11-15,220025,165056
2021-11-16,265699,170767
2021-11-17,278831,171749
2021-11-18,255791,205059
2021-11-19,335294,214857
2021-11-20,164040,219062
2021-11-21,17252,219561
2021-11-22,237352,222037
2021-11-23,297504,226580
2021-11-24,308996,230889
2021-11-25,326719,241022
2021-11-26,483860,262246
2021-11-27,287693,279910
2021-11-28,71403,287646
2021-11-29,411740,312559
2021-11-30,547815,348318
2021-12-01,559253,384069
2021-12-02,608972,424390
2021-12-03,697493,454909
2021-12-04,407386,472008
2021-12-05,115066,478246
