id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance,names_ok,sortant
4319,075-17,9,SIGLER,Pierre,M.,ECO,Ecologistes,Sigler,non
4320,075-17,10,MICHEL,Angélique,Mme,LR,Les Républicains,Michel,non
4321,075-17,11,BACHIR,Fatah,M.,DIV,Divers,Bachir,non
4322,075-17,12,BÉNIÉ,Kolia,Mme,ENS,Ensemble ! (Majorité présidentielle),Bénié,non
4323,075-17,13,CLEMENT,Annie,Mme,DVD,Divers droite,Clement,non
4324,075-17,14,LARGUECH,Siwar,Mme,DVG,Divers gauche,Larguech,non
4325,075-18,1,LEININGER,Johannes Christoph,M.,DIV,Divers,Leininger,non
4326,075-18,2,BOURNAZEL,Pierre-Yves,M.,ENS,Ensemble ! (Majorité présidentielle),Bournazel,oui
4327,075-18,3,CARRASCO,Julia,Mme,RN,Rassemblement National,Carrasco,non
4328,075-18,4,LE GAL DE KERANGAL,Axelle,Mme,REC,Reconquête !,Le Gal De Kerangal,non
4329,075-18,5,BOULA,Laurent,M.,DVD,Divers droite,Boula,non
4330,075-18,6,CAMBOURAKIS,Philippe Heracles Charles,M.,DIV,Divers,Cambourakis,non
4331,075-18,7,RAVAILHE,Nicolas,M.,DVG,Divers gauche,Ravailhe,non
4332,075-18,8,LE,Victor,M.,DIV,Divers,Le,non
4333,075-18,9,BOUBAULT,Annie,Mme,DXG,Divers extrême gauche,Boubault,non
4334,075-18,10,EL YASNI,Marc,M.,DIV,Divers,El Yasni,non
4335,075-18,11,GRANIER,Rudolph,M.,LR,Les Républicains,Granier,non
4336,075-18,12,CARON,Aymeric,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Caron,non
4337,076-01,1,BESSON,Pierre-Alexandre,M.,ECO,Ecologistes,Besson,non
4338,076-01,2,VITARD,Céline,Mme,DXG,Divers extrême gauche,Vitard,non
4339,076-01,3,VACQUER,Richard,M.,DVG,Divers gauche,Vacquer,non
4340,076-01,4,GUESDON,Pierre-Alexandre,M.,ECO,Ecologistes,Guesdon,non
4341,076-01,5,CROSNIER,Mélanie,Mme,RN,Rassemblement National,Crosnier,non
4342,076-01,6,ROUX,Marie-Hélène,Mme,LR,Les Républicains,Roux,non
4343,076-01,7,DA SILVA,Maxime,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Da Silva,non
4344,076-01,8,DE CINTRÉ,Christine,Mme,DVG,Divers gauche,De Cintré,non
4345,076-01,9,ADAM,Damien,M.,ENS,Ensemble ! (Majorité présidentielle),Adam,oui
4346,076-01,10,FOISSEY,Valérie,Mme,DXG,Divers extrême gauche,Foissey,non
4347,076-01,11,CLELAND,Olivier,M.,REC,Reconquête !,Cleland,non
4348,076-02,1,GARAULT,Jean-Claude,M.,DXG,Divers extrême gauche,Garault,non
4349,076-02,2,HOLINGUE,Bastien,M.,RN,Rassemblement National,Holingue,non
4350,076-02,3,DUVAL,Sébastien,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Duval,non
