id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance,names_ok,sortant
1,001-01,1,GUILLERMIN,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle),Guillermin,non
2,001-01,2,LAHY,Éric,M.,DXG,Divers extrême gauche,Lahy,non
3,001-01,3,BRETON,Xavier,M.,LR,Les Républicains,Breton,oui
4,001-01,4,PIROUX GIANNOTTI,Brigitte,Mme,RN,Rassemblement National,Piroux Giannotti,non
5,001-01,5,MENDES,Michael,M.,DSV,Droite souverainiste,Mendes,non
6,001-01,6,BELLON,Julien,M.,REC,Reconquête !,Bellon,non
7,001-01,7,ARMENJON,Eliane,Mme,ECO,Ecologistes,Armenjon,non
8,001-01,8,GUÉRAUD,Sébastien,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Guéraud,non
9,001-02,1,LAPRAY,Lumir,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Lapray,non
10,001-02,2,DAUBIÉ,Romain,M.,ENS,Ensemble ! (Majorité présidentielle),Daubié,non
11,001-02,3,GOUTAGNY,Vincent,M.,DXG,Divers extrême gauche,Goutagny,non
12,001-02,4,BARATAY,Denis,M.,DVD,Divers droite,Baratay,non
13,001-02,5,NANCHI,Alexandre,M.,LR,Les Républicains,Nanchi,non
14,001-02,6,COSTA,Alexandre,M.,REC,Reconquête !,Costa,non
15,001-02,7,MARTET,Colin,M.,DIV,Divers,Martet,non
16,001-02,8,IGLÉSIS,Thomas,M.,ECO,Ecologistes,Iglésis,non
17,001-02,9,EYRAUD,Olivier,M.,RN,Rassemblement National,Eyraud,non
18,001-02,10,CARRIER,Delphine,Mme,DSV,Droite souverainiste,Carrier,non
19,001-03,1,DUBARRY,Karine,Mme,REC,Reconquête !,Dubarry,non
20,001-03,2,VERGNAS,Thierry,M.,DSV,Droite souverainiste,Vergnas,non
21,001-03,3,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle),Givernet,oui
22,001-03,4,FERTE,Maxence,M.,DIV,Divers,Ferte,non
23,001-03,5,FRANCK,Frédéric,M.,RN,Rassemblement National,Franck,non
24,001-03,6,JOLIE,Christian,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Jolie,non
25,001-03,7,BAUDE,Véronique,Mme,LR,Les Républicains,Baude,non
26,001-03,8,KASTLER,Jean-Loup,M.,ECO,Ecologistes,Kastler,non
27,001-03,9,KOUASSI,Fulgence,M.,DIV,Divers,Kouassi,non
28,001-03,10,MAISONNETTE,Cécile,Mme,DXG,Divers extrême gauche,Maisonnette,non
29,001-03,11,MORVAN LEMBERT,Marine,Mme,ECO,Ecologistes,Morvan Lembert,non
30,001-03,12,BISETTI,Frank,M.,DVC,Parti Pirate,Bisetti,non
31,001-04,1,REIHANIAN,Aurane,M.,LR,Les Républicains,Reihanian,non
32,001-04,2,DEFRASNE,Alban,M.,DVG,Parti Pirate,Defrasne,non
33,001-04,3,FAVRE,Nicolas,M.,ECO,Ecologistes,Favre,non
34,001-04,4,BUISSON,Jérôme,M.,RN,Rassemblement National,Buisson,non
35,001-04,5,COUSSON,Sylvain,M.,DXG,Divers extrême gauche,Cousson,non
36,001-04,6,BENMEDJAHED,Ali,M.,RDG,Parti radical de gauche,Benmedjahed,non
37,001-04,7,LERDA,Philippe,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Lerda,non
38,001-04,8,DE BOYSSON,Benoît,M.,REC,Reconquête !,De Boysson,non
39,001-04,9,FORCA,Sacha,M.,DVD,Divers droite,Forca,non
40,001-04,10,SEGUIN,Isabelle,Mme,ENS,Ensemble ! (Majorité présidentielle),Seguin,non
41,001-04,11,VEILLEROT,Annick,Mme,DSV,Droite souverainiste,Veillerot,non
42,001-04,12,TROMPILLE,Stéphane,M.,DVC,Divers centre,Trompille,oui
43,001-05,1,TOURNIER-BILLON,Philippe,M.,REC,Reconquête !,Tournier-Billon,non
44,001-05,2,FABRIS,Grégory,M.,DSV,Droite souverainiste,Fabris,non
45,001-05,3,YILMAZ,Celil,M.,DIV,Divers,Yilmaz,non
46,001-05,4,ABAD,Damien,M.,DVD,Divers droite,Abad,oui
47,001-05,5,PISANI,Florence,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Pisani,non
48,001-05,6,PARIS,Stéphanie,Mme,DVD,Divers droite,Paris,non
49,001-05,7,NAMBOTIN,Joëlle,Mme,RN,Rassemblement National,Nambotin,non
50,001-05,8,CROZET,Sylvie,Mme,DXG,Divers extrême gauche,Crozet,non
51,001-05,9,BOULMÉ,Jean-Michel,M.,DVG,Divers gauche,Boulmé,non
52,001-05,10,MARTINEZ,Julien,M.,LR,Les Républicains,Martinez,non
53,002-01,1,BONO-VANDORME,Aude,Mme,ENS,Ensemble ! (Majorité présidentielle),Bono-Vandorme,oui
54,002-01,2,CAUCHY,Benjamin,M.,REC,Reconquête !,Cauchy,non
55,002-01,3,PERNELLE,Jean-Loup,M.,DXG,Divers extrême gauche,Pernelle,non
56,002-01,4,FENIOUX,Olivier,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Fenioux,non
57,002-01,5,RIBEIRO,Carole,Mme,DVD,Divers droite,Ribeiro,non
58,002-01,6,DEGOUY,Michel,M.,DSV,Droite souverainiste,Degouy,non
59,002-01,7,DRAGON,Nicolas,M.,RN,Rassemblement National,Dragon,non
60,002-01,8,MOUGENOT,Paul,M.,LR,Les Républicains,Mougenot,non
61,002-02,1,RANSQUIN,Sulyvan,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Ransquin,non
62,002-02,2,DIVE,Julien,M.,LR,Les Républicains,Dive,oui
63,002-02,3,ZANDITÉNAS,Anne,Mme,DXG,Divers extrême gauche,Zanditénas,non
64,002-02,4,PUISSANT,Lola,Mme,RN,Rassemblement National,Puissant,non
65,002-02,5,EL OUASDI,Fatima,Mme,ENS,Ensemble ! (Majorité présidentielle),El Ouasdi,non
66,002-02,6,LEPEUPLE,Eric,M.,DIV,Divers,Lepeuple,non
67,002-02,7,BÉCOURT,Corinne,Mme,DVG,Divers gauche,Bécourt,non
68,002-02,8,AMEWOUI,Cécé,Mme,REC,Reconquête !,Amewoui,non
69,002-03,1,VOISIN,Laetitia,Mme,DXG,Divers extrême gauche,Voisin,non
70,002-03,2,BERNARDEAU,Hervé,M.,REC,Reconquête !,Bernardeau,non
71,002-03,3,HANSEN-CATTA,Paul-Henry,M.,RN,Rassemblement National,Hansen-Catta,non
72,002-03,4,MOINEUSE,Jérome,M.,LR,Les Républicains,Moineuse,non
73,002-03,5,CHOTIN,Agnès,Mme,DSV,Droite souverainiste,Chotin,non
74,002-03,6,BRICOUT,Jean-Louis,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Bricout,oui
75,002-04,1,BEAURAIN,José,M.,RN,Rassemblement National,Beaurain,non
76,002-04,2,GALL,Aurélien,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Gall,non
77,002-04,3,BOBIN,David,M.,LR,Les Républicains,Bobin,non
78,002-04,4,VICENTE,Vanessa,Mme,REC,Reconquête !,Vicente,non
79,002-04,5,BOUILLAGUET,Flora,Mme,DXG,Divers extrême gauche,Bouillaguet,non
80,002-04,6,DELATTE,Marc,M.,ENS,Ensemble ! (Majorité présidentielle),Delatte,oui
81,002-04,7,CRÉON,Damien,M.,DSV,Droite souverainiste,Créon,non
82,002-05,1,GARCIA,Francis,M.,DXG,Divers extrême gauche,Garcia,non
83,002-05,2,EUGÈNE,Sébastien,M.,DVC,Divers centre,Eugène,non
84,002-05,3,ROUSSEL,Jeanne,Mme,ENS,Ensemble ! (Majorité présidentielle),Roussel,non
85,002-05,4,DESSIGNY,Jocelyn,M.,RN,Rassemblement National,Dessigny,non
86,002-05,5,TRIBOULET,Florence,Mme,REC,Reconquête !,Triboulet,non
87,002-05,6,VACCA,Françoise,Mme,ECO,Ecologistes,Vacca,non
88,002-05,7,FRERE,Stéphane,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Frere,non
89,002-05,8,BOLLÉE,Joffrey,M.,DSV,Droite souverainiste,Bollée,non
90,002-05,9,GILQUIN,Jade,Mme,LR,Les Républicains,Gilquin,non
91,003-01,1,SENNEPIN,Marion,Mme,ECO,Ecologistes,Sennepin,non
92,003-01,2,CIBERT,Marie,Mme,RN,Rassemblement National,Cibert,non
93,003-01,3,BARBARIN,Michel,M.,ENS,Ensemble ! (Majorité présidentielle),Barbarin,non
94,003-01,4,MALLOT,Jean,M.,DVG,Divers gauche,Mallot,non
95,003-01,5,COLLOT,Jean-Marc,M.,DXG,Divers extrême gauche,Collot,non
96,003-01,6,DE NICOLAY,Pierre,M.,REC,Reconquête !,De Nicolay,non
97,003-01,7,MALAVAUD,Fabien,M.,DVD,Divers droite,Malavaud,non
98,003-01,8,LITAUDON,Roger,M.,LR,Les Républicains,Litaudon,non
99,003-01,9,MONNET,Yannick,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Monnet,non
100,003-02,1,TRIKI,Samir,M.,DVC,Divers centre,Triki,non
101,003-02,2,KEGELART,Jean-Jacques,M.,LR,Les Républicains,Kegelart,non
102,003-02,3,AFFRAIX,Christophe,M.,DSV,Droite souverainiste,Affraix,non
103,003-02,4,DE NICOLAY,Axelle,Mme,REC,Reconquête !,De Nicolay,non
104,003-02,5,GUILLAUMIN,Jean-Marie,M.,ECO,Ecologistes,Guillaumin,non
105,003-02,6,LEBEL,Bernard,M.,DXG,Divers extrême gauche,Lebel,non
106,003-02,7,CHATEL,Philippe,M.,REG,Régionaliste,Chatel,non
107,003-02,8,LÉGUILLON,Marie-Claude,Mme,RDG,Parti radical de gauche,Léguillon,non
108,003-02,9,BOVET,Jorys,M.,RN,Rassemblement National,Bovet,non
109,003-02,10,THOMAS,Luc,M.,REG,Parti Pirate,Thomas,non
110,003-02,11,VANCEUNEBROCK,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle),Vanceunebrock,oui
111,003-02,12,POZZOLI,Bernard,M.,DVG,Divers gauche,Pozzoli,non
112,003-02,13,HERITIER,Louise,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Heritier,non
113,003-03,1,RAMEAU,Jean-Francois,M.,DXG,Divers extrême gauche,Rameau,non
114,003-03,2,DUCHÉ,Paul,M.,ECO,Ecologistes,Duché,non
115,003-03,3,RAY,Nicolas,M.,LR,Les Républicains,Ray,non
116,003-03,4,PENDELIAU,Yves-Marie,M.,DIV,Divers,Pendeliau,non
117,003-03,5,RÉCHARD,Isabelle,Mme,RDG,Parti radical de gauche,Réchard,non
118,003-03,6,PEYROL,Bénédicte,Mme,ENS,Ensemble ! (Majorité présidentielle),Peyrol,oui
119,003-03,7,DENFERD,Elsa,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Denferd,non
120,003-03,8,JULIEN,Quentin,M.,RN,Rassemblement National,Julien,non
121,003-03,9,LACOUR,Sophie,Mme,REC,Reconquête !,Lacour,non
122,003-03,10,CORBIN,Lydie,Mme,DSV,Droite souverainiste,Corbin,non
123,004-01,1,MIFFRED,Laurine,Mme,REC,Reconquête !,Miffred,non
124,004-01,2,LYONS,Sylvie,Mme,SOC,Parti socialiste,Lyons,non
125,004-01,3,BLANC,Dominique,Mme,DVD,Divers droite,Blanc,non
126,004-01,4,VAN HEESBEKE,Nicole,Mme,ECO,Ecologistes,Van Heesbeke,non
127,004-01,5,ROS,Annabel,Mme,DXG,Divers extrême gauche,Ros,non
128,004-01,6,POTIE,Bruno,M.,DIV,Divers,Potie,non
129,004-01,7,AUDAN,Paul,M.,ENS,Ensemble ! (Majorité présidentielle),Audan,non
130,004-01,8,RECOTILLET,Pascal,M.,REG,Régionaliste,Recotillet,non
131,004-01,9,ROLLAND,Patricia,Mme,ECO,Ecologistes,Rolland,non
132,004-01,10,BAGARRY,Delphine,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Bagarry,oui
133,004-01,11,GIRARD,Christian,M.,RN,Rassemblement National,Girard,non
134,004-01,12,GIACOMINO,Romaric,M.,DSV,Droite souverainiste,Giacomino,non
135,004-02,1,GUERRERA,Hervé,M.,REG,Régionaliste,Guerrera,non
136,004-02,2,FERREIRA,Marie,Mme,UDI,Union des Démocrates et des Indépendants,Ferreira,non
137,004-02,3,RAZEAU,Clémence,Mme,ECO,Ecologistes,Razeau,non
138,004-02,4,CADENEL,Myriam,Mme,REC,Reconquête !,Cadenel,non
139,004-02,5,HUE-COURTIN,Nathalie,Mme,ECO,Ecologistes,Hue-Courtin,non
140,004-02,6,KECHRA,Frédéric,M.,DXG,Divers extrême gauche,Kechra,non
141,004-02,7,DAUX,Danièle,Mme,DSV,Droite souverainiste,Daux,non
142,004-02,8,ABEILLE,Aurélie,Mme,RN,Rassemblement National,Abeille,non
143,004-02,9,VICENTE,Laurent,M.,DXG,Divers extrême gauche,Vicente,non
144,004-02,10,SOLER,Jean-Luc,M.,DXG,Divers extrême gauche,Soler,non
145,004-02,11,CASTANER,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle),Castaner,oui
146,004-02,12,WALTER,Léo,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Walter,non
147,004-02,13,BEGNIS,Thierry,M.,ECO,Ecologistes,Begnis,non
148,005-01,1,GAMERRE,Christine,Mme,ECO,Ecologistes,Gamerre,non
149,005-01,2,PHILIPPO,Michel,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Philippo,non
150,005-01,3,BOYER,Pascale,Mme,ENS,Ensemble ! (Majorité présidentielle),Boyer,oui
151,005-01,4,PRATALI,Fabienne,Mme,ECO,Ecologistes,Pratali,non
152,005-01,5,HERBAUT,Camille,Mme,DSV,Droite souverainiste,Herbaut,non
153,005-01,6,HOURS,Patricia,Mme,REC,Reconquête !,Hours,non
154,005-01,7,SCARAMOZZINO,Roland,M.,ECO,Ecologistes,Scaramozzino,non
155,005-01,8,RECOTILLET,Lise,Mme,REG,Régionaliste,Recotillet,non
156,005-01,9,SARLIN,Eric,M.,RN,Rassemblement National,Sarlin,non
157,005-01,10,PARA,Kevin,M.,LR,Les Républicains,Para,non
158,005-01,11,BUISSON,Véronique,Mme,DXG,Divers extrême gauche,Buisson,non
159,005-02,1,GIRAUD,Joel,M.,ENS,Ensemble ! (Majorité présidentielle),Giraud,non
160,005-02,2,BESSONNIER,Sandrine,Mme,DSV,Droite souverainiste,Bessonnier,non
161,005-02,3,ROUX,Rémi,M.,DVG,Divers gauche,Roux,non
162,005-02,4,PELISSIER,Margot,Mme,REC,Reconquête !,Pelissier,non
163,005-02,5,CHAUVET,Carole,Mme,LR,Les Républicains,Chauvet,non
164,005-02,6,PASSEREAU,Yann,M.,ECO,Ecologistes,Passereau,non
165,005-02,7,GUIGNARD,Boris,M.,DXG,Divers extrême gauche,Guignard,non
166,005-02,8,ALBRAND,Louis,M.,RN,Rassemblement National,Albrand,non
167,005-02,9,MOUNAL,Capucine,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Mounal,non
168,006-01,1,IMBERT,Florent,M.,DXG,Divers extrême gauche,Imbert,non
169,006-01,2,CIOTTI,Eric,M.,LR,Les Républicains,Ciotti,oui
170,006-01,3,DLOUSSKY,Nathalie,Mme,DIV,Divers,Dloussky,non
171,006-01,4,VITETTI,Muriel,Mme,RN,Rassemblement National,Vitetti,non
172,006-01,5,LALANDE,Loïc,M.,ECO,Ecologistes,Lalande,non
173,006-01,6,ATHANASOPOULOS,Kenza,Mme,DVG,Divers gauche,Athanasopoulos,non
174,006-01,7,ZAKRZEWSKI,Sylvie,Mme,DSV,Droite souverainiste,Zakrzewski,non
175,006-01,8,MONETTI,Graig,M.,ENS,Ensemble ! (Majorité présidentielle),Monetti,non
176,006-01,9,BEAUDET,Chantal,Mme,DIV,Divers,Beaudet,non
177,006-01,10,RAZEAU,Christian,M.,ECO,Ecologistes,Razeau,non
178,006-01,11,CHAINTRON,Anne-Laure,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Chaintron,non
179,006-01,12,BEN MOULAY,Lalla-Chama Gabrielle,Mme,ECO,Ecologistes,Ben Moulay,non
180,006-02,1,MORLOT,Philippe,M.,DSV,Droite souverainiste,Morlot,non
181,006-02,2,SULTANI,Emmanuelle,Mme,ECO,Ecologistes,Sultani,non
182,006-02,3,MACARIO,Jean-Marc,M.,LR,Les Républicains,Macario,non
183,006-02,4,NAFFATI,Sonia,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Naffati,non
184,006-02,5,GAIFFE,Alexandre,M.,DVD,Divers droite,Gaiffe,non
185,006-02,6,REYNARD,Brigitte,Mme,ECO,Ecologistes,Reynard,non
186,006-02,7,ISNARD,Patrick,M.,REC,Reconquête !,Isnard,non
187,006-02,8,AÏSSOU,Abdel,M.,DVD,Divers droite,Aïssou,non
188,006-02,9,TIVOLI,Lionel,M.,RN,Rassemblement National,Tivoli,non
189,006-02,10,BOUILLEAUX,Alain,M.,DXG,Divers extrême gauche,Bouilleaux,non
190,006-02,11,DOMBREVAL,Loïc,M.,ENS,Ensemble ! (Majorité présidentielle),Dombreval,oui
191,006-02,12,POTENTIER,Laurent,M.,DIV,Divers,Potentier,non
192,006-03,1,JAQUET,Estelle,Mme,DXG,Divers extrême gauche,Jaquet,non
193,006-03,2,MERCIER,Gabriel-Kayne,M.,ECO,Ecologistes,Mercier,non
194,006-03,3,VARDON,Philippe,M.,REC,Reconquête !,Vardon,non
195,006-03,4,KANDEL,Benoît,M.,RN,Rassemblement National,Kandel,non
196,006-03,5,GIUSTI,Enzo,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Giusti,non
197,006-03,6,DARMON,David-André,M.,ECO,Ecologistes,Darmon,non
198,006-03,7,PRADAL,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),Pradal,non
199,006-03,8,CAUSSIN,Marie-Françoise,Mme,ECO,Ecologistes,Caussin,non
200,006-03,9,CASTILLO,Laurent,M.,LR,Les Républicains,Castillo,non
201,006-03,10,BOY-MOTTARD,Dominique,Mme,RDG,Parti radical de gauche,Boy-Mottard,non
202,006-03,11,BENOIT,Yann,M.,DIV,Divers,Benoit,non
203,006-03,12,BONALDI,Sylvie,Mme,ECO,Ecologistes,Bonaldi,non
204,006-03,13,RIVIERE,Marie-Ange,Mme,DSV,Droite souverainiste,Riviere,non
205,006-04,1,MARKIEL,Joseph,M.,DXG,Divers extrême gauche,Markiel,non
206,006-04,2,BIEDER,David,M.,ECO,Ecologistes,Bieder,non
207,006-04,3,VALETTA-ARDISSON,Alexandra,Mme,ENS,Ensemble ! (Majorité présidentielle),Valetta-Ardisson,oui
208,006-04,4,BEYL,Christine,Mme,ECO,Ecologistes,Beyl,non
209,006-04,5,DUCREUX,Pascal,M.,ECO,Ecologistes,Ducreux,non
210,006-04,6,CARBONEL,Fabrice,M.,DSV,Droite souverainiste,Carbonel,non
211,006-04,7,BOURNOT-POULET,Sophie,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Bournot-Poulet,non
212,006-04,8,ROUX,Roger,M.,LR,Les Républicains,Roux,non
213,006-04,9,MASSON,Alexandra,Mme,RN,Rassemblement National,Masson,non
214,006-04,10,RIEU,Damien,M.,REC,Reconquête !,Rieu,non
215,006-05,1,DELHEZ,Thibault,M.,DSV,Droite souverainiste,Delhez,non
216,006-05,2,VELLA,Cédric,M.,REC,Reconquête !,Vella,non
217,006-05,3,SOISSON,Nathalie,Mme,ECO,Ecologistes,Soisson,non
218,006-05,4,BRENIER-OHANESSIAN,Marine,Mme,ENS,Ensemble ! (Majorité présidentielle),Brenier-Ohanessian,oui
219,006-05,5,KHALIFA,Frank,M.,RN,Rassemblement National,Khalifa,non
220,006-05,6,D'INTORNI,Christelle,Mme,LR,Les Républicains,D'intorni,non
221,006-05,7,BENKEMOUN,Agnès,Mme,DXG,Divers extrême gauche,Benkemoun,non
222,006-05,8,BENASSAYA,Philippe,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Benassaya,non
223,006-05,9,MAIYÉ,Géraldine,Mme,ECO,Ecologistes,Maiyé,non
224,006-05,10,SPACH,J.C Wahid,M.,DIV,Divers,Spach,non
225,006-06,1,BARTOLI,Daniele,Mme,DXG,Divers extrême gauche,Bartoli,non
226,006-06,2,TRASTOUR-ISNART,Laurence,Mme,LR,Les Républicains,Trastour-Isnart,oui
227,006-06,3,TOUZEAU-MENONI,Philippe,M.,DVC,Divers centre,Touzeau-Menoni,non
228,006-06,4,MAZZELLA,Nicole,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Mazzella,non
229,006-06,5,LOUVEZ,Philippe,M.,DSV,Droite souverainiste,Louvez,non
230,006-06,6,MION,Jean-Bernard,M.,ENS,Ensemble ! (Majorité présidentielle),Mion,non
231,006-06,7,ROBIONY,Philippe,M.,ECO,Ecologistes,Robiony,non
232,006-06,8,MASSON,Bryan,M.,RN,Rassemblement National,Masson,non
233,006-06,9,PIACENTINI,Pierre,M.,ECO,Ecologistes,Piacentini,non
234,006-06,10,JULIEN,Guillaume,M.,ECO,Ecologistes,Julien,non
235,006-06,11,CIESLIK,Denis,M.,REC,Reconquête !,Cieslik,non
236,006-07,1,VALLADE,Marie-José,Mme,ECO,Ecologistes,Vallade,non
237,006-07,2,DELCASSE,Arnaud,M.,DVG,Divers gauche,Delcasse,non
238,006-07,3,PAUGET,Eric,M.,LR,Les Républicains,Pauget,oui
239,006-07,4,MEYER-ABBATUCCI,Arthur,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Meyer-Abbatucci,non
240,006-07,5,BELGUECHI,Yassin-Faïsal,M.,DIV,Divers,Belguechi,non
241,006-07,6,MELE,Eric,M.,ENS,Ensemble ! (Majorité présidentielle),Mele,non
242,006-07,7,MARIUS,Audrey,Mme,REC,Reconquête !,Marius,non
243,006-07,8,HVIDSTEN,Axel,M.,ECO,Ecologistes,Hvidsten,non
244,006-07,9,FEBVAY,Laurie,Mme,DSV,Droite souverainiste,Febvay,non
245,006-07,10,PARGAUD,Megane,Mme,ECO,Ecologistes,Pargaud,non
246,006-07,11,CORNEC,Tanguy,M.,RN,Rassemblement National,Cornec,non
247,006-07,12,HUMBERT,Bérengère,Mme,DVD,Divers droite,Humbert,non
248,006-07,13,MARECHAL,Stanislas,M.,DIV,Parti Pirate,Marechal,non
249,006-07,14,PETARD,Christian,M.,DXG,Divers extrême gauche,Petard,non
250,006-08,1,MARTINS,Adelia,Mme,DSV,Droite souverainiste,Martins,non
251,006-08,2,DESENS,Jean-Valéry,M.,ENS,Ensemble ! (Majorité présidentielle),Desens,non
252,006-08,3,DUBOIS,Damien,M.,DXG,Divers extrême gauche,Dubois,non
253,006-08,4,FONTANESI,Chantal,Mme,ECO,Ecologistes,Fontanesi,non
254,006-08,5,GROSJEAN,Adrien,M.,REC,Reconquête !,Grosjean,non
255,006-08,6,BIBIANO,Marie,Mme,ECO,Ecologistes,Bibiano,non
256,006-08,7,CLAUDEL,Bernard,M.,DIV,Divers,Claudel,non
257,006-08,8,HAMONET,Chantal,Mme,ECO,Ecologistes,Hamonet,non
258,006-08,9,PEREIRA,Marie-José,Mme,DXG,Divers extrême gauche,Pereira,non
259,006-08,10,MARTIN,Alexandra,Mme,LR,Les Républicains,Martin,non
260,006-08,11,SOUDANT,Lucia,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Soudant,non
261,006-08,12,LANDERER,Dorette,Mme,RN,Rassemblement National,Landerer,non
262,006-09,1,PAUCHET,David,M.,DSV,Droite souverainiste,Pauchet,non
263,006-09,2,TABAROT,Michèle,Mme,LR,Les Républicains,Tabarot,oui
264,006-09,3,NGUYEN,Xuan Truong,M.,REC,Reconquête !,Nguyen,non
265,006-09,4,CAMERANO,Jean-Paul,M.,DVC,Divers centre,Camerano,non
266,006-09,5,BOULAY,Nicolas,M.,DIV,Parti Pirate,Boulay,non
267,006-09,6,CHASSERIAUD,Chantal,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Chasseriaud,non
268,006-09,7,BARROERO,Evelyne,Mme,ECO,Ecologistes,Barroero,non
269,006-09,8,TUDIESCHE,Mayaa,Mme,ENS,Ensemble ! (Majorité présidentielle),Tudiesche,non
270,006-09,9,PÉCOUT,Liliane,Mme,DXG,Divers extrême gauche,Pécout,non
271,006-09,10,MATUSZEWSKI,Christian,M.,ECO,Ecologistes,Matuszewski,non
272,006-09,11,GALBERT,Franck,M.,RN,Rassemblement National,Galbert,non
273,007-01,1,GINEYS,Severine,Mme,ENS,Ensemble ! (Majorité présidentielle),Gineys,non
274,007-01,2,FLACH,Marie Élisabeth,Mme,REC,Reconquête !,Flach,non
275,007-01,3,LE LOHER,Erick,M.,DSV,Droite souverainiste,Le Loher,non
276,007-01,4,SAULIGNAC,Hervé,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Saulignac,oui
277,007-01,5,TZAPRENKO,Boris,M.,ECO,Ecologistes,Tzaprenko,non
278,007-01,6,VANDER DONCKT,Muriel,Mme,DXG,Divers extrême gauche,Vander Donckt,non
279,007-01,7,VALLA,Michel,M.,DVD,Divers droite,Valla,non
280,007-01,8,PORQUET,Céline,Mme,RN,Rassemblement National,Porquet,non
281,007-01,9,CHAMBONNET,Pascal,M.,DXG,Divers extrême gauche,Chambonnet,non
282,007-01,10,MADEIRA,Clara,Mme,REG,Régionaliste,Madeira,non
283,007-02,1,GUILMIN,Claire,Mme,DSV,Droite souverainiste,Guilmin,non
284,007-02,2,GAILLARD,Michèle,Mme,DXG,Divers extrême gauche,Gaillard,non
285,007-02,3,GRANGIER,Cyrille,M.,RN,Rassemblement National,Grangier,non
286,007-02,4,GLADIEUX,Sébastien,M.,DVD,Divers droite,Gladieux,non
287,007-02,5,QUENETTE,Marc-Antoine,M.,LR,Les Républicains,Quenette,non
288,007-02,6,CHAIZE,Martin,M.,REG,Régionaliste,Chaize,non
289,007-02,7,GOULOUZELLE,Christophe,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Goulouzelle,non
290,007-02,8,BORY,Philippe,M.,REC,Reconquête !,Bory,non
291,007-02,9,DUSSOPT,Olivier,M.,ENS,Ensemble ! (Majorité présidentielle),Dussopt,non
292,007-03,1,CAUQUIL,Alexandra,Mme,ENS,Ensemble ! (Majorité présidentielle),Cauquil,non
293,007-03,2,PALLOT,Florence,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Pallot,non
294,007-03,3,ALIROL,Anne,Mme,REG,Régionaliste,Alirol,non
295,007-03,4,BRUN,Fabrice,M.,LR,Les Républicains,Brun,oui
296,007-03,5,TEILLET,Audrey,Mme,ECO,Ecologistes,Teillet,non
297,007-03,6,SILVA,Gonzague,M.,DSV,Droite souverainiste,Silva,non
298,007-03,7,VERHEIJ,Johan,M.,RN,Rassemblement National,Verheij,non
299,007-03,8,MARCHISIO,Christophe,M.,DXG,Divers extrême gauche,Marchisio,non
300,007-03,9,GANDON,Gérald,M.,REC,Reconquête !,Gandon,non
301,007-03,10,UGHETTO,Laurent,M.,DVG,Divers gauche,Ughetto,non
302,008-01,1,RICHARD,Laurent,M.,RN,Rassemblement National,Richard,non
303,008-01,2,DURUISSEAU,Julien,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Duruisseau,non
304,008-01,3,RENNESSON,Arnaud,M.,ECO,Ecologistes,Rennesson,non
305,008-01,4,VUIBERT,Lionel,M.,ENS,Ensemble ! (Majorité présidentielle),Vuibert,non
306,008-01,5,KALMES,Patrick,M.,DSV,Droite souverainiste,Kalmes,non
307,008-01,6,OCTAVE,Nadia,Mme,DXG,Divers extrême gauche,Octave,non
308,008-01,7,MARECHAL,Guillaume,M.,LR,Les Républicains,Marechal,non
309,008-01,8,DE CAUSANS,Juliette,Mme,DVC,Divers centre,De Causans,non
