epci,libelle_epci,population_carto,effectif_cumu_termine,taux_vaccination_adultes,EPCI 2020,Nom,niveau_vie_median,interdecile,dep,pauvrete40,pauvrete60,vaccination_septembre,tx_chomage,vote_fn
242900769,CA CONCARNEAU CORNOUAILLE AGGLOMERATION,43230,38870,89.9,242900769.0,Concarneau Cornouaille Agglomération,21110.0,"2,8",29,"7,1","15,5",83.5,8.8,16.6
242900793,CC COMMUNAUTE LESNEVEN COTE DES LEGENDES,20810,19280,92.6,242900793.0,Communauté Lesneven Côte des Légendes,20740.0,"2,5",29,"6,4","14,5",87.2,7.8,14.9
242900801,CC DU PAYS DE LANDERNEAU DAOULAS,35950,33230,92.4,242900801.0,Le Pays de Landerneau-Daoulas,22220.0,"2,5",29,"5,0","11,2",86.2,7.1,12.4
242900835,CA MORLAIX COMMUNAUTE,51450,46820,91.0,242900835.0,Morlaix Communauté,20590.0,"2,8",29,"9,4","18,6",85.3,9.8,11.4
243000270,CC DU PAYS VIGANAIS,8240,6250,75.8,243000270.0,Le Pays Viganais,17470.0,"3,2",30,"21,6","34,2",67.5,13.4,20.1
243000296,CC DU PAYS DE SOMMIERES,19140,15740,82.2,243000296.0,Le Pays de Sommières,20970.0,"3,2",30,"11,0","20,9",75.7,9.6,27.3
243000569,"CC RHONY, VISTRE, VIDOURLE",22380,18760,83.8,243000569.0,"Rhony, Vistre, Vidourle",21870.0,"2,9",30,"7,8","16,5",77.2,8.9,31.7
243000585,CC BEAUCAIRE TERRE D ARGENCE,25260,20280,80.3,243000585.0,Beaucaire Terre d'Argence,18320.0,"3,2",30,"18,6","31,2",72.8,13.0,40.2
243000593,CC DE PETITE CAMARGUE,21640,17840,82.4,243000593.0,Petite Camargue,19870.0,"2,9",30,"12,8","23,9",75.0,11.0,38.3
243000643,CA DE NIMES METROPOLE,200960,164290,81.8,243000643.0,Nîmes Métropole,19020.0,"3,6",30,"21,1","32,1",74.7,12.2,28.2
243000650,CC TERRE DE CAMARGUE,19340,16860,87.2,243000650.0,Terre de Camargue,20470.0,"3,2",30,"10,9","21,1",81.0,13.0,34.6
243000684,CC DU PONT DU GARD,20450,16900,82.6,243000684.0,Le Pont du Gard,20370.0,"3,1",30,"11,1","21,5",75.6,10.3,33.8
243100518,TOULOUSE METROPOLE,607360,511890,84.3,243100518.0,Toulouse Métropole,22310.0,"3,8",31,"15,2","23,9",77.6,10.3,12.5
243100567,CC LAURAGAIS REVEL SOREZOIS,17120,13950,81.5,243100567.0,Lauragais Revel Sorezois,19590.0,"3,1",81,"10,9","21,6",74.8,10.5,23.6
243100633,CA DU SICOVAL,63860,56410,88.3,243100633.0,Le Sicoval,25860.0,"3,4",31,"7,4","13,0",83.5,7.0,11.8
243100732,CC DES COTEAUX DU GIROU,18160,16010,88.2,243100732.0,Les Coteaux du Girou,25880.0,"2,9",31,"5,0","8,5",83.1,5.8,18.6
243100773,CC DE VAL AIGO,13720,11540,84.1,243100773.0,Val'Aïgo,21280.0,"2,7",31,"8,4","17,1",77.5,7.8,26.1
243100781,CC DE LA SAVE AU TOUCH,32810,28170,85.9,243100781.0,La Save au Touch,24890.0,"3,0",31,"7,1","13,5",80.3,7.1,17.1
243100815,CC DES COTEAUX BELLEVUE,16720,14880,89.0,243100815.0,Les Coteaux Bellevue,25930.0,"2,9",31,"5,0","8,4",83.9,6.0,17.3
243200391,CC DE LA LOMAGNE GERSOISE,15580,13270,85.2,243200391.0,La Lomagne Gersoise,19440.0,"3,0",32,"11,3","22,9",79.5,9.9,20.3
243200409,CC DU BAS ARMAGNAC,6780,5790,85.4,243200409.0,Le Bas Armagnac,19400.0,"2,9",32,"12,2","24,1",80.8,7.7,20.4
243200417,CC DE LA TENAREZE,11820,10190,86.2,243200417.0,La Tenarèze,18880.0,"3,1",32,"13,6","26,6",81.1,9.2,22.3
243200425,CC COUR D ASTARAC EN GASCOGNE,6090,5150,84.6,243200425.0,Cœur d'Astarac en Gascogne,18640.0,"3,1",32,"13,8","25,7",79.5,10.0,22.0
243200458,CC DU GRAND ARMAGNAC,10790,9300,86.2,243200458.0,Le Grand Armagnac,18700.0,"3,1",32,"12,7","26,3",81.3,8.0,22.6
243200508,CC BASTIDES ET VALLONS DU GERS,5670,4770,84.1,243200508.0,Bastides et Vallons du Gers,18510.0,"3,0",32,"13,6","26,9",78.8,9.8,18.4
243200599,CC DU SAVES,7690,6380,83.0,243200599.0,Le Saves,21040.0,"2,8",32,"7,2","17,1",76.1,7.7,21.9
243200607,CC ARTAGNAN DE FEZENSAC,5560,4750,85.4,243200607.0,Artagnan de Fezensac,19030.0,"3,2",32,"12,3","23,8",80.6,7.6,19.7
243300316,BORDEAUX METROPOLE,639920,554720,86.7,243300316.0,Bordeaux Métropole,22060.0,"3,6",33,"12,5","21,0",80.5,9.8,12.3
243300563,CA BASSIN D ARCACHON SUD POLE ATLANTIQUE (COBAS),58810,51850,88.2,243300563.0,Bassin d'Arcachon Sud-Pôle Atlantique (COBAS),22850.0,"3,3",33,"6,7","14,5",83.1,10.4,18.1
243300811,CC DE L ESTUAIRE,12500,10330,82.6,243300811.0,L'Estuaire,18670.0,"3,0",33,"14,9","29,2",74.6,10.6,33.3
243301165,CC JALLE EAU BOURDE,25710,23150,90.0,243301165.0,Jalle-Eau-Bourde,25860.0,"2,7",33,"5,0","8,3",85.5,6.9,14.2
243301181,CC LATITUDE NORD GIRONDE,15770,13030,82.6,243301181.0,Latitude Nord Gironde,19520.0,"2,6",33,"9,5","21,1",73.4,10.5,34.3
243301215,CC DU CREONNAIS,13870,12250,88.3,243301215.0,Le Créonnais,22020.0,"2,6",33,"6,0","13,4",82.9,6.7,23.1
243301223,CC DU GRAND CUBZAGUAIS,28020,23710,84.6,243301223.0,Le Grand Cubzaguais,20790.0,"2,7",33,"8,6","18,2",76.7,9.0,26.9
243301249,CC DU SECTEUR DE SAINT LOUBES,22550,19830,87.9,243301249.0,Le Secteur de Saint-Loubès,22820.0,"2,9",33,"6,6","13,5",82.0,8.1,21.1
243301264,CC DE MONTESQUIEU,35690,31820,89.2,243301264.0,Montesquieu,24230.0,"2,7",33,"5,0","8,9",83.5,6.3,17.0
243301355,CC DES COTEAUX BORDELAIS,17030,15210,89.3,243301355.0,Les Coteaux Bordelais,24780.0,"2,8",33,"5,0","10,6",84.0,6.6,16.8
243301371,CC DU PAYS FOYEN,12690,10590,83.5,243301371.0,Le Pays Foyen,18100.0,"3,3",33,"18,7","31,9",75.9,12.0,25.7
243301389,CC MEDULLIENNE,16780,14540,86.7,243301389.0,Médullienne,22040.0,"2,5",33,"5,2","12,7",80.0,7.7,25.8
243301397,CC DU FRONSADAIS,13460,11710,87.0,243301397.0,Le Fronsadais,21550.0,"2,7",33,"6,6","14,8",80.2,8.0,26.0
243301405,CC DU VAL DE L EYRE,16600,14440,87.0,243301405.0,Le Val de l'Eyre,22090.0,"2,6",33,"5,0","11,7",81.1,8.0,23.2
243301439,CC DES PORTES DE L ENTRE DEUX MERS,17210,15410,89.5,243301439.0,Les Portes de l'Entre-deux-Mers,24200.0,"3,0",33,"5,0","10,3",84.3,7.6,15.2
243301447,CC MEDOC ESTUAIRE,22840,20110,88.0,243301447.0,Médoc Estuaire,22960.0,"2,5",33,"5,0","10,7",81.8,7.1,24.4
243301454,CC CASTILLON/PUJOLS,15050,12870,85.5,243301454.0,Castillon/Pujols,19090.0,"3,2",33,"14,3","26,1",78.9,9.7,28.3
243301504,CA DU BASSIN D ARCACHON NORD,59600,52640,88.3,243301504.0,Le Bassin d'Arcachon Nord,23110.0,"2,9",33,"5,0","11,6",83.5,8.6,19.7
243400017,MONTPELLIER MEDITERRANEE METROPOLE,383470,313780,81.8,243400017.0,Montpellier Méditerranée Métropole,20590.0,"3,9",34,"18,0","27,9",74.3,11.9,18.0
243400355,CC DU CLERMONTAIS,22480,17880,79.5,243400355.0,Le Clermontais,18880.0,"3,1",34,"15,7","27,6",72.6,13.0,29.0
