epci,libelle_epci,population_carto,effectif_cumu_termine,taux_vaccination_adultes,EPCI 2020,Nom,niveau_vie_median,interdecile,dep,pauvrete40,pauvrete60,vaccination_septembre,tx_chomage,vote_fn
244400453,CC DE LA REGION DE BLAIN,12200,10670,87.5,244400453.0,La Région de Blain,20700.0,"2,4",44,"6,8","15,8",81.9,7.1,18.4
244400503,CC D ERDRE ET GESVRES,49520,44820,90.5,244400503.0,Erdre et Gesvres,23230.0,"2,6",44,"5,0","9,1",85.3,5.9,14.9
244400537,CC DE NOZAY,11710,10310,88.0,244400537.0,Nozay,19990.0,"2,4",44,"6,9","16,4",81.3,6.5,19.0
244400552,CC DU PAYS D ANCENIS,50090,44280,88.4,244400552.0,Le Pays d'Ancenis,20690.0,"2,5",49,"6,5","15,0",81.6,6.9,18.9
244400586,CC DU SUD ESTUAIRE,24350,21470,88.2,244400586.0,Le Sud-Estuaire,21500.0,"2,5",44,"5,2","13,0",82.5,7.5,18.5
244400610,CA DE LA PRESQU ILE DE GUERANDE ATLANTIQUE (CAP ATLANTIQUE),69360,62180,89.6,244400610.0,La Presqu'île de Guérande Atlantique (Cap Atlantique),22710.0,"3,1",56,"5,8","12,7",84.8,8.8,14.6
244400644,CA DE LA REGION NAZAIRIENNE ET DE L ESTUAIRE (CARENE),103340,89470,86.6,244400644.0,La Région Nazairienne et de l'Estuaire (CARENE),20930.0,"2,9",44,"10,9","19,6",80.8,10.3,16.1
244500203,CA MONTARGOISE ET RIVES DU LOING (A.M.E.),47290,39770,84.1,244500203.0,Montargoise et Rives du Loing (A.M.E.),19260.0,"3,3",45,"17,8","29,3",76.8,14.1,26.7
244500211,CC GIENNOISES,18630,16120,86.5,244500211.0,Giennoises,20120.0,"3,2",45,"14,3","24,8",80.5,10.1,28.2
244500419,CC DES QUATRE VALLEES,13110,11080,84.5,244500419.0,Les Quatre Vallées,21010.0,"2,7",45,"8,0","17,3",77.3,9.6,32.8
244500427,CC DES LOGES,32280,28880,89.5,244500427.0,Les Loges,22830.0,"2,7",45,"5,6","12,4",84.6,6.9,24.4
244500468,ORLEANS METROPOLE,215330,186260,86.5,244500468.0,Orléans Métropole,21420.0,"3,5",45,"14,1","23,7",80.4,9.9,16.1
244500484,CC DE LA FORET,12920,11740,90.9,244500484.0,La Forêt,23230.0,"2,5",45,"5,0","10,3",86.1,6.2,26.3
244500542,CC DE LA PLAINE DU NORD LOIRET,5020,4400,87.6,244500542.0,La Plaine du Nord Loiret,21490.0,"2,6",45,"5,5","12,9",79.7,8.2,31.0
244600433,CC DE LA VALLEE DU LOT ET DU VIGNOBLE,11800,9830,83.3,244600433.0,La Vallée du Lot et du Vignoble,20000.0,"3,2",46,"11,5","22,9",77.3,10.6,18.6
244600482,CC QUERCY BOURIANE,8510,7150,84.0,244600482.0,Quercy - Bouriane,19570.0,"3,1",46,"10,9","22,6",78.7,10.0,16.7
244600532,CC DU PAYS DE LALBENQUE LIMOGNE,6980,5640,80.8,244600532.0,Le Pays de Lalbenque-Limogne,20450.0,"3,2",46,"9,2","20,4",74.6,9.5,15.7
244600573,CC DU CAUSSE DE LABASTIDE MURAT,2970,2390,80.5,244600573.0,Le Causse de Labastide-Murat,19800.0,"3,3",46,"11,8","23,4",74.7,8.5,15.8
244700449,CC DU PAYS DE DURAS,4450,3730,83.8,244700449.0,Le Pays de Duras,18300.0,"3,3",47,"14,5","29,6",76.4,8.3,23.1
244700464,CC DU PAYS DE LAUZUN,8270,6820,82.5,244700464.0,Le Pays de Lauzun,17990.0,"2,9",47,"14,6","27,4",74.6,10.2,25.9
244701355,CC DES COTEAUX ET LANDES DE GASCOGNE,10060,8640,85.9,244701355.0,Les Coteaux et Landes de Gascogne,19460.0,"2,8",47,"10,7","22,3",80.0,10.4,25.5
244701405,CC LOT ET TOLZAC,5460,4430,81.1,244701405.0,Lot et Tolzac,18990.0,"3,0",47,"13,2","25,2",72.7,10.2,25.3
244800405,CC COUR DE LOZERE,12720,11020,86.6,244800405.0,Cœur de Lozère,21250.0,"2,9",48,"9,2","18,0",80.4,7.3,15.7
244800470,CC DU GEVAUDAN,6990,6070,86.8,244800470.0,Le Gévaudan,20340.0,"2,7",48,"9,9","19,1",80.0,6.2,20.0
244900015,CU ANGERS LOIRE METROPOLE,228590,202790,88.7,244900015.0,Angers Loire Métropole,21220.0,"3,2",49,"12,8","21,5",83.4,10.6,12.3
244900809,CC ANJOU BLEU COMMUNAUTE,25340,22490,88.8,244900809.0,Anjou Bleu Communauté,19360.0,"2,5",49,"9,7","20,1",82.7,9.4,19.4
244900882,CC BAUGEOIS VALLEE,25890,23120,89.3,244900882.0,Baugeois Vallée,19480.0,"2,5",49,"8,4","18,8",83.0,8.6,23.5
245100615,CC DE LA GRANDE VALLEE DE LA MARNE,11270,10200,90.5,245100615.0,La Grande Vallée de la Marne,24100.0,"3,0",51,"5,0","9,3",85.3,5.8,29.1
245100888,CC DE LA BRIE CHAMPENOISE,5540,4670,84.3,245100888.0,La Brie Champenoise,20220.0,"2,9",51,"10,3","20,9",77.4,9.0,36.6
245100979,CC DU SUD MARNAIS,4440,3870,87.2,245100979.0,Le Sud Marnais,20280.0,"3,1",51,"11,5","23,5",81.5,10.0,36.9
245200597,CC DES TROIS FORETS,5640,4960,87.9,245200597.0,Les Trois Forêts,19860.0,"2,7",52,"8,4","19,3",81.9,8.2,33.9
245300223,CC DU PAYS DE MESLAY GREZ,10040,9040,90.0,245300223.0,Le Pays de Meslay-Grez,19780.0,"2,4",53,"7,3","17,3",84.5,6.0,19.5
245300355,CC DE L ERNEE,15060,13560,90.0,245300355.0,L'Ernée,19450.0,"2,4",53,"7,0","18,1",84.2,6.0,19.4
245300389,CC DU BOCAGE MAYENNAIS,14120,12600,89.2,245300389.0,Le Bocage Mayennais,18820.0,"2,6",53,"9,6","20,4",83.9,6.0,18.3
245300447,CC DU PAYS DE CHATEAU GONTIER,22310,20240,90.7,245300447.0,Le Pays de Château-Gontier,20230.0,"2,5",53,"7,6","16,4",85.7,7.6,14.9
245400171,CC MOSELLE ET MADON,21990,20050,91.2,245400171.0,Moselle et Madon,22650.0,"2,7",54,"5,5","12,3",87.1,7.0,27.6
245400189,CC DES PAYS DU SEL ET DU VERMOIS,22380,20140,90.0,245400189.0,Les Pays du Sel et du Vermois,21600.0,"2,7",54,"9,1","16,1",84.7,8.6,31.2
245400262,CA DE LONGWY,44500,36950,83.0,245400262.0,Longwy,20860.0,"4,1",54,"17,0","26,3",72.9,10.5,22.9
245400510,CC DU PAYS DE COLOMBEY ET DU SUD TOULOIS,8040,7260,90.3,245400510.0,Le Pays de Colombey et du Sud Toulois,20570.0,"2,4",88,"6,2","15,3",84.7,7.4,35.7
245400601,CC DU BASSIN DE POMPEY,30780,27540,89.5,245400601.0,Le Bassin de Pompey,21710.0,"2,8",54,"9,0","16,9",84.5,9.4,28.1
245400676,METROPOLE DU GRAND NANCY,189730,165650,87.3,245400676.0,Le Grand Nancy,20920.0,"3,9",54,"17,4","26,6",81.4,10.6,16.4
245400759,CC DU PAYS DU SANON,4480,4070,90.8,245400759.0,Le Pays du Sanon,20950.0,"2,7",54,"5,7","14,3",85.5,7.0,34.4
245500327,CC DU SAMMIELLOIS,6130,5240,85.5,245500327.0,Le Sammiellois,19460.0,"3,0",55,"12,7","23,8",78.1,11.5,35.1
245501176,CC DU TERRITOIRE DE FRESNES EN WOEVRE,3600,3090,85.8,245501176.0,Le Territoire de Fresnes-en-Woëvre,20140.0,"2,8",55,"8,9","19,2",78.6,7.8,31.7
245501184,CC DU PAYS DE REVIGNY SUR ORNAIN,5120,4650,90.8,245501184.0,Le Pays de Revigny-sur-Ornain,20120.0,"2,6",55,"9,0","19,3",86.1,9.6,34.8
245501242,CC DU PAYS D ETAIN,5190,4340,83.6,245501242.0,Le Pays d'Étain,19070.0,"2,8",55,"11,5","23,9",75.1,9.9,36.6
245501259,CC DU PAYS DE MONTMEDY,4600,3500,76.1,245501259.0,Le Pays de Montmédy,20330.0,"3,1",55,"11,7","20,0",66.7,7.1,34.5
245600440,CC DE BLAVET BELLEVUE OCEAN,14250,12810,89.9,245600440.0,Blavet Bellevue Océan,21890.0,"2,5",56,"5,0","11,4",84.2,7.3,20.1
245600465,CC DE BELLE ILE EN MER,4250,3590,84.5,245600465.0,Belle-Île-en-Mer,21060.0,"3,1",56,"6,7","15,8",80.0,11.3,11.2
245614383,CC QUESTEMBERT COMMUNAUTE,18480,16270,88.0,245614383.0,Questembert Communauté,20160.0,"2,5",56,"6,7","16,8",81.2,8.4,20.4
245614417,CC ROI MORVAN COMMUNAUTE,19520,16560,84.8,245614417.0,Roi Morvan Communauté,18650.0,"2,8",56,"11,7","23,7",78.4,9.9,21.4
245614433,CC PONTIVY COMMUNAUTE,34420,30510,88.6,245614433.0,Pontivy Communauté,20240.0,"2,7",56,"9,1","18,8",82.4,8.5,19.9
245700133,CC DU DISTRICT URBAIN DE FAULQUEMONT (DUF),18540,16150,87.1,245700133.0,Le District Urbain de Faulquemont (DUF),20870.0,"2,7",57,"9,3","18,1",82.0,8.5,34.4
245700372,CA DE FORBACH PORTE DE FRANCE,56010,45130,80.6,245700372.0,Forbach Porte de France,18940.0,"3,4",57,"18,2","29,3",72.5,12.7,33.2
245700398,CC DE FREYMING MERLEBACH,24090,19870,82.5,245700398.0,Freyming-Merlebach,17750.0,"3,0",57,"19,3","32,1",75.0,13.4,34.9
245700695,CC DE CATTENOM ET ENVIRONS,18710,16330,87.3,245700695.0,Cattenom et Environs,29350.0,"4,2",57,"8,7","13,0",79.7,5.8,21.6
245700950,CC DU PAYS DE PHALSBOURG,12750,11210,87.9,245700950.0,Le Pays de Phalsbourg,21370.0,"2,6",57,"5,5","13,9",82.9,7.3,35.4
245701164,CC DU WARNDT,13790,11510,83.5,245701164.0,Le Warndt,19310.0,"3,1",57,"15,7","27,0",76.4,11.3,33.7
245701206,CC DU SAULNOIS,21240,18690,88.0,245701206.0,Le Saulnois,20130.0,"2,7",57,"9,1","19,7",82.3,8.3,33.4
245701222,CA DU VAL DE FENSCH,53740,44640,83.1,245701222.0,Le Val de Fensch,19330.0,"3,4",57,"17,3","28,8",72.5,11.2,28.9
245701271,CC DU PAYS ORNE MOSELLE,41900,35740,85.3,245701271.0,Le Pays Orne Moselle,20240.0,"3,0",57,"12,3","22,2",78.0,10.1,32.4
245701354,CC DE L ARC MOSELLAN,27150,23950,88.2,245701354.0,L'Arc Mosellan,24170.0,"3,1",57,"6,5","12,3",80.5,6.4,27.7
245701362,CA PORTES DE FRANCE THIONVILLE,64110,54860,85.6,245701362.0,Portes de France-Thionville,22790.0,"4,2",57,"13,9","22,0",77.1,9.3,20.7
245701404,CC DU PAYS HAUT VAL D ALZETTE,19130,15930,83.3,245701404.0,Le Pays Haut Val d'Alzette,22390.0,"4,2",57,"16,4","25,1",73.0,9.8,21.9
245801063,CC LOIRE ET ALLIER,5700,5110,89.6,245801063.0,Loire et Allier,22350.0,"2,5",58,"5,0","10,6",84.4,5.2,24.8
245804406,CA DE NEVERS,52840,46710,88.4,245804406.0,Nevers,20020.0,"3,1",58,"15,8","25,1",81.5,10.7,21.1
245804497,CC DU NIVERNAIS BOURBONNAIS,3930,3370,85.8,245804497.0,Le Nivernais Bourbonnais,19190.0,"2,7",58,"12,7","24,1",79.9,8.3,28.9
245900428,CU DE DUNKERQUE,149380,131420,88.0,245900428.0,Dunkerque,18880.0,"3,1",59,"16,6","28,5",82.2,13.4,32.8
245900758,CC FLANDRE LYS,30310,27880,92.0,245900758.0,Flandre Lys,21190.0,"2,9",62,"8,7","17,6",86.9,8.0,31.8
245901038,CC DU PAYS SOLESMOIS,11130,9850,88.5,245901038.0,Le Pays Solesmois,19780.0,"3,0",59,"12,5","24,1",82.9,12.4,36.6
245901152,CC COUR D OSTREVENT,51820,45180,87.2,245901152.0,Cœur d'Ostrevent,18230.0,"2,9",59,"18,3","30,8",80.7,13.3,37.7
245901160,CA VALENCIENNES METROPOLE,142420,121370,85.2,245901160.0,Valenciennes Métropole,17960.0,"3,3",59,"21,4","34,0",78.6,13.9,33.5
246000129,CC DU LIANCOURTOIS,17490,14650,83.8,246000129.0,Le Liancourtois,21650.0,"2,7",60,"9,1","17,4",76.3,9.5,33.4
246000376,CC DU CLERMONTOIS,28280,24890,88.0,246000376.0,Le Clermontois,22170.0,"2,7",60,"7,8","15,5",81.2,8.2,32.3
246000566,CC DU PLATEAU PICARD,21730,19220,88.4,246000566.0,Le Plateau Picard,20670.0,"2,6",60,"8,7","18,2",81.7,9.5,37.6
246000582,CC DES SABLONS,27670,23250,84.0,246000582.0,Les Sablons,21690.0,"2,8",60,"8,8","18,3",76.3,9.7,32.6
246000707,CC DU VEXIN THELLE,14780,12970,87.8,246000707.0,Le Vexin-Thelle,23610.0,"2,7",60,"5,0","10,8",80.0,7.9,31.7
246000749,CC DES LISIERES DE L OISE,12010,10580,88.1,246000749.0,Les Lisières de l'Oise,22100.0,"2,9",60,"6,6","13,9",82.8,8.5,32.2
246000756,CC DU PAYS NOYONNAIS,23600,20160,85.4,246000756.0,Le Pays Noyonnais,19030.0,"3,0",60,"16,2","28,1",77.5,13.2,36.0
246000764,CC DE L AIRE CANTILIENNE,35260,31190,88.5,246000764.0,L'Aire Cantilienne,28530.0,"3,6",60,"5,0","8,6",83.2,7.3,17.8
246000772,CC DES DEUX VALLEES,17490,15290,87.4,246000772.0,Les Deux Vallées,21560.0,"2,7",60,"9,1","16,9",81.3,9.9,33.1
246000848,CC DE LA PICARDIE VERTE,23800,21120,88.7,246000848.0,La Picardie Verte,19970.0,"2,7",60,"10,6","20,7",81.7,10.2,40.7
246000855,CC DU PAYS DES SOURCES,16710,14660,87.7,246000855.0,Le Pays des Sources,22140.0,"2,8",60,"6,2","14,3",81.3,8.3,37.1
246000871,CC DU PAYS DE VALOIS,41330,35190,85.1,246000871.0,Le Pays de Valois,23360.0,"2,7",60,"5,0","11,8",78.8,7.6,33.3
246000897,CC DE LA PLAINE D ESTREES,13540,12110,89.4,246000897.0,La Plaine d'Estrées,23240.0,"2,6",60,"5,0","10,2",83.6,7.4,33.5
246000913,CC DU PAYS DE BRAY,13780,12090,87.7,246000913.0,Le Pays de Bray,21100.0,"2,6",60,"7,3","16,0",80.0,10.6,38.4
246000921,CC DES PAYS D OISE ET D HALATTE,25770,22290,86.5,246000921.0,Les Pays d'Oise et d'Halatte,22780.0,"2,9",60,"8,1","15,4",79.4,9.3,31.8
246100390,CC DU VAL D ORNE,4160,3690,88.7,246100390.0,Le Val d'Orne,19230.0,"2,7",61,"9,7","20,4",83.7,7.3,23.9
246100663,CU D ALENÇON,43690,39320,90.0,246100663.0,Alençon,20200.0,"3,1",72,"14,5","23,9",84.1,9.7,19.4
246200299,CA D HENIN CARVIN,93190,80330,86.2,246200299.0,Hénin-Carvin,17540.0,"2,8",62,"19,4","33,2",79.5,13.4,41.1
246200364,CA DE LENS LIEVIN,179550,157310,87.6,246200364.0,Lens - Liévin,17070.0,"2,9",62,"21,8","36,1",80.9,13.8,40.2
246200380,CC DE LA TERRE DES DEUX CAPS,16550,15190,91.8,246200380.0,La Terre des Deux Caps,19470.0,"2,9",62,"10,6","22,5",86.6,9.8,30.1
246200729,CA DU BOULONNAIS,83930,76040,90.6,246200729.0,Le Boulonnais,18100.0,"3,1",62,"18,2","30,5",85.7,13.8,28.7
246200844,CC DE LA REGION D AUDRUICQ,20450,18420,90.1,246200844.0,La Région d'Audruicq,20220.0,"2,8",62,"9,2","19,9",84.8,9.0,37.9
246201016,CC DU PAYS DE LUMBRES,17030,15490,91.0,246201016.0,Le Pays de Lumbres,19420.0,"2,7",62,"10,4","22,3",86.0,8.2,32.6
246300701,CLERMONT AUVERGNE METROPOLE,222850,197490,88.6,246300701.0,Clermont Auvergne Métropole,21540.0,"3,5",63,"14,0","22,8",83.2,9.9,13.8
246300966,CC DU MASSIF DU SANCY,7720,6580,85.2,246300966.0,Le Massif du Sancy,19730.0,"2,9",63,"8,0","19,8",79.9,6.4,18.8
246301097,CC ENTRE DORE ET ALLIER,14780,12900,87.3,246301097.0,Entre Dore et Allier,21430.0,"2,6",63,"6,7","14,3",81.9,7.6,24.6
246400337,CC DE LA VALLEE D OSSAU,7890,6800,86.2,246400337.0,La Vallée d'Ossau,20110.0,"2,7",64,"8,3","19,0",80.7,7.3,13.4
246401756,CC PAYS DE NAY,22590,19650,87.0,246401756.0,Pays de Nay,21670.0,"2,7",65,"7,5","15,3",81.5,6.9,18.3
246500482,CC DE LA HAUTE BIGORRE,13790,11590,84.0,246500482.0,La Haute-Bigorre,20020.0,"2,9",65,"10,0","19,8",78.2,8.4,12.7
246500573,CC AURE LOURON,5100,4350,85.3,246500573.0,Aure-Louron,19880.0,"3,0",65,"7,7","19,0",77.6,5.2,13.0
246600282,CC SUD ROUSSILLON,21120,17780,84.2,246600282.0,Sud-Roussillon,20310.0,"3,1",66,"11,9","21,7",78.1,14.1,32.2
246600373,CC DU VALLESPIR,17810,14270,80.1,246600373.0,Le Vallespir,19440.0,"3,3",66,"13,5","25,6",74.1,13.1,26.3
246600399,CC PYRENEES CERDAGNE,5810,4710,81.1,246600399.0,Pyrénées Cerdagne,19730.0,"3,0",66,"12,0","22,8",74.4,7.6,21.3
246600415,CC ROUSSILLON CONFLENT,14710,11900,80.9,246600415.0,Roussillon-Conflent,18440.0,"3,0",66,"16,3","28,9",73.6,12.4,32.2
246600423,CC AGLY FENOUILLEDES,5100,4000,78.4,246600423.0,Agly Fenouillèdes,16410.0,"3,1",66,"21,9","37,0",71.6,14.1,28.5
246600449,CC DES ASPRES,17720,14500,81.8,246600449.0,Les Aspres,19700.0,"3,1",66,"12,8","23,9",74.5,11.7,31.6
246600464,CC PYRENEES CATALANES,4580,3780,82.5,246600464.0,Pyrénées catalanes,19770.0,"3,2",66,"10,1","21,0",75.1,6.1,22.4
246600548,CC DU HAUT VALLESPIR,7950,6340,79.7,246600548.0,Le Haut Vallespir,17750.0,"3,2",66,"18,8","32,8",73.1,15.4,26.2
246700306,CC DE LA VALLEE DE LA BRUCHE,16360,14100,86.2,246700306.0,La Vallée de la Bruche,21080.0,"2,6",67,"6,3","14,7",81.1,8.3,32.2
246700488,EUROMETROPOLE DE STRASBOURG,390580,329790,84.4,246700488.0,Eurométropole de Strasbourg,20450.0,"3,9",67,"18,7","29,0",77.6,10.8,16.3
246700744,CC DES PORTES DE ROSHEIM,14920,13210,88.5,246700744.0,Les Portes de Rosheim,25480.0,"2,8",67,"5,0","7,3",84.1,5.6,23.1
246700777,CC DE LA VALLEE DE VILLE,8750,7640,87.3,246700777.0,La Vallée de Villé,22750.0,"2,7",67,"5,0","11,7",82.1,6.4,26.0
246700843,CC DE LA BASSE ZORN,14090,12830,91.1,246700843.0,La Basse-Zorn,24450.0,"2,6",67,"5,0","7,0",86.6,5.4,32.8
246700926,CC DU PAYS DE WISSEMBOURG,12130,10500,86.6,246700926.0,Le Pays de Wissembourg,22610.0,"3,3",67,"7,8","15,2",79.9,8.0,25.8
246700959,CC DU PAYS DE LA ZORN,12680,11540,91.0,246700959.0,Le Pays de la Zorn,23960.0,"2,6",67,"5,0","8,5",86.8,5.3,29.4
246700967,CC DE SELESTAT,29840,26230,87.9,246700967.0,Sélestat,21950.0,"3,1",67,"8,3","16,4",82.4,8.4,24.8
246701064,CC DE LA REGION DE MOLSHEIM MUTZIG,31600,28140,89.1,246701064.0,La Région de Molsheim-Mutzig,23640.0,"2,8",67,"5,8","12,1",84.1,6.6,26.8
246701080,CC DU PAYS DE SAINTE ODILE,15480,13780,89.0,246701080.0,Le Pays de Sainte-Odile,23090.0,"3,0",67,"5,1","12,3",84.0,6.7,25.6
246701098,CC DU PAYS DE NIEDERBRONN LES BAINS,18360,16000,87.1,246701098.0,Le Pays de Niederbronn-les-Bains,21850.0,"2,7",67,"7,4","14,6",81.5,8.1,36.2
246800205,CC DE LA VALLEE DE SAINT AMARIN,9830,7960,81.0,246800205.0,La Vallée de Saint-Amarin,21280.0,"2,7",68,"6,3","14,1",73.4,9.4,35.0
246800395,CC DU VAL D ARGENT,6960,5810,83.5,246800395.0,Le Val d'Argent,19830.0,"2,8",68,"13,4","23,4",77.2,11.2,31.2
246800445,CC DU CENTRE DU HAUT RHIN,11540,9680,83.9,246800445.0,Le Centre du Haut-Rhin,23400.0,"2,8",68,"5,0","11,8",77.3,7.4,34.3
246800494,"CC DU PAYS DE ROUFFACH, VIGNOBLES ET CHATEAUX",10260,9000,87.7,246800494.0,"Le Pays de Rouffach, Vignobles et Châteaux",24850.0,"2,9",68,"5,0","8,9",82.3,6.4,24.8
246800551,CC DE LA VALLEE DE KAYSERSBERG,13160,11040,83.9,246800551.0,La Vallée de Kaysersberg,23160.0,"2,8",68,"5,0","10,9",78.0,6.8,23.4
246800569,CC DE LA REGION DE GUEBWILLER,29910,24910,83.3,246800569.0,La Région de Guebwiller,22080.0,"3,0",68,"7,7","15,6",76.5,9.2,29.2
246800577,CC DU PAYS DE RIBEAUVILLE,14390,12630,87.8,246800577.0,Le Pays de Ribeauvillé,23440.0,"3,0",68,"5,0","10,9",82.0,7.1,26.1
246800585,CC DE LA VALLEE DE MUNSTER,13000,10660,82.0,246800585.0,La Vallée de Munster,21520.0,"2,7",68,"6,0","13,9",75.8,7.3,30.0
246800676,CC DE LA VALLEE DE LA DOLLER ET DU SOULTZBACH,12580,10530,83.7,246800676.0,La Vallée de la Doller et du Soultzbach,23080.0,"2,6",68,"5,0","11,4",77.1,6.8,32.2
246800726,CA COLMAR AGGLOMERATION,87340,73450,84.1,246800726.0,Colmar Agglomération,21550.0,"3,5",68,"12,0","20,9",77.2,10.1,23.4
246900575,CC DE L EST LYONNAIS (CCEL),32350,29300,90.6,246900575.0,L'Est Lyonnais (CCEL),26510.0,"2,8",69,"5,0","7,3",85.4,5.4,27.2
246900625,CC DU PAYS DE L ARBRESLE (CCPA),29790,26310,88.3,246900625.0,Le Pays de l'Arbresle (CCPA),24910.0,"2,9",69,"5,0","10,4",82.4,6.3,19.6
246900724,CC DES VALLONS DU LYONNAIS (CCVL),24090,21410,88.9,246900724.0,Les Vallons du Lyonnais (CCVL),25610.0,"2,9",69,"5,0","9,1",83.0,5.1,18.7
246900740,CC DU PAYS MORNANTAIS (COPAMO),22490,20030,89.1,246900740.0,Le Pays Mornantais (COPAMO),25100.0,"2,7",69,"5,0","8,4",83.5,5.0,19.6
246900757,CC DE LA VALLEE DU GARON (CCVG),25380,22650,89.2,246900757.0,La Vallée du Garon (CCVG),26750.0,"3,3",69,"5,2","10,5",83.9,6.0,16.1
246900765,CC DU PAYS DE L OZON,20860,18690,89.6,246900765.0,Le Pays de l'Ozon,26030.0,"2,8",69,"5,0","8,9",83.8,6.0,23.7
247000011,CA DE VESOUL,26140,22920,87.7,247000011.0,Vesoul,20250.0,"3,2",70,"13,6","24,2",81.6,10.7,23.2
247000367,CC DES COMBES,5760,5090,88.4,247000367.0,Les Combes,20480.0,"2,4",70,"7,8","16,6",82.8,6.7,31.7
247000623,CC DES QUATRE RIVIERES,7210,6190,85.9,247000623.0,Les Quatre Rivières,20020.0,"2,7",70,"9,2","20,0",78.6,7.1,33.9
247000664,CC DU PAYS DE LURE,14470,12180,84.2,247000664.0,Le Pays de Lure,19990.0,"2,8",70,"11,1","21,6",78.3,9.4,32.9
247000698,CC DES MONTS DE GY,4610,3930,85.2,247000698.0,Les Monts de Gy,20140.0,"2,7",70,"7,0","17,0",78.1,6.7,35.1
247000706,CC DU PAYS RIOLAIS,9610,8240,85.7,247000706.0,Le Pays Riolais,21740.0,"2,5",70,"5,0","11,8",79.8,5.8,27.8
247000714,CC DU PAYS DE VILLERSEXEL,5870,5020,85.5,247000714.0,Le Pays de Villersexel,19760.0,"2,5",70,"7,6","17,7",79.4,9.3,35.4
247000722,CC DU PAYS D HERICOURT,15800,13360,84.6,247000722.0,Le Pays d'Héricourt,21080.0,"2,7",70,"9,0","17,5",78.6,9.4,30.7
247000755,CC DU PAYS DE LUXEUIL,10600,9090,85.8,247000755.0,Le Pays de Luxeuil,18740.0,"3,0",70,"14,9","27,0",79.4,11.0,30.3
247000821,CC RAHIN ET CHERIMONT,8960,7380,82.4,247000821.0,Rahin et Chérimont,20510.0,"2,7",70,"7,8","17,5",75.8,9.0,39.1
247000854,CC DES 1000 ETANGS,6510,5380,82.6,247000854.0,Les 1000 étangs,19440.0,"2,8",70,"9,5","21,7",76.5,9.8,32.4
247100290,CU LE CREUSOT MONTCEAU LES MINES,70710,62140,87.9,247100290.0,Le Creusot Montceau-les-Mines,19590.0,"2,8",71,"11,6","22,2",82.0,10.2,25.6
247100589,CA LE GRAND CHALON,87980,78030,88.7,247100589.0,Le Grand Chalon,20680.0,"3,0",71,"11,8","21,1",82.7,9.9,22.5
247100639,CC DE MARCIGNY,4710,4100,87.0,247100639.0,Marcigny,19180.0,"2,7",71,"8,4","19,9",81.7,7.8,22.8
247100647,CC BRESSE NORD INTERCOM,5220,4390,84.1,247100647.0,Bresse Nord Intercom,19260.0,"2,8",71,"10,3","22,0",78.5,8.1,32.9
247103765,CC ENTRE SAONE ET GROSNE,8630,7700,89.2,247103765.0,Entre Saône et Grosne,21270.0,"2,7",71,"6,2","14,7",83.8,7.1,24.9
247103864,CC DU CANTON DE SEMUR EN BRIONNAIS,3950,3360,85.1,247103864.0,Le Canton de Semur-en-Brionnais,20430.0,"2,9",71,"7,2","16,6",79.5,7.1,19.5
247104094,CC SUD COTE CHALONNAISE,9080,8030,88.4,247104094.0,Sud Côte Chalonnaise,21970.0,"2,9",71,"5,7","13,9",82.6,6.5,22.3
247200090,CC DE SABLE SUR SARTHE,21010,18930,90.1,247200090.0,Sablé-sur-Sarthe,19850.0,"2,6",72,"10,7","20,2",83.7,8.9,18.1
247200132,CU LE MANS METROPOLE,159660,141510,88.6,247200132.0,Le Mans Métropole,20520.0,"3,4",72,"17,0","26,1",82.7,12.1,15.1
247200348,CC DU PAYS FLECHOIS,19930,17930,90.0,247200348.0,Le Pays Fléchois,20040.0,"2,6",72,"9,1","18,5",83.3,8.8,21.5
247200421,CC DU SUD EST DU PAYS MANCEAU,13280,12210,91.9,247200421.0,Le Sud Est du Pays Manceau,22490.0,"2,5",72,"5,0","10,6",86.8,5.9,21.4
247200447,CC OREE DE BERCE BELINOIS,14840,13460,90.7,247200447.0,Orée de Bercé - Belinois,21350.0,"2,4",72,"5,1","12,5",85.6,6.0,24.4
247200629,CC DU VAL DE SARTHE,23220,21420,92.2,247200629.0,Le Val de Sarthe,21710.0,"2,3",72,"5,0","11,2",87.1,6.0,23.3
247200686,CC DU PAYS DE L HUISNE SARTHOISE,21400,19500,91.1,247200686.0,Le Pays de l'Huisne Sarthoise,20510.0,"2,6",72,"7,9","16,7",85.6,8.1,25.6
247300015,CC DES VALLEES D AIGUEBLANCHE,5670,4670,82.4,247300015.0,Les Vallées d'Aigueblanche,22160.0,"2,6",73,"5,5","13,2",74.6,5.4,24.3
247300254,CC DE HAUTE TARENTAISE,12240,10570,86.4,247300254.0,Haute-Tarentaise,22340.0,"3,0",73,"5,1","12,2",75.0,3.6,16.6
247300262,CC DE YENNE,5690,4820,84.7,247300262.0,Yenne,22360.0,"2,7",73,"6,1","13,3",78.6,6.6,28.7
247300361,CC DU CANTON DE LA CHAMBRE,5740,4910,85.5,247300361.0,Le Canton de la Chambre,22430.0,"2,6",73,"5,1","11,5",78.4,4.9,29.9
247300452,CC MAURIENNE GALIBIER,4110,3580,87.1,247300452.0,Maurienne Galibier,21960.0,"2,5",73,"5,0","10,1",79.3,4.7,25.6
247300528,CC VAL GUIERS,9520,7940,83.4,247300528.0,Val Guiers,21420.0,"2,7",73,"7,4","15,8",77.2,8.5,27.1
