dep,nb_crib,nb_pos,nb_C1,tx_C1,datetime
60,333.0,724.0,0.0,0.0,2021-06-07
29,346.0,562.0,0.0,0.0,2021-06-07
42,415.0,981.0,0.0,0.0,2021-06-07
81,163.0,310.0,0.0,0.0,2021-06-07
64,21.0,582.0,3.0,20.0,2021-06-07
2B,13.0,46.0,0.0,0.0,2021-06-07
33,127.0,1177.0,3.0,6.67,2021-06-07
972,19.0,81.0,0.0,0.0,2021-06-07
77,547.0,1368.0,7.0,3.85,2021-06-07
95,503.0,1562.0,3.0,1.52,2021-06-07
94,505.0,1514.0,7.0,4.14,2021-06-07
65,32.0,123.0,1.0,6.67,2021-06-07
86,163.0,203.0,0.0,0.0,2021-06-07
82,15.0,202.0,0.0,0.0,2021-06-07
88,96.0,256.0,0.0,0.0,2021-06-07
63,45.0,442.0,1.0,2.94,2021-06-07
68,379.0,713.0,0.0,0.0,2021-06-07
22,45.0,322.0,0.0,0.0,2021-06-07
74,16.0,573.0,0.0,0.0,2021-06-07
25,207.0,429.0,0.0,0.0,2021-06-07
91,593.0,1370.0,12.0,3.17,2021-06-07
47,44.0,193.0,1.0,6.67,2021-06-07
02,126.0,398.0,0.0,0.0,2021-06-07
48,1.0,22.0,0.0,0.0,2021-06-07
43,75.0,203.0,0.0,0.0,2021-06-07
92,544.0,1640.0,9.0,6.98,2021-06-07
51,127.0,359.0,1.0,1.49,2021-06-07
971,37.0,227.0,0.0,0.0,2021-06-07
90,4.0,102.0,0.0,0.0,2021-06-07
78,729.0,1523.0,4.0,1.17,2021-06-07
40,14.0,384.0,10.0,90.91,2021-06-07
14,146.0,458.0,3.0,2.59,2021-06-07
59,1007.0,2656.0,8.0,1.1,2021-06-07
79,134.0,191.0,0.0,0.0,2021-06-07
08,30.0,232.0,0.0,0.0,2021-06-07
87,5.0,198.0,0.0,0.0,2021-06-07
89,188.0,299.0,0.0,0.0,2021-06-07
10,84.0,127.0,0.0,0.0,2021-06-07
62,516.0,1230.0,0.0,0.0,2021-06-07
18,119.0,174.0,0.0,0.0,2021-06-07
06,151.0,396.0,1.0,14.29,2021-06-07
83,246.0,566.0,0.0,0.0,2021-06-07
71,174.0,387.0,4.0,4.94,2021-06-07
32,27.0,128.0,0.0,0.0,2021-06-07
23,0.0,26.0,0.0,0.0,2021-06-07
54,293.0,458.0,0.0,0.0,2021-06-07
36,58.0,162.0,0.0,0.0,2021-06-07
03,24.0,249.0,0.0,0.0,2021-06-07
49,228.0,486.0,0.0,0.0,2021-06-07
70,108.0,169.0,0.0,0.0,2021-06-07
2A,23.0,50.0,0.0,0.0,2021-06-07
15,9.0,61.0,0.0,0.0,2021-06-07
976,1.0,38.0,0.0,0.0,2021-06-07
72,74.0,478.0,1.0,25.0,2021-06-07
04,11.0,82.0,1.0,20.0,2021-06-07
61,95.0,251.0,0.0,0.0,2021-06-07
46,10.0,91.0,0.0,0.0,2021-06-07
30,38.0,562.0,1.0,50.0,2021-06-07
11,70.0,198.0,0.0,0.0,2021-06-07
56,185.0,437.0,0.0,0.0,2021-06-07
31,376.0,1242.0,0.0,0.0,2021-06-07
57,461.0,665.0,0.0,0.0,2021-06-07
37,92.0,346.0,3.0,4.05,2021-06-07
76,427.0,975.0,0.0,0.0,2021-06-07
53,178.0,288.0,0.0,0.0,2021-06-07
07,68.0,188.0,0.0,0.0,2021-06-07
977,2.0,6.0,0.0,0.0,2021-06-07
05,20.0,113.0,0.0,0.0,2021-06-07
19,42.0,160.0,0.0,0.0,2021-06-07
80,202.0,381.0,0.0,0.0,2021-06-07
85,70.0,308.0,0.0,0.0,2021-06-07
978,15.0,133.0,0.0,0.0,2021-06-07
41,39.0,172.0,0.0,0.0,2021-06-07
01,55.0,375.0,0.0,0.0,2021-06-07
09,21.0,64.0,0.0,0.0,2021-06-07
13,528.0,2040.0,19.0,9.27,2021-06-07
38,158.0,714.0,8.0,16.0,2021-06-07
973,367.0,1088.0,0.0,0.0,2021-06-07
44,167.0,1049.0,2.0,3.85,2021-06-07
75,694.0,2438.0,9.0,3.6,2021-06-07
21,280.0,654.0,0.0,0.0,2021-06-07
67,492.0,1119.0,12.0,48.0,2021-06-07
39,134.0,190.0,0.0,0.0,2021-06-07
55,74.0,94.0,0.0,0.0,2021-06-07
45,272.0,817.0,0.0,0.0,2021-06-07
16,47.0,108.0,0.0,0.0,2021-06-07
84,21.0,373.0,2.0,11.76,2021-06-07
12,3.0,146.0,0.0,0.0,2021-06-07
24,51.0,223.0,0.0,0.0,2021-06-07
35,325.0,731.0,0.0,0.0,2021-06-07
974,187.0,1497.0,0.0,0.0,2021-06-07
26,112.0,236.0,0.0,0.0,2021-06-07
28,30.0,322.0,0.0,0.0,2021-06-07
17,41.0,212.0,3.0,9.38,2021-06-07
58,18.0,83.0,0.0,0.0,2021-06-07
50,145.0,369.0,1.0,0.74,2021-06-07
34,162.0,952.0,0.0,0.0,2021-06-07
10,72.0,118.0,0.0,0.0,2021-06-08
06,149.0,363.0,1.0,9.09,2021-06-08
92,557.0,1539.0,13.0,8.9,2021-06-08
93,506.0,2011.0,15.0,5.45,2021-06-08
13,504.0,1917.0,16.0,8.04,2021-06-08
79,107.0,145.0,0.0,0.0,2021-06-08
37,96.0,351.0,2.0,2.7,2021-06-08
41,39.0,136.0,0.0,0.0,2021-06-08
45,249.0,769.0,3.0,25.0,2021-06-08
66,7.0,356.0,1.0,50.0,2021-06-08
56,189.0,419.0,0.0,0.0,2021-06-08
30,52.0,483.0,1.0,100.0,2021-06-08
12,2.0,145.0,0.0,0.0,2021-06-08
49,212.0,454.0,0.0,0.0,2021-06-08
44,176.0,987.0,2.0,2.67,2021-06-08
91,574.0,1295.0,14.0,3.87,2021-06-08
83,236.0,542.0,0.0,0.0,2021-06-08
35,298.0,678.0,0.0,0.0,2021-06-08
59,929.0,2401.0,10.0,1.54,2021-06-08
28,33.0,305.0,0.0,0.0,2021-06-08
87,18.0,176.0,0.0,0.0,2021-06-08
34,222.0,864.0,0.0,0.0,2021-06-08
84,19.0,333.0,2.0,11.76,2021-06-08
29,328.0,540.0,0.0,0.0,2021-06-08
62,475.0,1137.0,1.0,0.33,2021-06-08
46,8.0,82.0,0.0,0.0,2021-06-08
2B,11.0,44.0,0.0,0.0,2021-06-08
77,500.0,1242.0,11.0,5.82,2021-06-08
75,673.0,2296.0,14.0,5.13,2021-06-08
09,20.0,60.0,0.0,0.0,2021-06-08
60,332.0,663.0,0.0,0.0,2021-06-08
18,107.0,160.0,0.0,0.0,2021-06-08
85,76.0,287.0,0.0,0.0,2021-06-08
74,24.0,551.0,0.0,0.0,2021-06-08
80,178.0,347.0,3.0,2.19,2021-06-08
78,680.0,1390.0,4.0,1.17,2021-06-08
22,47.0,291.0,0.0,0.0,2021-06-08
05,18.0,108.0,0.0,0.0,2021-06-08
65,27.0,98.0,1.0,6.25,2021-06-08
53,163.0,259.0,0.0,0.0,2021-06-08
31,358.0,1131.0,0.0,0.0,2021-06-08
11,66.0,186.0,0.0,0.0,2021-06-08
86,147.0,184.0,0.0,0.0,2021-06-08
88,93.0,222.0,0.0,0.0,2021-06-08
04,9.0,60.0,2.0,33.33,2021-06-08
72,72.0,429.0,0.0,0.0,2021-06-08
02,145.0,358.0,1.0,2.78,2021-06-08
48,4.0,25.0,0.0,0.0,2021-06-08
2A,18.0,50.0,0.0,0.0,2021-06-08
36,61.0,141.0,0.0,0.0,2021-06-08
08,38.0,220.0,0.0,0.0,2021-06-08
32,31.0,120.0,2.0,10.53,2021-06-08
21,263.0,581.0,0.0,0.0,2021-06-08
73,115.0,242.0,2.0,6.25,2021-06-08
38,152.0,688.0,9.0,14.75,2021-06-08
42,401.0,880.0,0.0,0.0,2021-06-08
89,168.0,274.0,0.0,0.0,2021-06-08
58,21.0,79.0,0.0,0.0,2021-06-08
76,417.0,901.0,0.0,0.0,2021-06-08
71,170.0,362.0,2.0,2.22,2021-06-08
40,21.0,356.0,11.0,84.62,2021-06-08
971,34.0,214.0,0.0,0.0,2021-06-08
43,77.0,188.0,0.0,0.0,2021-06-08
70,84.0,139.0,0.0,0.0,2021-06-08
03,34.0,224.0,0.0,0.0,2021-06-08
25,196.0,403.0,0.0,0.0,2021-06-08
68,364.0,671.0,1.0,50.0,2021-06-08
978,17.0,130.0,0.0,0.0,2021-06-08
82,15.0,178.0,0.0,0.0,2021-06-08
95,469.0,1470.0,5.0,2.34,2021-06-08
977,5.0,11.0,0.0,0.0,2021-06-08
972,17.0,83.0,0.0,0.0,2021-06-08
07,74.0,175.0,0.0,0.0,2021-06-08
52,41.0,101.0,0.0,0.0,2021-06-08
23,1.0,27.0,0.0,0.0,2021-06-08
54,314.0,426.0,0.0,0.0,2021-06-08
15,12.0,67.0,0.0,0.0,2021-06-08
976,0.0,36.0,0.0,0.0,2021-06-08
974,276.0,1503.0,0.0,0.0,2021-06-08
26,100.0,219.0,0.0,0.0,2021-06-08
61,87.0,245.0,0.0,0.0,2021-06-08
63,44.0,408.0,1.0,3.23,2021-06-08
50,135.0,337.0,0.0,0.0,2021-06-08
39,131.0,195.0,0.0,0.0,2021-06-08
67,483.0,1039.0,20.0,40.82,2021-06-08
973,400.0,1126.0,1.0,0.41,2021-06-08
57,515.0,645.0,0.0,0.0,2021-06-08
27,225.0,551.0,1.0,0.6,2021-06-08
33,150.0,1113.0,4.0,5.19,2021-06-08
19,57.0,170.0,0.0,0.0,2021-06-08
24,51.0,199.0,0.0,0.0,2021-06-08
55,82.0,99.0,0.0,0.0,2021-06-08
14,164.0,436.0,4.0,3.05,2021-06-08
51,137.0,338.0,1.0,1.35,2021-06-08
69,621.0,1705.0,10.0,5.85,2021-06-08
64,33.0,564.0,5.0,17.86,2021-06-08
90,4.0,100.0,0.0,0.0,2021-06-08
01,58.0,341.0,0.0,0.0,2021-06-08
47,54.0,195.0,1.0,3.85,2021-06-08
94,481.0,1390.0,7.0,3.54,2021-06-08
17,59.0,202.0,4.0,8.0,2021-06-08
16,46.0,95.0,0.0,0.0,2021-06-08
81,154.0,267.0,0.0,0.0,2021-06-08
67,457.0,937.0,24.0,32.88,2021-06-09
18,96.0,143.0,1.0,7.14,2021-06-09
51,138.0,312.0,1.0,1.41,2021-06-09
19,58.0,164.0,0.0,0.0,2021-06-09
38,163.0,660.0,10.0,12.5,2021-06-09
09,17.0,56.0,0.0,0.0,2021-06-09
57,495.0,588.0,0.0,0.0,2021-06-09
31,331.0,999.0,1.0,6.25,2021-06-09
73,101.0,207.0,3.0,8.33,2021-06-09
83,234.0,508.0,0.0,0.0,2021-06-09
60,324.0,578.0,0.0,0.0,2021-06-09
53,152.0,224.0,2.0,6.45,2021-06-09
84,20.0,317.0,2.0,11.11,2021-06-09
12,7.0,130.0,0.0,0.0,2021-06-09
33,166.0,1038.0,5.0,5.21,2021-06-09
52,46.0,94.0,0.0,0.0,2021-06-09
10,60.0,106.0,0.0,0.0,2021-06-09
77,481.0,1168.0,11.0,5.88,2021-06-09
07,72.0,151.0,0.0,0.0,2021-06-09
972,18.0,85.0,0.0,0.0,2021-06-09
66,5.0,318.0,0.0,0.0,2021-06-09
46,7.0,67.0,0.0,0.0,2021-06-09
69,680.0,1573.0,12.0,6.67,2021-06-09
977,6.0,11.0,0.0,0.0,2021-06-09
27,215.0,494.0,6.0,3.57,2021-06-09
75,656.0,2170.0,21.0,7.05,2021-06-09
44,180.0,854.0,2.0,2.3,2021-06-09
13,480.0,1746.0,16.0,8.33,2021-06-09
32,36.0,112.0,3.0,12.0,2021-06-09
21,245.0,468.0,0.0,0.0,2021-06-09
2A,15.0,46.0,0.0,0.0,2021-06-09
36,55.0,110.0,0.0,0.0,2021-06-09
15,18.0,64.0,1.0,25.0,2021-06-09
80,165.0,304.0,4.0,2.99,2021-06-09
71,152.0,332.0,2.0,2.27,2021-06-09
01,58.0,307.0,0.0,0.0,2021-06-09
72,85.0,403.0,2.0,50.0,2021-06-09
64,42.0,536.0,5.0,13.89,2021-06-09
976,0.0,32.0,0.0,0.0,2021-06-09
85,82.0,273.0,0.0,0.0,2021-06-09
35,294.0,630.0,0.0,0.0,2021-06-09
974,367.0,1459.0,0.0,0.0,2021-06-09
93,496.0,1883.0,17.0,6.39,2021-06-09
26,91.0,195.0,0.0,0.0,2021-06-09
54,296.0,419.0,0.0,0.0,2021-06-09
28,29.0,274.0,0.0,0.0,2021-06-09
39,116.0,175.0,3.0,18.75,2021-06-09
50,130.0,301.0,0.0,0.0,2021-06-09
34,257.0,759.0,0.0,0.0,2021-06-09
04,8.0,56.0,2.0,40.0,2021-06-09
24,50.0,184.0,0.0,0.0,2021-06-09
61,91.0,231.0,0.0,0.0,2021-06-09
62,444.0,1027.0,1.0,0.37,2021-06-09
68,345.0,617.0,4.0,57.14,2021-06-09
973,418.0,1176.0,1.0,0.31,2021-06-09
11,60.0,170.0,0.0,0.0,2021-06-09
05,12.0,92.0,0.0,0.0,2021-06-09
23,2.0,26.0,0.0,0.0,2021-06-09
42,396.0,822.0,0.0,0.0,2021-06-09
92,561.0,1414.0,15.0,10.14,2021-06-09
56,178.0,370.0,0.0,0.0,2021-06-09
48,4.0,23.0,0.0,0.0,2021-06-09
41,26.0,106.0,0.0,0.0,2021-06-09
95,459.0,1342.0,5.0,2.16,2021-06-09
30,68.0,398.0,2.0,66.67,2021-06-09
2B,10.0,36.0,0.0,0.0,2021-06-09
70,79.0,138.0,0.0,0.0,2021-06-09
06,142.0,344.0,1.0,7.69,2021-06-09
29,325.0,515.0,1.0,0.71,2021-06-09
49,219.0,432.0,0.0,0.0,2021-06-09
81,131.0,232.0,0.0,0.0,2021-06-09
88,86.0,206.0,0.0,0.0,2021-06-09
86,133.0,167.0,0.0,0.0,2021-06-09
02,149.0,314.0,1.0,2.86,2021-06-09
03,38.0,215.0,1.0,2.7,2021-06-09
82,12.0,159.0,0.0,0.0,2021-06-09
25,185.0,376.0,0.0,0.0,2021-06-09
40,21.0,307.0,12.0,85.71,2021-06-09
90,3.0,93.0,0.0,0.0,2021-06-09
978,17.0,125.0,0.0,0.0,2021-06-09
16,34.0,75.0,0.0,0.0,2021-06-09
65,25.0,95.0,1.0,7.69,2021-06-09
43,74.0,168.0,1.0,33.33,2021-06-09
971,32.0,202.0,0.0,0.0,2021-06-09
74,38.0,526.0,0.0,0.0,2021-06-09
17,75.0,195.0,7.0,10.61,2021-06-09
87,22.0,161.0,0.0,0.0,2021-06-09
89,162.0,272.0,0.0,0.0,2021-06-09
94,442.0,1266.0,7.0,3.43,2021-06-09
55,83.0,95.0,0.0,0.0,2021-06-09
37,93.0,337.0,2.0,2.82,2021-06-09
59,867.0,2162.0,10.0,1.77,2021-06-09
14,163.0,398.0,8.0,5.8,2021-06-09
63,34.0,378.0,2.0,9.09,2021-06-09
08,49.0,197.0,0.0,0.0,2021-06-09
79,102.0,136.0,0.0,0.0,2021-06-09
91,535.0,1164.0,19.0,5.38,2021-06-09
76,413.0,850.0,0.0,0.0,2021-06-09
47,55.0,197.0,1.0,3.12,2021-06-09
78,631.0,1265.0,8.0,2.28,2021-06-09
45,210.0,677.0,3.0,25.0,2021-06-09
58,31.0,70.0,1.0,3.7,2021-06-09
22,36.0,260.0,0.0,0.0,2021-06-09
976,0.0,35.0,0.0,0.0,2021-06-10
17,88.0,168.0,7.0,8.86,2021-06-10
36,42.0,92.0,1.0,4.35,2021-06-10
06,123.0,317.0,1.0,7.69,2021-06-10
01,59.0,263.0,0.0,0.0,2021-06-10
45,176.0,621.0,5.0,35.71,2021-06-10
978,17.0,120.0,0.0,0.0,2021-06-10
72,101.0,362.0,2.0,50.0,2021-06-10
15,18.0,61.0,2.0,40.0,2021-06-10
49,206.0,394.0,0.0,0.0,2021-06-10
41,24.0,93.0,0.0,0.0,2021-06-10
05,13.0,71.0,0.0,0.0,2021-06-10
977,6.0,11.0,0.0,0.0,2021-06-10
07,69.0,127.0,1.0,9.09,2021-06-10
12,17.0,127.0,0.0,0.0,2021-06-10
16,35.0,71.0,0.0,0.0,2021-06-10
37,90.0,313.0,3.0,4.35,2021-06-10
44,215.0,762.0,2.0,1.68,2021-06-10
76,424.0,808.0,1.0,0.34,2021-06-10
53,140.0,208.0,2.0,5.88,2021-06-10
83,217.0,473.0,0.0,0.0,2021-06-10
19,63.0,161.0,0.0,0.0,2021-06-10
57,480.0,569.0,0.0,0.0,2021-06-10
56,156.0,316.0,0.0,0.0,2021-06-10
31,299.0,875.0,2.0,5.0,2021-06-10
30,68.0,372.0,1.0,25.0,2021-06-10
11,59.0,154.0,0.0,0.0,2021-06-10
70,73.0,118.0,1.0,7.14,2021-06-10
61,90.0,204.0,0.0,0.0,2021-06-10
04,8.0,57.0,2.0,33.33,2021-06-10
03,45.0,206.0,1.0,2.27,2021-06-10
58,34.0,58.0,1.0,3.7,2021-06-10
54,270.0,404.0,0.0,0.0,2021-06-10
55,65.0,75.0,0.0,0.0,2021-06-10
21,240.0,419.0,0.0,0.0,2021-06-10
32,38.0,99.0,3.0,10.71,2021-06-10
40,20.0,288.0,10.0,71.43,2021-06-10
25,172.0,338.0,0.0,0.0,2021-06-10
02,146.0,293.0,1.0,1.69,2021-06-10
88,78.0,177.0,0.0,0.0,2021-06-10
86,122.0,149.0,0.0,0.0,2021-06-10
2B,8.0,32.0,0.0,0.0,2021-06-10
08,74.0,185.0,0.0,0.0,2021-06-10
91,488.0,1054.0,20.0,5.83,2021-06-10
48,4.0,26.0,0.0,0.0,2021-06-10
78,562.0,1130.0,9.0,2.43,2021-06-10
971,32.0,199.0,0.0,0.0,2021-06-10
23,2.0,24.0,0.0,0.0,2021-06-10
59,800.0,1951.0,12.0,2.21,2021-06-10
14,171.0,372.0,8.0,5.44,2021-06-10
89,164.0,263.0,0.0,0.0,2021-06-10
87,26.0,159.0,0.0,0.0,2021-06-10
43,73.0,156.0,1.0,33.33,2021-06-10
82,17.0,153.0,0.0,0.0,2021-06-10
51,129.0,265.0,0.0,0.0,2021-06-10
95,420.0,1218.0,8.0,3.39,2021-06-10
64,42.0,503.0,5.0,13.51,2021-06-10
93,477.0,1774.0,19.0,7.12,2021-06-10
68,315.0,554.0,4.0,50.0,2021-06-10
69,741.0,1464.0,12.0,6.59,2021-06-10
73,92.0,190.0,3.0,7.32,2021-06-10
10,44.0,85.0,0.0,0.0,2021-06-10
66,6.0,306.0,1.0,50.0,2021-06-10
94,431.0,1176.0,10.0,4.39,2021-06-10
79,100.0,125.0,1.0,3.23,2021-06-10
90,3.0,84.0,0.0,0.0,2021-06-10
81,122.0,221.0,0.0,0.0,2021-06-10
