dep,datetime,hosp,rea,HospConv,SSR_USLD,autres,rad,dc,population,hosp_pour_100k,rea_pour_100k
68,2020-11-20,262,32,,,,3578,894,764030,34.3,4.2
69,2020-11-20,1686,273,,,,6772,1350,1843319,91.5,14.8
70,2020-11-20,102,14,,,,453,114,236659,43.1,5.9
71,2020-11-20,528,42,,,,1575,443,553595,95.4,7.6
72,2020-11-20,198,16,,,,828,140,566506,35.0,2.8
73,2020-11-20,380,44,,,,1157,296,431174,88.1,10.2
74,2020-11-20,619,67,,,,2021,418,807360,76.7,8.3
75,2020-11-20,1220,276,,,,9625,2375,2187526,55.8,12.6
76,2020-11-20,600,81,,,,1912,472,1254378,47.8,6.5
77,2020-11-20,551,98,,,,4182,980,1403997,39.2,7.0
78,2020-11-20,796,66,,,,3764,833,1438266,55.3,4.6
79,2020-11-20,98,12,,,,176,61,374351,26.2,3.2
80,2020-11-20,192,37,,,,1080,320,572443,33.5,6.5
81,2020-11-20,150,28,,,,373,87,387890,38.7,7.2
82,2020-11-20,79,13,,,,277,64,258349,30.6,5.0
83,2020-11-20,421,64,,,,1921,343,1058740,39.8,6.0
84,2020-11-20,441,38,,,,1071,284,559479,78.8,6.8
85,2020-11-20,107,17,,,,508,72,675247,15.8,2.5
86,2020-11-20,151,19,,,,367,113,436876,34.6,4.3
87,2020-11-20,151,10,,,,355,96,374426,40.3,2.7
88,2020-11-20,227,19,,,,989,331,367673,61.7,5.2
89,2020-11-20,197,14,,,,666,139,338291,58.2,4.1
90,2020-11-20,142,23,,,,746,247,142622,99.6,16.1
91,2020-11-20,687,95,,,,4267,862,1296130,53.0,7.3
92,2020-11-20,834,152,,,,7245,1407,1609306,51.8,9.4
93,2020-11-20,877,102,,,,6479,1330,1623111,54.0,6.3
94,2020-11-20,924,112,,,,6747,1592,1387926,66.6,8.1
95,2020-11-20,543,54,,,,4278,1002,1228618,44.2,4.4
971,2020-11-20,103,11,,,,692,161,390253,26.4,2.8
972,2020-11-20,57,15,,,,300,39,372594,15.3,4.0
973,2020-11-20,10,0,,,,1846,66,268700,3.7,0.0
974,2020-11-20,85,19,,,,581,43,853659,10.0,2.2
976,2020-11-20,12,5,,,,503,34,256518,4.7,1.9
01,2020-11-21,444,27,,,,1072,255,643350,69.0,4.2
02,2020-11-21,225,29,,,,1572,366,534490,42.1,5.4
03,2020-11-21,236,26,,,,657,169,337988,69.8,7.7
04,2020-11-21,133,8,,,,344,51,163915,81.1,4.9
05,2020-11-21,180,15,,,,413,79,141284,127.4,10.6
06,2020-11-21,477,74,,,,1863,381,1083310,44.0,6.8
07,2020-11-21,217,16,,,,796,223,325712,66.6,4.9
08,2020-11-21,155,17,,,,357,116,273579,56.7,6.2
09,2020-11-21,47,4,,,,104,15,153153,30.7,2.6
10,2020-11-21,140,17,,,,872,196,310020,45.2,5.5
11,2020-11-21,94,8,,,,410,103,370260,25.4,2.2
12,2020-11-21,119,10,,,,362,88,279206,42.6,3.6
13,2020-11-21,1339,274,,,,8837,1351,2024162,66.2,13.5
14,2020-11-21,255,34,,,,795,183,694002,36.7,4.9
15,2020-11-21,75,12,,,,169,31,145143,51.7,8.3
16,2020-11-21,64,7,,,,135,26,352335,18.2,2.0
17,2020-11-21,96,23,,,,347,90,644303,14.9,3.6
18,2020-11-21,168,12,,,,417,179,304256,55.2,3.9
19,2020-11-21,79,9,,,,282,78,241464,32.7,3.7
21,2020-11-21,363,67,,,,1468,366,533819,68.0,12.6
22,2020-11-21,71,10,,,,413,72,598814,11.9,1.7
23,2020-11-21,75,14,,,,196,38,118638,63.2,11.8
24,2020-11-21,92,16,,,,211,32,413606,22.2,3.9
25,2020-11-21,205,48,,,,936,196,539067,38.0,8.9
26,2020-11-21,319,54,,,,1101,294,511553,62.4,10.6
27,2020-11-21,196,12,,,,596,171,601843,32.6,2.0
28,2020-11-21,239,28,,,,980,197,433233,55.2,6.5
29,2020-11-21,101,29,,,,416,73,909028,11.1,3.2
2A,2020-11-21,40,9,,,,241,73,157249,25.4,5.7
2B,2020-11-21,21,2,,,,203,36,177689,11.8,1.1
30,2020-11-21,338,70,,,,1018,244,744178,45.4,9.4
31,2020-11-21,356,84,,,,2032,256,1362672,26.1,6.2
32,2020-11-21,41,6,,,,147,46,191091,21.5,3.1
33,2020-11-21,373,94,,,,2058,325,1583384,23.6,5.9
34,2020-11-21,388,91,,,,1903,360,1144892,33.9,7.9
35,2020-11-21,288,34,,,,1045,188,1060199,27.2,3.2
36,2020-11-21,71,6,,,,317,100,222232,31.9,2.7
37,2020-11-21,153,46,,,,703,148,606511,25.2,7.6
38,2020-11-21,985,120,,,,2613,592,1258722,78.3,9.5
39,2020-11-21,199,12,,,,632,135,260188,76.5,4.6
40,2020-11-21,107,16,,,,243,47,407444,26.3,3.9
41,2020-11-21,106,5,,,,509,110,331915,31.9,1.5
42,2020-11-21,906,105,,,,2418,632,762941,118.8,13.8
43,2020-11-21,222,17,,,,421,79,227283,97.7,7.5
44,2020-11-21,345,44,,,,1398,313,1394909,24.7,3.2
45,2020-11-21,260,61,,,,1114,176,678105,38.3,9.0
46,2020-11-21,46,6,,,,109,33,173828,26.5,3.5
47,2020-11-21,81,16,,,,235,35,332842,24.3,4.8
48,2020-11-21,39,4,,,,111,34,76601,50.9,5.2
49,2020-11-21,269,56,,,,1272,266,813493,33.1,6.9
50,2020-11-21,159,14,,,,367,97,496883,32.0,2.8
51,2020-11-21,204,38,,,,1456,348,568895,35.9,6.7
52,2020-11-21,141,9,,,,399,125,175640,80.3,5.1
53,2020-11-21,133,11,,,,443,85,307445,43.3,3.6
54,2020-11-21,372,58,,,,1776,472,733481,50.7,7.9
55,2020-11-21,57,9,,,,629,133,187187,30.5,4.8
56,2020-11-21,200,20,,,,736,159,750863,26.6,2.7
57,2020-11-21,541,67,,,,3280,1028,1043522,51.8,6.4
58,2020-11-21,94,10,,,,224,54,207182,45.4,4.8
59,2020-11-21,1586,254,,,,6147,1401,2604361,60.9,9.8
60,2020-11-21,299,43,,,,1763,525,824503,36.3,5.2
61,2020-11-21,143,12,,,,457,91,283372,50.5,4.2
62,2020-11-21,765,115,,,,2778,612,1468018,52.1,7.8
63,2020-11-21,374,43,,,,838,199,653742,57.2,6.6
64,2020-11-21,401,26,,,,708,134,677309,59.2,3.8
65,2020-11-21,176,13,,,,341,67,228530,77.0,5.7
66,2020-11-21,118,26,,,,501,102,474452,24.9,5.5
67,2020-11-21,519,89,,,,3492,820,1125559,46.1,7.9
68,2020-11-21,265,31,,,,3598,897,764030,34.7,4.1
69,2020-11-21,1684,266,,,,6830,1364,1843319,91.4,14.4
70,2020-11-21,99,15,,,,459,114,236659,41.8,6.3
71,2020-11-21,527,46,,,,1604,449,553595,95.2,8.3
72,2020-11-21,201,14,,,,843,142,566506,35.5,2.5
73,2020-11-21,375,40,,,,1171,305,431174,87.0,9.3
74,2020-11-21,597,62,,,,2071,425,807360,73.9,7.7
75,2020-11-21,1194,273,,,,9684,2384,2187526,54.6,12.5
76,2020-11-21,583,80,,,,1938,478,1254378,46.5,6.4
77,2020-11-21,537,96,,,,4203,988,1403997,38.2,6.8
78,2020-11-21,791,67,,,,3781,837,1438266,55.0,4.7
79,2020-11-21,98,10,,,,183,62,374351,26.2,2.7
80,2020-11-21,191,35,,,,1080,320,572443,33.4,6.1
81,2020-11-21,145,25,,,,382,88,387890,37.4,6.4
82,2020-11-21,80,13,,,,282,64,258349,31.0,5.0
83,2020-11-21,426,61,,,,1934,346,1058740,40.2,5.8
84,2020-11-21,435,36,,,,1099,286,559479,77.8,6.4
85,2020-11-21,101,16,,,,516,73,675247,15.0,2.4
86,2020-11-21,118,18,,,,364,97,436876,27.0,4.1
87,2020-11-21,144,10,,,,364,97,374426,38.5,2.7
88,2020-11-21,224,18,,,,1000,334,367673,60.9,4.9
89,2020-11-21,204,16,,,,672,142,338291,60.3,4.7
90,2020-11-21,142,23,,,,746,247,142622,99.6,16.1
91,2020-11-21,670,90,,,,4300,865,1296130,51.7,6.9
92,2020-11-21,838,153,,,,7271,1409,1609306,52.1,9.5
93,2020-11-21,855,103,,,,6525,1338,1623111,52.7,6.3
94,2020-11-21,927,114,,,,6785,1600,1387926,66.8,8.2
95,2020-11-21,528,54,,,,4324,1014,1228618,43.0,4.4
971,2020-11-21,103,11,,,,692,161,390253,26.4,2.8
972,2020-11-21,57,16,,,,304,39,372594,15.3,4.3
973,2020-11-21,10,0,,,,1846,66,268700,3.7,0.0
974,2020-11-21,85,15,,,,592,43,853659,10.0,1.8
976,2020-11-21,11,5,,,,505,34,256518,4.3,1.9
01,2020-11-22,442,26,,,,1075,257,643350,68.7,4.0
02,2020-11-22,226,31,,,,1572,370,534490,42.3,5.8
03,2020-11-22,232,24,,,,666,173,337988,68.6,7.1
04,2020-11-22,132,8,,,,347,51,163915,80.5,4.9
05,2020-11-22,182,15,,,,416,81,141284,128.8,10.6
06,2020-11-22,483,75,,,,1869,382,1083310,44.6,6.9
07,2020-11-22,217,16,,,,797,225,325712,66.6,4.9
08,2020-11-22,144,18,,,,368,118,273579,52.6,6.6
09,2020-11-22,47,4,,,,105,15,153153,30.7,2.6
10,2020-11-22,145,17,,,,874,198,310020,46.8,5.5
11,2020-11-22,95,9,,,,411,103,370260,25.7,2.4
12,2020-11-22,119,11,,,,362,89,279206,42.6,3.9
13,2020-11-22,1356,271,,,,8864,1365,2024162,67.0,13.4
14,2020-11-22,254,35,,,,801,183,694002,36.6,5.0
15,2020-11-22,78,12,,,,169,31,145143,53.7,8.3
16,2020-11-22,64,7,,,,135,26,352335,18.2,2.0
17,2020-11-22,95,24,,,,352,91,644303,14.7,3.7
18,2020-11-22,169,13,,,,418,184,304256,55.5,4.3
19,2020-11-22,78,8,,,,284,79,241464,32.3,3.3
21,2020-11-22,367,66,,,,1472,367,533819,68.7,12.4
22,2020-11-22,69,11,,,,415,73,598814,11.5,1.8
23,2020-11-22,77,14,,,,196,38,118638,64.9,11.8
24,2020-11-22,95,15,,,,211,32,413606,23.0,3.6
25,2020-11-22,230,54,,,,940,197,539067,42.7,10.0
26,2020-11-22,318,57,,,,1110,295,511553,62.2,11.1
27,2020-11-22,200,12,,,,596,171,601843,33.2,2.0
28,2020-11-22,245,28,,,,982,198,433233,56.6,6.5
29,2020-11-22,99,27,,,,417,75,909028,10.9,3.0
2A,2020-11-22,38,8,,,,244,73,157249,24.2,5.1
2B,2020-11-22,21,1,,,,205,36,177689,11.8,0.6
30,2020-11-22,328,63,,,,1028,246,744178,44.1,8.5
31,2020-11-22,359,83,,,,2038,256,1362672,26.3,6.1
32,2020-11-22,42,6,,,,147,46,191091,22.0,3.1
33,2020-11-22,373,91,,,,2063,326,1583384,23.6,5.7
34,2020-11-22,385,92,,,,1907,367,1144892,33.6,8.0
35,2020-11-22,289,36,,,,1049,191,1060199,27.3,3.4
36,2020-11-22,72,5,,,,323,100,222232,32.4,2.2
37,2020-11-22,150,46,,,,706,148,606511,24.7,7.6
38,2020-11-22,996,122,,,,2623,600,1258722,79.1,9.7
39,2020-11-22,200,9,,,,632,138,260188,76.9,3.5
40,2020-11-22,107,16,,,,243,47,407444,26.3,3.9
41,2020-11-22,107,5,,,,510,110,331915,32.2,1.5
42,2020-11-22,895,103,,,,2437,639,762941,117.3,13.5
43,2020-11-22,226,19,,,,425,80,227283,99.4,8.4
44,2020-11-22,341,45,,,,1404,317,1394909,24.4,3.2
45,2020-11-22,257,61,,,,1119,176,678105,37.9,9.0
46,2020-11-22,48,6,,,,109,33,173828,27.6,3.5
47,2020-11-22,81,17,,,,235,36,332842,24.3,5.1
48,2020-11-22,43,4,,,,111,34,76601,56.1,5.2
49,2020-11-22,276,56,,,,1274,269,813493,33.9,6.9
50,2020-11-22,162,14,,,,371,97,496883,32.6,2.8
51,2020-11-22,207,39,,,,1463,350,568895,36.4,6.9
52,2020-11-22,141,8,,,,402,127,175640,80.3,4.6
53,2020-11-22,132,11,,,,449,89,307445,42.9,3.6
54,2020-11-22,369,56,,,,1783,477,733481,50.3,7.6
55,2020-11-22,57,9,,,,630,133,187187,30.5,4.8
56,2020-11-22,198,20,,,,739,160,750863,26.4,2.7
57,2020-11-22,553,70,,,,3285,1035,1043522,53.0,6.7
58,2020-11-22,98,9,,,,224,55,207182,47.3,4.3
59,2020-11-22,1592,254,,,,6186,1412,2604361,61.1,9.8
60,2020-11-22,307,38,,,,1766,529,824503,37.2,4.6
61,2020-11-22,147,12,,,,457,92,283372,51.9,4.2
62,2020-11-22,760,114,,,,2794,615,1468018,51.8,7.8
63,2020-11-22,379,45,,,,838,200,653742,58.0,6.9
64,2020-11-22,403,27,,,,713,140,677309,59.5,4.0
65,2020-11-22,181,13,,,,342,67,228530,79.2,5.7
66,2020-11-22,120,24,,,,501,104,474452,25.3,5.1
67,2020-11-22,521,88,,,,3493,826,1125559,46.3,7.8
68,2020-11-22,270,31,,,,3604,899,764030,35.3,4.1
69,2020-11-22,1697,265,,,,6848,1375,1843319,92.1,14.4
70,2020-11-22,97,15,,,,462,115,236659,41.0,6.3
71,2020-11-22,538,47,,,,1611,454,553595,97.2,8.5
72,2020-11-22,207,14,,,,846,143,566506,36.5,2.5
73,2020-11-22,378,41,,,,1180,307,431174,87.7,9.5
74,2020-11-22,589,65,,,,2096,432,807360,73.0,8.1
75,2020-11-22,1200,273,,,,9702,2389,2187526,54.9,12.5
76,2020-11-22,583,78,,,,1949,482,1254378,46.5,6.2
77,2020-11-22,531,97,,,,4212,989,1403997,37.8,6.9
78,2020-11-22,792,66,,,,3787,842,1438266,55.1,4.6
79,2020-11-22,100,10,,,,183,63,374351,26.7,2.7
80,2020-11-22,204,35,,,,1080,320,572443,35.6,6.1
81,2020-11-22,143,26,,,,386,88,387890,36.9,6.7
82,2020-11-22,84,13,,,,283,64,258349,32.5,5.0
83,2020-11-22,428,59,,,,1941,348,1058740,40.4,5.6
84,2020-11-22,434,33,,,,1108,290,559479,77.6,5.9
85,2020-11-22,103,16,,,,516,73,675247,15.3,2.4
86,2020-11-22,117,18,,,,364,97,436876,26.8,4.1
87,2020-11-22,143,10,,,,366,97,374426,38.2,2.7
88,2020-11-22,232,21,,,,999,335,367673,63.1,5.7
89,2020-11-22,212,16,,,,681,143,338291,62.7,4.7
90,2020-11-22,141,24,,,,755,249,142622,98.9,16.8
91,2020-11-22,673,89,,,,4301,867,1296130,51.9,6.9
92,2020-11-22,836,154,,,,7279,1412,1609306,51.9,9.6
93,2020-11-22,860,104,,,,6533,1339,1623111,53.0,6.4
94,2020-11-22,910,114,,,,6809,1607,1387926,65.6,8.2
95,2020-11-22,539,55,,,,4330,1015,1228618,43.9,4.5
971,2020-11-22,101,11,,,,694,161,390253,25.9,2.8
972,2020-11-22,54,17,,,,307,40,372594,14.5,4.6
973,2020-11-22,9,0,,,,1847,66,268700,3.3,0.0
974,2020-11-22,87,16,,,,594,43,853659,10.2,1.9
976,2020-11-22,11,5,,,,505,34,256518,4.3,1.9
01,2020-11-23,453,26,,,,1080,258,643350,70.4,4.0
02,2020-11-23,216,27,,,,1589,375,534490,40.4,5.1
03,2020-11-23,232,26,,,,673,179,337988,68.6,7.7
04,2020-11-23,137,8,,,,349,52,163915,83.6,4.9
05,2020-11-23,185,14,,,,418,84,141284,130.9,9.9
06,2020-11-23,479,78,,,,1894,387,1083310,44.2,7.2
07,2020-11-23,213,18,,,,808,230,325712,65.4,5.5
08,2020-11-23,154,17,,,,368,118,273579,56.3,6.2
09,2020-11-23,45,4,,,,107,15,153153,29.4,2.6
10,2020-11-23,155,20,,,,874,199,310020,50.0,6.5
11,2020-11-23,93,10,,,,419,103,370260,25.1,2.7
12,2020-11-23,123,11,,,,362,92,279206,44.1,3.9
13,2020-11-23,1320,260,,,,8904,1398,2024162,65.2,12.8
14,2020-11-23,259,33,,,,805,184,694002,37.3,4.8
15,2020-11-23,82,13,,,,170,31,145143,56.5,9.0
16,2020-11-23,62,7,,,,136,28,352335,17.6,2.0
17,2020-11-23,100,25,,,,352,92,644303,15.5,3.9
18,2020-11-23,173,13,,,,420,189,304256,56.9,4.3
19,2020-11-23,77,9,,,,286,79,241464,31.9,3.7
21,2020-11-23,367,68,,,,1480,370,533819,68.7,12.7
22,2020-11-23,63,11,,,,423,76,598814,10.5,1.8
23,2020-11-23,68,14,,,,200,39,118638,57.3,11.8
24,2020-11-23,95,15,,,,218,32,413606,23.0,3.6
25,2020-11-23,227,58,,,,948,204,539067,42.1,10.8
26,2020-11-23,289,56,,,,1135,306,511553,56.5,10.9
27,2020-11-23,211,11,,,,597,174,601843,35.1,1.8
28,2020-11-23,251,30,,,,983,202,433233,57.9,6.9
29,2020-11-23,98,27,,,,417,77,909028,10.8,3.0
2A,2020-11-23,37,8,,,,245,73,157249,23.5,5.1
2B,2020-11-23,21,1,,,,205,36,177689,11.8,0.6
30,2020-11-23,325,58,,,,1034,251,744178,43.7,7.8
31,2020-11-23,362,80,,,,2048,261,1362672,26.6,5.9
32,2020-11-23,41,5,,,,147,48,191091,21.5,2.6
33,2020-11-23,378,91,,,,2075,333,1583384,23.9,5.7
34,2020-11-23,351,81,,,,1947,377,1144892,30.7,7.1
35,2020-11-23,286,34,,,,1052,196,1060199,27.0,3.2
36,2020-11-23,71,5,,,,327,104,222232,31.9,2.2
37,2020-11-23,153,44,,,,705,152,606511,25.2,7.3
38,2020-11-23,1007,122,,,,2647,616,1258722,80.0,9.7
39,2020-11-23,197,9,,,,639,140,260188,75.7,3.5
40,2020-11-23,96,14,,,,254,52,407444,23.6,3.4
41,2020-11-23,107,4,,,,513,111,331915,32.2,1.2
42,2020-11-23,883,99,,,,2462,653,762941,115.7,13.0
43,2020-11-23,222,16,,,,429,86,227283,97.7,7.0
44,2020-11-23,354,43,,,,1414,323,1394909,25.4,3.1
45,2020-11-23,251,62,,,,1127,178,678105,37.0,9.1
46,2020-11-23,46,7,,,,109,35,173828,26.5,4.0
47,2020-11-23,85,18,,,,235,37,332842,25.5,5.4
48,2020-11-23,45,4,,,,111,34,76601,58.7,5.2
49,2020-11-23,279,58,,,,1280,274,813493,34.3,7.1
50,2020-11-23,165,13,,,,381,100,496883,33.2,2.6
51,2020-11-23,225,44,,,,1467,352,568895,39.6,7.7
52,2020-11-23,137,9,,,,409,131,175640,78.0,5.1
53,2020-11-23,136,11,,,,447,89,307445,44.2,3.6
54,2020-11-23,372,53,,,,1788,479,733481,50.7,7.2
55,2020-11-23,62,9,,,,630,134,187187,33.1,4.8
56,2020-11-23,198,21,,,,743,161,750863,26.4,2.8
57,2020-11-23,548,64,,,,3306,1048,1043522,52.5,6.1
58,2020-11-23,96,11,,,,225,58,207182,46.3,5.3
59,2020-11-23,1587,254,,,,6220,1447,2604361,60.9,9.8
60,2020-11-23,314,36,,,,1769,530,824503,38.1,4.4
61,2020-11-23,148,14,,,,463,94,283372,52.2,4.9
62,2020-11-23,774,114,,,,2804,627,1468018,52.7,7.8
63,2020-11-23,377,41,,,,849,209,653742,57.7,6.3
64,2020-11-23,397,24,,,,725,147,677309,58.6,3.5
65,2020-11-23,184,14,,,,343,71,228530,80.5,6.1
66,2020-11-23,117,23,,,,505,105,474452,24.7,4.8
67,2020-11-23,515,79,,,,3519,840,1125559,45.8,7.0
68,2020-11-23,277,38,,,,3610,903,764030,36.3,5.0
69,2020-11-23,1684,257,,,,6908,1392,1843319,91.4,13.9
70,2020-11-23,100,17,,,,464,119,236659,42.3,7.2
71,2020-11-23,545,47,,,,1619,461,553595,98.4,8.5
72,2020-11-23,214,14,,,,847,145,566506,37.8,2.5
73,2020-11-23,379,38,,,,1205,317,431174,87.9,8.8
74,2020-11-23,587,67,,,,2110,442,807360,72.7,8.3
75,2020-11-23,1189,272,,,,9729,2403,2187526,54.4,12.4
76,2020-11-23,586,77,,,,1956,489,1254378,46.7,6.1
77,2020-11-23,526,100,,,,4230,993,1403997,37.5,7.1
78,2020-11-23,787,66,,,,3801,855,1438266,54.7,4.6
79,2020-11-23,98,10,,,,190,64,374351,26.2,2.7
80,2020-11-23,198,31,,,,1091,325,572443,34.6,5.4
81,2020-11-23,143,26,,,,387,92,387890,36.9,6.7
82,2020-11-23,89,15,,,,287,66,258349,34.4,5.8
83,2020-11-23,410,58,,,,1961,357,1058740,38.7,5.5
84,2020-11-23,430,31,,,,1115,294,559479,76.9,5.5
85,2020-11-23,107,19,,,,520,76,675247,15.8,2.8
86,2020-11-23,118,18,,,,364,98,436876,27.0,4.1
87,2020-11-23,141,11,,,,370,100,374426,37.7,2.9
88,2020-11-23,239,20,,,,1005,340,367673,65.0,5.4
89,2020-11-23,212,19,,,,685,146,338291,62.7,5.6
90,2020-11-23,154,24,,,,753,252,142622,108.0,16.8
91,2020-11-23,667,89,,,,4311,873,1296130,51.5,6.9
92,2020-11-23,844,154,,,,7309,1417,1609306,52.4,9.6
93,2020-11-23,852,101,,,,6566,1345,1623111,52.5,6.2
94,2020-11-23,908,116,,,,6849,1617,1387926,65.4,8.4
95,2020-11-23,526,53,,,,4354,1027,1228618,42.8,4.3
971,2020-11-23,96,7,,,,697,163,390253,24.6,1.8
972,2020-11-23,56,17,,,,308,40,372594,15.0,4.6
973,2020-11-23,13,1,,,,1849,66,268700,4.8,0.4
974,2020-11-23,87,15,,,,593,44,853659,10.2,1.8
976,2020-11-23,11,4,,,,505,35,256518,4.3,1.6
01,2020-11-24,421,23,,,,1117,269,643350,65.4,3.6
02,2020-11-24,206,24,,,,1620,382,534490,38.5,4.5
03,2020-11-24,226,24,,,,690,189,337988,66.9,7.1
04,2020-11-24,139,7,,,,371,56,163915,84.8,4.3
05,2020-11-24,185,12,,,,425,86,141284,130.9,8.5
06,2020-11-24,483,79,,,,1912,390,1083310,44.6,7.3
07,2020-11-24,212,17,,,,822,231,325712,65.1,5.2
08,2020-11-24,160,17,,,,371,121,273579,58.5,6.2
09,2020-11-24,44,4,,,,108,15,153153,28.7,2.6
10,2020-11-24,158,18,,,,876,200,310020,51.0,5.8
11,2020-11-24,88,8,,,,428,103,370260,23.8,2.2
12,2020-11-24,110,9,,,,369,96,279206,39.4,3.2
13,2020-11-24,1290,255,,,,9013,1418,2024162,63.7,12.6
14,2020-11-24,256,31,,,,820,189,694002,36.9,4.5
15,2020-11-24,78,14,,,,175,31,145143,53.7,9.6
16,2020-11-24,56,6,,,,141,29,352335,15.9,1.7
17,2020-11-24,101,21,,,,352,96,644303,15.7,3.3
18,2020-11-24,164,12,,,,434,193,304256,53.9,3.9
19,2020-11-24,58,6,,,,305,80,241464,24.0,2.5
21,2020-11-24,370,66,,,,1498,372,533819,69.3,12.4
22,2020-11-24,62,12,,,,426,76,598814,10.4,2.0
23,2020-11-24,68,14,,,,203,39,118638,57.3,11.8
24,2020-11-24,90,16,,,,223,33,413606,21.8,3.9
25,2020-11-24,214,52,,,,975,207,539067,39.7,9.6
26,2020-11-24,278,53,,,,1156,311,511553,54.3,10.4
27,2020-11-24,205,10,,,,606,176,601843,34.1,1.7
28,2020-11-24,235,24,,,,1001,202,433233,54.2,5.5
29,2020-11-24,88,26,,,,428,77,909028,9.7,2.9
2A,2020-11-24,31,6,,,,251,73,157249,19.7,3.8
2B,2020-11-24,17,1,,,,209,36,177689,9.6,0.6
30,2020-11-24,325,59,,,,1051,252,744178,43.7,7.9
31,2020-11-24,350,80,,,,2075,266,1362672,25.7,5.9
32,2020-11-24,41,5,,,,149,48,191091,21.5,2.6
33,2020-11-24,364,86,,,,2089,341,1583384,23.0,5.4
34,2020-11-24,337,84,,,,1960,381,1144892,29.4,7.3
35,2020-11-24,278,37,,,,1065,198,1060199,26.2,3.5
36,2020-11-24,72,5,,,,329,105,222232,32.4,2.2
37,2020-11-24,147,41,,,,717,157,606511,24.2,6.8
38,2020-11-24,1018,126,,,,2677,625,1258722,80.9,10.0
39,2020-11-24,192,10,,,,649,146,260188,73.8,3.8
40,2020-11-24,100,14,,,,255,54,407444,24.5,3.4
41,2020-11-24,102,6,,,,522,113,331915,30.7,1.8
42,2020-11-24,866,99,,,,2503,657,762941,113.5,13.0
43,2020-11-24,223,13,,,,436,90,227283,98.1,5.7
44,2020-11-24,330,44,,,,1463,329,1394909,23.7,3.2
45,2020-11-24,246,55,,,,1148,181,678105,36.3,8.1
46,2020-11-24,43,6,,,,113,37,173828,24.7,3.5
47,2020-11-24,80,17,,,,244,39,332842,24.0,5.1
48,2020-11-24,43,4,,,,118,34,76601,56.1,5.2
49,2020-11-24,264,54,,,,1301,278,813493,32.5,6.6
50,2020-11-24,164,14,,,,384,102,496883,33.0,2.8
51,2020-11-24,220,45,,,,1483,357,568895,38.7,7.9
52,2020-11-24,141,9,,,,414,134,175640,80.3,5.1
53,2020-11-24,132,10,,,,460,91,307445,42.9,3.3
54,2020-11-24,356,50,,,,1811,485,733481,48.5,6.8
55,2020-11-24,64,10,,,,638,135,187187,34.2,5.3
56,2020-11-24,188,19,,,,757,164,750863,25.0,2.5
57,2020-11-24,540,65,,,,3340,1063,1043522,51.7,6.2
58,2020-11-24,93,11,,,,231,59,207182,44.9,5.3
59,2020-11-24,1524,225,,,,6339,1464,2604361,58.5,8.6
60,2020-11-24,303,37,,,,1788,533,824503,36.7,4.5
61,2020-11-24,144,13,,,,469,99,283372,50.8,4.6
62,2020-11-24,752,107,,,,2870,645,1468018,51.2,7.3
63,2020-11-24,365,40,,,,869,213,653742,55.8,6.1
64,2020-11-24,388,25,,,,758,148,677309,57.3,3.7
65,2020-11-24,182,12,,,,353,78,228530,79.6,5.3
66,2020-11-24,106,22,,,,515,106,474452,22.3,4.6
67,2020-11-24,500,80,,,,3545,848,1125559,44.4,7.1
68,2020-11-24,271,39,,,,3633,904,764030,35.5,5.1
69,2020-11-24,1614,249,,,,7023,1415,1843319,87.6,13.5
70,2020-11-24,98,17,,,,473,119,236659,41.4,7.2
71,2020-11-24,525,48,,,,1670,470,553595,94.8,8.7
72,2020-11-24,205,13,,,,868,147,566506,36.2,2.3
73,2020-11-24,354,35,,,,1233,329,431174,82.1,8.1
74,2020-11-24,574,70,,,,2153,454,807360,71.1,8.7
75,2020-11-24,1184,261,,,,9772,2415,2187526,54.1,11.9
76,2020-11-24,582,76,,,,1983,495,1254378,46.4,6.1
77,2020-11-24,508,93,,,,4283,1003,1403997,36.2,6.6
78,2020-11-24,791,66,,,,3839,869,1438266,55.0,4.6
79,2020-11-24,91,10,,,,201,68,374351,24.3,2.7
80,2020-11-24,197,33,,,,1104,327,572443,34.4,5.8
81,2020-11-24,136,23,,,,399,94,387890,35.1,5.9
82,2020-11-24,74,14,,,,306,68,258349,28.6,5.4
83,2020-11-24,388,54,,,,2000,367,1058740,36.6,5.1
84,2020-11-24,409,31,,,,1139,300,559479,73.1,5.5
85,2020-11-24,110,21,,,,524,76,675247,16.3,3.1
86,2020-11-24,114,18,,,,371,103,436876,26.1,4.1
87,2020-11-24,135,11,,,,381,101,374426,36.1,2.9
88,2020-11-24,230,18,,,,1028,345,367673,62.6,4.9
89,2020-11-24,203,18,,,,699,148,338291,60.0,5.3
90,2020-11-24,150,22,,,,764,255,142622,105.2,15.4
91,2020-11-24,649,88,,,,4359,880,1296130,50.1,6.8
92,2020-11-24,815,146,,,,7369,1431,1609306,50.6,9.1
93,2020-11-24,836,96,,,,6623,1356,1623111,51.5,5.9
94,2020-11-24,889,104,,,,6896,1624,1387926,64.1,7.5
95,2020-11-24,522,52,,,,4372,1031,1228618,42.5,4.2
971,2020-11-24,97,9,,,,697,163,390253,24.9,2.3
972,2020-11-24,56,17,,,,311,40,372594,15.0,4.6
973,2020-11-24,17,1,,,,1856,66,268700,6.3,0.4
974,2020-11-24,83,14,,,,600,45,853659,9.7,1.6
976,2020-11-24,11,4,,,,506,35,256518,4.3,1.6
01,2020-11-25,424,24,,,,1126,275,643350,65.9,3.7
