dep,datetime,hosp,rea,HospConv,SSR_USLD,autres,rad,dc,population,hosp_pour_100k,rea_pour_100k
87,2020-10-01,29,4,,,,164,36,374426,7.7,1.1
88,2020-10-01,2,0,,,,768,268,367673,0.5,0.0
89,2020-10-01,15,4,,,,439,95,338291,4.4,1.2
90,2020-10-01,7,2,,,,579,201,142622,4.9,1.4
91,2020-10-01,179,33,,,,3087,652,1296130,13.8,2.5
92,2020-10-01,306,68,,,,5532,1149,1609306,19.0,4.2
93,2020-10-01,413,56,,,,4738,1070,1623111,25.4,3.5
94,2020-10-01,334,42,,,,5081,1273,1387926,24.1,3.0
95,2020-10-01,168,28,,,,3200,773,1228618,13.7,2.3
971,2020-10-01,162,25,,,,331,75,390253,41.5,6.4
972,2020-10-01,34,16,,,,131,21,372594,9.1,4.3
973,2020-10-01,23,4,,,,1720,63,268700,8.6,1.5
974,2020-10-01,53,15,,,,397,21,853659,6.2,1.8
976,2020-10-01,9,3,,,,456,29,256518,3.5,1.2
01,2020-10-02,28,6,,,,511,113,643350,4.4,0.9
02,2020-10-02,50,4,,,,1180,290,534490,9.4,0.7
03,2020-10-02,20,2,,,,240,45,337988,5.9,0.6
04,2020-10-02,10,0,,,,159,16,163915,6.1,0.0
05,2020-10-02,11,4,,,,158,22,141284,7.8,2.8
06,2020-10-02,126,15,,,,1153,222,1083310,11.6,1.4
07,2020-10-02,8,4,,,,471,120,325712,2.5,1.2
08,2020-10-02,8,2,,,,237,64,273579,2.9,0.7
09,2020-10-02,7,4,,,,39,2,153153,4.6,2.6
10,2020-10-02,21,4,,,,680,137,310020,6.8,1.3
11,2020-10-02,7,2,,,,259,61,370260,1.9,0.5
12,2020-10-02,18,4,,,,175,26,279206,6.4,1.4
13,2020-10-02,499,118,,,,5190,676,2024162,24.7,5.8
14,2020-10-02,25,10,,,,400,87,694002,3.6,1.4
15,2020-10-02,14,0,,,,64,15,145143,9.6,0.0
16,2020-10-02,4,1,,,,70,14,352335,1.1,0.3
17,2020-10-02,22,3,,,,163,54,644303,3.4,0.5
18,2020-10-02,19,3,,,,223,94,304256,6.2,1.0
19,2020-10-02,8,1,,,,173,42,241464,3.3,0.4
21,2020-10-02,32,11,,,,1001,258,533819,6.0,2.1
22,2020-10-02,14,3,,,,254,42,598814,2.3,0.5
23,2020-10-02,4,3,,,,89,16,118638,3.4,2.5
24,2020-10-02,15,3,,,,110,14,413606,3.6,0.7
25,2020-10-02,9,5,,,,664,154,539067,1.7,0.9
26,2020-10-02,36,7,,,,570,131,511553,7.0,1.4
27,2020-10-02,58,13,,,,314,93,601843,9.6,2.2
28,2020-10-02,17,3,,,,639,148,433233,3.9,0.7
29,2020-10-02,23,4,,,,221,48,909028,2.5,0.4
2A,2020-10-02,10,3,,,,167,50,157249,6.4,1.9
2B,2020-10-02,15,4,,,,131,16,177689,8.4,2.3
30,2020-10-02,67,19,,,,453,109,744178,9.0,2.6
31,2020-10-02,136,48,,,,983,104,1362672,10.0,3.5
32,2020-10-02,9,1,,,,97,29,191091,4.7,0.5
33,2020-10-02,167,27,,,,1294,200,1583384,10.5,1.7
34,2020-10-02,94,28,,,,957,151,1144892,8.2,2.4
35,2020-10-02,77,9,,,,592,101,1060199,7.3,0.8
36,2020-10-02,9,3,,,,202,82,222232,4.0,1.3
37,2020-10-02,39,6,,,,432,100,606511,6.4,1.0
38,2020-10-02,115,22,,,,930,176,1258722,9.1,1.7
39,2020-10-02,6,1,,,,338,60,260188,2.3,0.4
40,2020-10-02,9,3,,,,92,14,407444,2.2,0.7
41,2020-10-02,15,1,,,,358,68,331915,4.5,0.3
42,2020-10-02,147,24,,,,1171,274,762941,19.3,3.1
43,2020-10-02,7,0,,,,132,19,227283,3.1,0.0
44,2020-10-02,58,10,,,,864,179,1394909,4.2,0.7
45,2020-10-02,44,8,,,,731,110,678105,6.5,1.2
46,2020-10-02,5,1,,,,72,22,173828,2.9,0.6
47,2020-10-02,15,3,,,,111,14,332842,4.5,0.9
48,2020-10-02,5,0,,,,32,1,76601,6.5,0.0
49,2020-10-02,57,7,,,,751,147,813493,7.0,0.9
50,2020-10-02,14,1,,,,197,53,496883,2.8,0.2
51,2020-10-02,41,8,,,,1109,284,568895,7.2,1.4
52,2020-10-02,13,1,,,,279,92,175640,7.4,0.6
53,2020-10-02,9,0,,,,267,49,307445,2.9,0.0
54,2020-10-02,47,4,,,,1347,375,733481,6.4,0.5
55,2020-10-02,10,0,,,,508,105,187187,5.3,0.0
56,2020-10-02,69,2,,,,470,101,750863,9.2,0.3
57,2020-10-02,59,10,,,,2697,868,1043522,5.7,1.0
