datetime,dep,tx_incidence,tx_positivite,taux_occupation_sae
2020-09-09,13,230.1,6.89,22.6
2020-09-09,12,62.5,3.07,8.4
2020-09-09,01,71.7,4.8,10.7
2020-09-09,11,47.0,2.61,8.4
2020-09-10,04,43.0,2.67,23.3
2020-09-10,15,32.2,2.46,12.2
2020-09-10,06,156.4,6.55,23.3
2020-09-10,10,35.5,2.41,4.1
2020-09-10,07,31.2,2.58,12.2
2020-09-10,05,52.9,4.46,23.3
2020-09-10,03,28.7,1.99,12.2
2020-09-10,14,58.4,2.71,5.0
2020-09-10,11,44.3,2.37,8.6
2020-09-10,09,39.4,2.33,8.6
2020-09-10,08,29.4,1.83,4.1
2020-09-10,02,28.9,2.68,8.9
2020-09-10,13,231.2,6.78,23.3
2020-09-10,01,72.0,4.54,12.2
2020-09-10,12,73.6,3.42,8.6
2020-09-11,14,63.9,2.9,5.8
2020-09-11,12,73.6,3.26,9.1
2020-09-11,05,50.1,4.02,25.2
2020-09-11,11,42.4,2.16,9.1
2020-09-11,06,158.5,6.5,25.2
2020-09-11,09,41.3,2.32,9.1
2020-09-11,10,35.5,2.47,3.7
2020-09-11,02,33.8,3.01,9.1
2020-09-11,08,24.5,1.42,3.7
2020-09-11,04,42.4,2.38,25.2
2020-09-11,15,28.7,2.05,12.0
2020-09-11,07,31.5,2.55,12.0
2020-09-11,01,75.4,4.57,12.0
2020-09-11,13,229.1,6.62,25.2
2020-09-11,03,29.3,1.94,12.0
2020-09-12,05,48.0,3.9,27.0
2020-09-12,09,38.1,2.12,9.3
2020-09-12,03,30.2,1.88,12.5
2020-09-12,14,69.7,3.11,5.8
2020-09-12,11,40.8,2.04,9.3
2020-09-12,07,32.7,2.59,12.5
2020-09-12,10,38.7,2.58,3.7
2020-09-12,01,75.8,4.59,12.5
2020-09-12,15,30.1,2.04,12.5
2020-09-12,13,235.5,6.63,27.0
2020-09-12,06,157.1,6.43,27.0
2020-09-12,02,36.5,3.14,9.4
2020-09-12,04,50.2,2.7,27.0
2020-09-12,08,26.0,1.48,3.7
2020-09-12,12,61.1,2.67,9.3
2020-09-13,09,38.1,2.13,9.3
2020-09-13,04,50.8,2.72,26.7
2020-09-13,07,32.4,2.57,12.9
2020-09-13,15,30.1,2.03,12.9
2020-09-13,14,68.4,3.08,6.2
2020-09-13,12,60.7,2.63,9.3
2020-09-13,08,26.4,1.46,3.7
2020-09-13,01,76.1,4.63,12.9
2020-09-13,13,238.2,6.66,26.7
2020-09-13,02,36.9,3.15,9.4
2020-09-13,11,40.5,2.03,9.3
2020-09-13,10,41.0,2.68,3.7
2020-09-13,03,30.8,1.86,12.9
2020-09-13,06,156.6,6.42,26.7
2020-09-13,05,48.7,3.95,26.7
2020-09-14,12,65.0,2.74,9.7
2020-09-14,11,41.0,2.09,9.7
2020-09-14,03,31.4,1.73,14.3
2020-09-14,09,46.6,2.43,9.7
2020-09-14,10,43.2,2.85,3.9
2020-09-14,15,26.6,1.82,14.3
2020-09-14,06,159.0,6.33,30.0
2020-09-14,02,40.5,3.38,9.4
2020-09-14,14,73.9,3.23,5.8
2020-09-14,04,53.9,2.82,30.0
2020-09-14,05,46.6,4.03,30.0
2020-09-14,07,31.8,2.51,14.3
2020-09-14,08,30.1,1.59,3.9
2020-09-14,01,80.4,4.62,14.3
2020-09-14,13,237.6,6.65,30.0
2020-09-15,14,76.4,3.45,5.8
2020-09-15,11,44.3,2.3,10.8
2020-09-15,10,44.5,2.98,4.5
2020-09-15,03,28.4,1.54,15.7
2020-09-15,01,89.8,5.02,15.7
2020-09-15,13,239.4,6.65,30.0
2020-09-15,06,157.1,6.21,30.0
2020-09-15,02,42.6,3.47,11.0
2020-09-15,08,28.6,1.44,4.5
2020-09-15,12,65.0,2.75,10.8
2020-09-15,07,30.3,2.38,15.7
2020-09-15,05,52.9,4.6,30.0
2020-09-15,04,56.9,2.77,30.0
2020-09-15,15,28.7,1.84,15.7
2020-09-15,09,49.2,2.34,10.8
2020-09-16,11,45.9,2.4,12.2
2020-09-16,12,71.8,3.03,12.2
2020-09-16,15,30.8,1.89,16.6
2020-09-16,03,32.6,1.73,16.6
2020-09-16,08,34.3,1.7,4.7
2020-09-16,09,59.7,2.76,12.2
2020-09-16,10,42.0,2.88,4.7
2020-09-16,07,31.8,2.48,16.6
2020-09-16,04,63.0,3.07,30.0
2020-09-16,14,74.6,3.5,6.2
2020-09-16,02,47.0,3.45,12.1
2020-09-16,05,46.6,4.11,30.0
2020-09-16,06,151.3,6.01,30.0
2020-09-16,01,102.9,5.57,16.6
2020-09-16,13,238.3,6.5,30.0
2020-09-17,04,62.4,3.08,29.8
2020-09-17,02,49.6,3.63,12.1
2020-09-17,12,70.4,3.03,13.3
2020-09-17,15,28.7,1.75,17.2
2020-09-17,13,236.7,6.38,29.8
2020-09-17,01,102.3,5.61,17.2
2020-09-17,06,146.0,5.94,29.8
2020-09-17,05,45.2,4.12,29.8
2020-09-17,08,36.9,1.79,4.5
2020-09-17,07,34.3,2.68,17.2
2020-09-17,09,77.4,3.37,13.3
2020-09-17,14,69.8,3.52,6.7
2020-09-17,10,39.7,2.96,4.5
2020-09-17,03,34.7,1.84,17.2
2020-09-17,11,50.7,2.67,13.3
2020-09-18,13,234.7,6.36,31.5
2020-09-18,12,76.5,3.43,14.1
2020-09-18,03,38.9,1.97,17.9
2020-09-18,15,28.0,1.8,17.9
2020-09-18,08,40.7,1.96,4.5
2020-09-18,11,53.9,2.96,14.1
2020-09-18,01,102.8,5.79,17.9
2020-09-18,07,36.7,2.89,17.9
2020-09-18,05,50.1,4.85,31.5
2020-09-18,02,47.5,3.36,13.0
2020-09-18,09,87.9,3.73,14.1
2020-09-18,14,69.6,3.62,8.3
2020-09-18,04,63.6,3.32,31.5
2020-09-18,06,139.3,5.83,31.5
2020-09-18,10,40.3,3.04,4.5
2020-09-19,04,58.1,3.09,32.0
2020-09-19,08,38.8,1.95,4.5
2020-09-19,14,67.2,3.62,9.2
2020-09-19,12,77.6,3.43,15.0
2020-09-19,06,136.2,5.78,32.0
2020-09-19,13,230.1,6.31,32.0
2020-09-19,02,48.1,3.33,12.8
2020-09-19,05,50.1,4.81,32.0
2020-09-19,03,38.9,1.94,19.0
2020-09-19,07,36.4,2.91,19.0
2020-09-19,10,45.5,3.37,4.5
2020-09-19,01,100.6,5.78,19.0
2020-09-19,15,28.0,1.84,19.0
2020-09-19,11,56.3,3.11,15.0
2020-09-19,09,93.8,3.96,15.0
2020-09-20,09,94.5,3.99,15.0
2020-09-20,10,44.8,3.33,4.5
2020-09-20,02,47.1,3.28,12.8
2020-09-20,12,78.0,3.47,15.0
2020-09-20,04,58.7,3.11,31.1
2020-09-20,06,134.4,5.71,31.1
2020-09-20,08,39.5,2.02,4.5
2020-09-20,01,100.5,5.79,19.1
2020-09-20,05,49.4,4.66,31.1
2020-09-20,11,56.9,3.14,15.0
2020-09-20,13,226.7,6.23,31.1
2020-09-20,15,27.3,1.8,19.1
2020-09-20,14,64.2,3.55,9.6
2020-09-20,03,39.2,2.0,19.1
2020-09-20,07,36.1,2.88,19.1
2020-09-21,09,105.0,4.55,17.3
2020-09-21,03,38.9,2.13,22.0
2020-09-21,13,228.1,6.34,35.2
2020-09-21,01,102.1,6.24,22.0
2020-09-21,12,83.4,3.82,17.3
2020-09-21,14,60.3,3.49,9.2
2020-09-21,11,62.2,3.51,17.3
2020-09-21,08,40.3,2.09,4.7
2020-09-21,02,46.8,3.26,13.5
2020-09-21,07,38.8,3.1,22.0
2020-09-21,04,56.9,3.08,35.2
2020-09-21,15,29.4,1.98,22.0
2020-09-21,05,50.1,4.72,35.2
2020-09-21,10,45.8,3.44,4.7
2020-09-21,06,127.8,5.71,35.2
2020-09-22,11,62.0,3.69,17.9
2020-09-22,06,113.7,5.55,33.9
2020-09-22,09,109.6,4.98,17.9
2020-09-22,10,44.5,3.43,4.9
2020-09-22,14,62.2,3.73,11.2
2020-09-22,15,33.6,2.42,22.7
2020-09-22,05,54.3,5.08,33.9
2020-09-22,12,84.8,3.9,17.9
2020-09-22,03,40.8,2.35,22.7
2020-09-22,01,94.5,6.07,22.7
2020-09-22,13,218.6,6.27,33.9
2020-09-22,07,37.9,3.13,22.7
2020-09-22,08,43.7,2.32,4.9
2020-09-22,02,47.9,3.41,13.9
2020-09-22,04,62.4,3.53,33.9
2020-09-23,04,67.2,3.67,33.0
2020-09-23,05,57.1,5.54,33.0
2020-09-23,06,105.7,5.33,33.0
2020-09-23,14,60.2,3.82,12.1
2020-09-23,15,36.4,2.88,23.8
2020-09-23,07,33.4,2.93,23.8
2020-09-23,01,86.6,5.92,23.8
2020-09-23,12,85.5,4.09,18.8
2020-09-23,03,35.9,2.18,23.8
2020-09-23,11,59.8,3.73,18.8
2020-09-23,10,46.5,3.77,4.5
2020-09-23,09,106.3,4.88,18.8
2020-09-23,08,42.2,2.27,4.5
2020-09-23,13,213.7,6.34,33.0
2020-09-23,02,45.2,3.47,16.4
2020-09-24,06,98.1,5.09,35.2
2020-09-24,01,84.5,6.04,22.9
2020-09-24,07,32.4,2.93,22.9
2020-09-24,08,41.4,2.38,5.8
2020-09-24,05,56.4,5.25,35.2
2020-09-24,13,210.3,6.4,35.2
2020-09-24,11,60.1,3.8,20.0
2020-09-24,04,76.9,4.18,35.2
2020-09-24,02,45.2,3.76,17.4
2020-09-24,10,50.0,4.26,5.8
2020-09-24,09,108.3,5.05,20.0
2020-09-24,03,31.7,2.0,22.9
2020-09-24,12,81.2,4.03,20.0
