dep,datetime,tx_incidence,tx_positivite,td
40,2021-09-16,62.01,1.34,4642.1
41,2021-09-16,108.96,4.6,2371.07
42,2021-09-16,73.4,1.62,4533.73
43,2021-09-16,31.47,1.09,2879.62
44,2021-09-16,107.34,3.52,3048.98
45,2021-09-16,122.01,3.44,3547.11
46,2021-09-16,97.23,3.79,2564.41
47,2021-09-16,130.06,2.42,5370.4
48,2021-09-16,125.85,13.51,931.29
49,2021-09-16,65.41,3.43,1908.57
50,2021-09-16,25.56,1.44,1774.69
51,2021-09-16,137.29,4.16,3297.89
52,2021-09-16,166.0,2.78,5976.1
53,2021-09-16,40.57,4.12,983.82
54,2021-09-16,161.4,2.31,6993.82
55,2021-09-16,94.31,2.03,4649.63
56,2021-09-16,155.36,4.29,3624.18
57,2021-09-16,221.81,2.1,10562.93
58,2021-09-16,41.3,2.33,1775.94
59,2021-09-16,147.13,1.81,8109.55
60,2021-09-16,162.58,2.49,6533.42
61,2021-09-16,25.59,1.28,1995.65
62,2021-09-16,76.74,0.91,8474.45
63,2021-09-16,95.81,1.96,4900.22
64,2021-09-16,151.4,2.15,7039.93
65,2021-09-16,196.69,1.93,10192.22
66,2021-09-16,100.85,2.43,4142.39
67,2021-09-16,173.05,2.75,6298.53
68,2021-09-16,204.81,3.35,6104.97
69,2021-09-16,143.73,1.81,7962.38
70,2021-09-16,117.79,1.94,6065.96
71,2021-09-16,55.14,2.6,2124.55
72,2021-09-16,113.93,2.96,3853.82
73,2021-09-16,129.95,4.21,3087.34
74,2021-09-16,115.0,3.52,3267.44
75,2021-09-16,147.2,2.21,6661.26
76,2021-09-16,79.7,0.96,8297.66
77,2021-09-16,101.64,3.35,3036.73
78,2021-09-16,139.58,3.83,3643.91
79,2021-09-16,145.95,3.23,4524.35
80,2021-09-16,57.74,1.23,4688.09
81,2021-09-16,71.73,0.97,7419.53
82,2021-09-16,135.33,4.21,3212.71
83,2021-09-16,157.24,3.5,4497.86
84,2021-09-16,206.14,4.28,4816.79
85,2021-09-16,85.19,3.81,2234.28
86,2021-09-16,155.52,4.7,3309.81
87,2021-09-16,209.43,4.3,4873.07
88,2021-09-16,92.07,2.82,3268.38
89,2021-09-16,169.18,4.82,3506.61
90,2021-09-16,237.36,2.91,8153.33
91,2021-09-16,117.02,3.17,3691.58
92,2021-09-16,151.96,3.37,4513.43
93,2021-09-16,126.93,4.41,2881.18
94,2021-09-16,112.31,3.03,3702.85
95,2021-09-16,119.81,3.22,3720.66
971,2021-09-16,109.84,14.04,782.04
972,2021-09-16,163.61,14.22,1150.58
973,2021-09-16,304.01,29.87,1017.78
974,2021-09-16,90.29,2.26,3997.82
976,2021-09-16,4.94,2.33,212.55
01,2021-09-17,117.67,1.95,6021.18
02,2021-09-17,57.54,0.82,7019.36
03,2021-09-17,58.98,0.76,7797.57
04,2021-09-17,198.24,2.8,7081.5
05,2021-09-17,121.51,4.41,2758.2
06,2021-09-17,175.49,3.28,5351.68
07,2021-09-17,189.89,5.18,3667.53
08,2021-09-17,103.08,3.46,2976.42
09,2021-09-17,544.37,11.72,4646.16
10,2021-09-17,62.13,2.7,2304.03
11,2021-09-17,134.81,3.77,3577.27
12,2021-09-17,111.51,2.82,3951.49
13,2021-09-17,353.25,3.75,9412.12
14,2021-09-17,36.92,0.51,7186.98
15,2021-09-17,58.79,1.14,5173.43
16,2021-09-17,64.69,3.3,1962.16
17,2021-09-17,50.7,2.29,2209.76
18,2021-09-17,185.74,5.25,3535.17
19,2021-09-17,65.06,2.09,3106.45
21,2021-09-17,162.58,4.3,3783.36
22,2021-09-17,169.75,2.67,6359.94
23,2021-09-17,55.81,5.08,1097.67
24,2021-09-17,25.46,1.19,2138.28
25,2021-09-17,165.2,4.05,4076.82
26,2021-09-17,238.4,4.93,4832.2
27,2021-09-17,61.25,1.52,4040.28
28,2021-09-17,120.38,2.6,4638.32
29,2021-09-17,80.68,2.54,3172.1
2A,2021-09-17,92.85,3.98,2332.87
2B,2021-09-17,92.24,4.31,2142.05
30,2021-09-17,132.19,3.31,3988.6
31,2021-09-17,111.64,3.24,3445.33
32,2021-09-17,90.26,2.64,3419.92
33,2021-09-17,93.49,1.83,5095.2
34,2021-09-17,120.97,2.89,4189.84
35,2021-09-17,121.58,3.38,3601.52
36,2021-09-17,137.09,4.13,3317.49
37,2021-09-17,83.31,4.08,2041.16
38,2021-09-17,104.41,3.43,3043.77
39,2021-09-17,141.6,5.12,2764.48
40,2021-09-17,57.58,1.32,4354.18
41,2021-09-17,114.14,4.55,2511.15
42,2021-09-17,71.3,1.5,4768.6
43,2021-09-17,55.07,1.63,3383.16
44,2021-09-17,110.52,3.34,3310.41
45,2021-09-17,128.66,3.52,3660.24
46,2021-09-17,85.08,3.98,2139.04
47,2021-09-17,124.64,2.64,4714.68
48,2021-09-17,100.68,11.11,906.12
49,2021-09-17,63.49,2.96,2147.14
50,2021-09-17,18.26,1.27,1438.74
51,2021-09-17,128.53,3.79,3388.44
52,2021-09-17,177.07,3.21,5511.29
53,2021-09-17,60.86,5.41,1125.82
54,2021-09-17,161.4,1.87,8624.16
55,2021-09-17,122.61,1.98,6177.5
56,2021-09-17,171.59,4.7,3654.32
57,2021-09-17,188.2,1.63,11547.64
58,2021-09-17,20.65,1.26,1641.71
59,2021-09-17,135.55,1.59,8528.93
60,2021-09-17,155.52,2.06,7544.27
61,2021-09-17,12.79,0.79,1611.87
62,2021-09-17,69.48,0.78,8855.04
63,2021-09-17,117.71,1.67,7057.41
64,2021-09-17,148.69,2.04,7285.95
65,2021-09-17,223.51,1.67,13348.23
66,2021-09-17,100.85,2.39,4213.36
67,2021-09-17,171.49,2.38,7218.36
68,2021-09-17,215.7,3.35,6429.61
69,2021-09-17,137.85,1.72,8018.69
70,2021-09-17,132.51,2.19,6058.6
71,2021-09-17,55.14,2.56,2153.75
72,2021-09-17,113.93,2.74,4152.9
73,2021-09-17,137.83,4.09,3370.88
74,2021-09-17,104.05,3.33,3125.06
75,2021-09-17,139.73,2.0,6970.59
76,2021-09-17,82.27,0.77,10677.05
77,2021-09-17,100.68,2.92,3449.11
78,2021-09-17,135.62,3.45,3935.93
79,2021-09-17,110.57,2.39,4621.64
80,2021-09-17,57.74,1.01,5698.45
81,2021-09-17,89.66,1.22,7334.35
82,2021-09-17,141.22,4.2,3359.81
83,2021-09-17,165.88,3.96,4188.55
84,2021-09-17,200.34,4.33,4625.17
85,2021-09-17,80.32,3.47,2314.6
86,2021-09-17,159.51,4.61,3457.35
87,2021-09-17,194.11,2.98,6507.64
88,2021-09-17,102.3,2.25,4541.97
89,2021-09-17,133.29,4.0,3332.31
90,2021-09-17,237.36,2.44,9731.78
91,2021-09-17,110.52,3.05,3623.32
92,2021-09-17,154.98,3.34,4642.25
93,2021-09-17,130.93,4.17,3139.05
94,2021-09-17,117.81,3.0,3924.16
95,2021-09-17,121.95,3.15,3874.71
971,2021-09-17,92.26,14.29,645.84
972,2021-09-17,184.73,17.77,1039.74
973,2021-09-17,307.32,29.15,1054.13
974,2021-09-17,71.61,2.01,3560.36
976,2021-09-17,4.94,2.27,217.49
01,2021-09-18,106.57,1.71,6225.44
02,2021-09-18,60.41,0.86,7027.99
03,2021-09-18,47.19,0.61,7726.79
04,2021-09-18,165.2,2.29,7202.64
05,2021-09-18,133.66,4.93,2709.6
06,2021-09-18,163.33,3.11,5249.17
07,2021-09-18,189.89,5.29,3591.58
08,2021-09-18,103.08,3.5,2944.21
09,2021-09-18,493.73,10.32,4785.42
10,2021-09-18,82.84,3.56,2329.92
11,2021-09-18,144.44,3.93,3678.38
12,2021-09-18,118.48,2.83,4181.48
13,2021-09-18,345.91,3.73,9280.77
14,2021-09-18,34.46,0.48,7184.52
15,2021-09-18,73.49,1.44,5114.64
16,2021-09-18,53.91,2.8,1924.42
17,2021-09-18,44.73,1.99,2242.57
18,2021-09-18,173.35,4.96,3498.02
19,2021-09-18,48.79,1.54,3163.37
21,2021-09-18,138.87,3.65,3803.69
22,2021-09-18,175.61,2.71,6471.16
23,2021-09-18,55.81,4.69,1190.7
24,2021-09-18,40.73,1.95,2087.36
25,2021-09-18,153.4,3.87,3961.77
26,2021-09-18,229.23,4.8,4780.24
27,2021-09-18,68.6,1.7,4042.73
28,2021-09-18,106.22,2.25,4730.38
29,2021-09-18,72.81,2.27,3209.49
2A,2021-09-18,92.85,3.92,2367.69
2B,2021-09-18,71.74,3.54,2029.31
30,2021-09-18,125.36,3.48,3605.7
31,2021-09-18,108.07,3.28,3294.5
32,2021-09-18,70.2,2.05,3419.92
33,2021-09-18,94.53,1.83,5174.15
34,2021-09-18,119.5,2.92,4096.9
35,2021-09-18,121.58,3.32,3663.02
36,2021-09-18,118.81,3.72,3189.54
37,2021-09-18,99.98,4.51,2218.89
38,2021-09-18,97.13,3.25,2986.71
39,2021-09-18,161.82,5.67,2852.13
40,2021-09-18,62.01,1.45,4278.88
41,2021-09-18,103.77,4.14,2505.97
42,2021-09-18,65.01,1.39,4670.04
43,2021-09-18,70.81,2.08,3398.9
44,2021-09-18,123.28,3.67,3363.55
45,2021-09-18,128.66,3.48,3700.17
46,2021-09-18,109.38,5.03,2175.5
47,2021-09-18,135.48,2.94,4600.88
48,2021-09-18,100.68,10.53,956.46
49,2021-09-18,75.03,3.33,2251.04
50,2021-09-18,21.91,1.69,1292.68
51,2021-09-18,134.37,3.88,3461.47
52,2021-09-18,188.14,3.53,5334.22
53,2021-09-18,65.93,5.51,1196.82
54,2021-09-18,145.02,1.66,8717.72
55,2021-09-18,113.18,1.76,6441.57
56,2021-09-18,159.99,4.4,3638.09
57,2021-09-18,168.04,1.48,11324.15
58,2021-09-18,20.65,1.43,1445.53
59,2021-09-18,125.7,1.47,8531.82
60,2021-09-18,143.14,1.84,7781.08
61,2021-09-18,6.4,0.42,1528.72
62,2021-09-18,65.33,0.74,8829.11
63,2021-09-18,128.66,1.68,7673.36
64,2021-09-18,148.69,2.02,7375.17
65,2021-09-18,223.51,1.66,13464.46
66,2021-09-18,100.85,2.35,4295.53
67,2021-09-18,169.94,2.37,7180.94
68,2021-09-18,200.45,3.16,6353.36
69,2021-09-18,136.17,1.71,7960.7
70,2021-09-18,132.51,2.19,6058.6
71,2021-09-18,55.14,2.51,2192.67
72,2021-09-18,108.24,2.83,3822.49
73,2021-09-18,129.95,3.77,3449.63
74,2021-09-18,100.4,3.32,3026.49
75,2021-09-18,146.13,2.04,7147.66
76,2021-09-18,74.56,0.7,10659.06
77,2021-09-18,108.42,3.05,3551.72
78,2021-09-18,135.62,3.5,3869.61
79,2021-09-18,119.41,2.53,4718.94
80,2021-09-18,54.85,0.95,5750.41
81,2021-09-18,98.63,1.32,7482.29
82,2021-09-18,141.22,4.2,3365.7
83,2021-09-18,167.61,4.24,3957.01
84,2021-09-18,203.24,4.6,4421.93
85,2021-09-18,53.54,2.44,2192.91
86,2021-09-18,167.48,4.87,3441.4
87,2021-09-18,189.0,2.82,6696.63
88,2021-09-18,107.41,2.36,4547.08
89,2021-09-18,143.55,4.37,3286.17
90,2021-09-18,213.62,2.22,9636.84
91,2021-09-18,97.52,2.79,3494.38
92,2021-09-18,147.93,3.3,4481.23
93,2021-09-18,134.12,4.22,3181.36
94,2021-09-18,122.22,3.13,3909.85
95,2021-09-18,119.81,3.08,3884.34
971,2021-09-18,92.26,14.09,654.63
972,2021-09-18,174.17,17.84,976.41
973,2021-09-18,317.23,27.27,1163.17
974,2021-09-18,71.61,2.08,3438.94
976,2021-09-18,4.94,2.27,217.49
01,2021-09-19,108.79,1.75,6225.44
02,2021-09-19,57.54,0.82,7036.62
03,2021-09-19,47.19,0.61,7691.4
04,2021-09-19,165.2,2.31,7147.58
05,2021-09-19,133.66,5.0,2673.15
06,2021-09-19,168.54,3.2,5259.59
07,2021-09-19,189.89,5.29,3591.58
08,2021-09-19,103.08,3.45,2989.31
09,2021-09-19,493.73,10.32,4785.42
10,2021-09-19,82.84,3.56,2329.92
11,2021-09-19,149.25,4.05,3688.01
12,2021-09-19,118.48,2.82,4202.38
13,2021-09-19,345.91,3.73,9282.4
14,2021-09-19,27.07,0.38,7201.75
15,2021-09-19,73.49,1.42,5158.73
16,2021-09-19,53.91,2.82,1908.25
17,2021-09-19,44.73,2.0,2233.62
18,2021-09-19,173.35,4.95,3504.21
19,2021-09-19,48.79,1.55,3147.11
21,2021-09-19,149.03,3.95,3769.81
22,2021-09-19,175.61,2.71,6482.86
23,2021-09-19,55.81,4.69,1190.7
24,2021-09-19,40.73,1.96,2077.18
25,2021-09-19,156.35,3.96,3944.07
26,2021-09-19,232.29,4.85,4786.36
27,2021-09-19,68.6,1.68,4094.18
28,2021-09-19,102.68,2.16,4744.54
29,2021-09-19,70.84,2.21,3201.62
2A,2021-09-19,104.46,4.25,2460.54
2B,2021-09-19,71.74,3.66,1957.57
30,2021-09-19,129.91,3.59,3617.09
31,2021-09-19,104.51,3.17,3300.44
32,2021-09-19,70.2,2.03,3460.03
33,2021-09-19,95.57,1.84,5183.5
34,2021-09-19,118.02,2.89,4085.1
35,2021-09-19,121.58,3.32,3661.59
36,2021-09-19,118.81,3.7,3207.82
37,2021-09-19,99.98,4.5,2221.67
38,2021-09-19,93.49,3.13,2983.06
39,2021-09-19,161.82,5.69,2845.39
40,2021-09-19,57.58,1.35,4261.16
41,2021-09-19,103.77,4.14,2505.97
42,2021-09-19,62.91,1.36,4617.61
43,2021-09-19,70.81,2.09,3391.03
44,2021-09-19,128.59,3.79,3389.06
45,2021-09-19,128.66,3.46,3715.7
46,2021-09-19,109.38,5.11,2139.04
47,2021-09-19,135.48,2.97,4568.36
48,2021-09-19,100.68,10.26,981.63
49,2021-09-19,76.96,3.38,2279.9
50,2021-09-19,21.91,1.71,1281.72
51,2021-09-19,134.37,3.89,3455.63
52,2021-09-19,188.14,3.53,5323.15
53,2021-09-19,65.93,5.51,1196.82
54,2021-09-19,145.02,1.64,8820.64
55,2021-09-19,94.31,1.47,6413.28
56,2021-09-19,159.99,4.42,3619.54
57,2021-09-19,169.72,1.5,11305.66
58,2021-09-19,20.65,1.43,1445.53
59,2021-09-19,123.96,1.46,8516.18
60,2021-09-19,144.91,1.87,7761.64
61,2021-09-19,6.4,0.43,1503.13
62,2021-09-19,65.33,0.74,8805.26
63,2021-09-19,139.62,1.79,7788.33
64,2021-09-19,148.69,2.02,7372.46
65,2021-09-19,223.51,1.64,13607.51
66,2021-09-19,100.85,2.35,4288.06
67,2021-09-19,168.38,2.34,7184.06
68,2021-09-19,202.63,3.18,6372.97
69,2021-09-19,137.85,1.73,7964.06
70,2021-09-19,132.51,2.2,6036.51
71,2021-09-19,55.14,2.52,2186.18
72,2021-09-19,99.69,2.67,3728.49
73,2021-09-19,133.89,3.84,3489.01
74,2021-09-19,104.05,3.44,3024.66
75,2021-09-19,150.4,2.1,7157.26
76,2021-09-19,74.56,0.7,10657.77
77,2021-09-19,108.42,3.05,3552.69
78,2021-09-19,139.58,3.62,3859.71
79,2021-09-19,119.41,2.52,4732.21
80,2021-09-19,51.96,0.9,5753.3
81,2021-09-19,98.63,1.31,7527.12
82,2021-09-19,135.33,4.04,3348.04
83,2021-09-19,169.34,4.32,3920.72
84,2021-09-19,203.24,4.61,4407.41
85,2021-09-19,48.68,2.24,2171.0
86,2021-09-19,167.48,4.86,3445.39
87,2021-09-19,183.89,2.74,6717.07
88,2021-09-19,107.41,2.35,4572.66
89,2021-09-19,138.42,4.19,3306.67
90,2021-09-19,213.62,2.22,9624.97
91,2021-09-19,97.52,2.8,3487.88
92,2021-09-19,152.96,3.42,4477.21
93,2021-09-19,130.93,4.11,3182.95
94,2021-09-19,124.42,3.19,3904.34
95,2021-09-19,117.67,3.02,3893.96
971,2021-09-19,92.26,14.19,650.24
972,2021-09-19,174.17,18.33,950.02
973,2021-09-19,317.23,27.12,1169.78
974,2021-09-19,73.17,2.13,3432.71
976,2021-09-19,4.94,2.25,219.96
01,2021-09-20,79.93,1.26,6338.67
02,2021-09-20,74.8,1.01,7430.74
03,2021-09-20,53.08,0.71,7502.65
04,2021-09-20,143.17,2.16,6629.96
05,2021-09-20,133.66,5.31,2515.19
06,2021-09-20,161.59,3.03,5332.57
07,2021-09-20,151.91,4.09,3710.94
08,2021-09-20,103.08,3.63,2841.13
09,2021-09-20,405.11,7.21,5620.96
10,2021-09-20,113.91,4.84,2355.8
11,2021-09-20,139.62,3.78,3697.64
12,2021-09-20,104.54,2.48,4223.29
13,2021-09-20,305.93,3.39,9031.13
14,2021-09-20,24.61,0.29,8373.33
15,2021-09-20,58.79,1.07,5496.77
16,2021-09-20,59.3,3.62,1638.73
17,2021-09-20,53.68,2.51,2135.21
18,2021-09-20,173.35,5.14,3374.2
19,2021-09-20,56.92,1.9,2992.6
21,2021-09-20,128.71,3.53,3647.88
22,2021-09-20,193.17,2.91,6646.76
23,2021-09-20,18.6,1.59,1172.09
24,2021-09-20,45.82,2.21,2077.18
25,2021-09-20,150.45,3.69,4073.87
26,2021-09-20,226.18,4.23,5345.68
27,2021-09-20,95.56,1.95,4902.73
28,2021-09-20,106.22,1.75,6086.46
29,2021-09-20,61.0,1.81,3374.79
2A,2021-09-20,81.24,3.18,2553.39
2B,2021-09-20,61.49,3.05,2019.06
30,2021-09-20,141.31,4.08,3462.11
31,2021-09-20,96.2,2.93,3288.56
32,2021-09-20,50.15,1.45,3450.01
33,2021-09-20,100.76,1.77,5677.96
34,2021-09-20,109.17,2.77,3934.61
35,2021-09-20,131.59,3.3,3984.84
36,2021-09-20,100.53,3.38,2970.21
37,2021-09-20,102.75,4.11,2499.38
38,2021-09-20,97.13,3.26,2981.85
39,2021-09-20,182.05,5.79,3142.07
40,2021-09-20,53.15,1.26,4203.58
41,2021-09-20,93.39,3.54,2635.68
42,2021-09-20,56.62,1.31,4336.61
43,2021-09-20,94.41,2.88,3273.01
44,2021-09-20,126.47,3.52,3595.23
45,2021-09-20,122.01,3.28,3722.35
46,2021-09-20,145.84,6.78,2151.19
47,2021-09-20,119.22,2.4,4963.96
48,2021-09-20,50.34,4.76,1057.14
49,2021-09-20,80.81,3.33,2428.04
50,2021-09-20,18.26,1.45,1256.16
51,2021-09-20,131.45,3.68,3569.55
52,2021-09-20,132.8,2.74,4847.28
53,2021-09-20,71.0,5.76,1232.31
54,2021-09-20,130.99,1.27,10329.34
55,2021-09-20,84.88,1.09,7818.54
56,2021-09-20,129.85,3.65,3556.94
57,2021-09-20,169.72,1.39,12177.79
58,2021-09-20,20.65,1.61,1280.33
59,2021-09-20,114.11,1.31,8720.66
60,2021-09-20,153.75,1.93,7952.5
61,2021-09-20,19.19,1.4,1368.81
62,2021-09-20,56.0,0.69,8116.68
63,2021-09-20,150.57,1.74,8631.5
64,2021-09-20,159.51,2.21,7212.96
65,2021-09-20,169.87,1.19,14278.05
66,2021-09-20,74.7,1.88,3966.83
67,2021-09-20,151.23,2.13,7088.96
68,2021-09-20,196.09,3.16,6203.02
69,2021-09-20,137.01,1.62,8455.77
70,2021-09-20,132.51,2.17,6102.77
71,2021-09-20,48.65,2.26,2150.5
72,2021-09-20,102.54,2.69,3811.1
73,2021-09-20,129.95,3.83,3390.56
74,2021-09-20,113.17,3.7,3059.34
75,2021-09-20,140.8,1.95,7235.12
76,2021-09-20,86.13,0.7,12326.3
77,2021-09-20,114.23,2.81,4070.59
78,2021-09-20,143.54,3.25,4419.01
79,2021-09-20,114.99,2.33,4926.81
80,2021-09-20,60.62,0.78,7774.02
81,2021-09-20,116.56,1.49,7840.94
82,2021-09-20,147.1,4.16,3536.33
83,2021-09-20,155.52,4.18,3718.55
84,2021-09-20,197.43,4.59,4302.89
85,2021-09-20,46.24,2.04,2268.36
86,2021-09-20,147.55,3.93,3752.44
87,2021-09-20,183.89,2.4,7677.38
88,2021-09-20,107.41,1.54,6971.51
89,2021-09-20,112.79,3.42,3301.55
90,2021-09-20,166.15,1.7,9779.25
91,2021-09-20,101.85,2.89,3518.22
92,2021-09-20,144.91,3.07,4715.71
93,2021-09-20,134.12,3.53,3803.26
94,2021-09-20,132.13,3.31,3988.02
95,2021-09-20,118.74,3.19,3718.52
971,2021-09-20,96.66,15.94,606.3
972,2021-09-20,147.78,16.87,876.13
973,2021-09-20,360.19,22.85,1576.23
974,2021-09-20,65.38,2.18,2996.81
976,2021-09-20,2.47,1.02,242.21
01,2021-09-21,66.61,0.96,6933.68
02,2021-09-21,66.17,0.83,7937.06
03,2021-09-21,53.08,0.94,5674.18
04,2021-09-21,132.16,2.18,6057.27
05,2021-09-21,121.51,5.1,2381.53
06,2021-09-21,142.48,2.86,4986.79
07,2021-09-21,168.19,4.61,3645.83
08,2021-09-21,83.75,1.7,4928.49
09,2021-09-21,379.79,4.46,8520.07
10,2021-09-21,139.79,4.6,3039.25
11,2021-09-21,120.37,3.26,3692.83
12,2021-09-21,76.66,1.79,4279.04
13,2021-09-21,281.46,3.24,8674.62
14,2021-09-21,19.69,0.24,8250.26
15,2021-09-21,58.79,0.91,6452.09
16,2021-09-21,48.51,2.75,1762.71
17,2021-09-21,53.68,2.47,2171.0
18,2021-09-21,136.21,4.1,3318.47
19,2021-09-21,65.06,2.17,3000.73
21,2021-09-21,111.77,3.3,3390.46
22,2021-09-21,137.56,1.96,7012.61
23,2021-09-21,0.0,0.0,1972.09
24,2021-09-21,56.0,2.44,2296.1
25,2021-09-21,150.45,4.0,3764.12
26,2021-09-21,213.95,3.59,5953.91
27,2021-09-21,90.66,1.66,5471.16
28,2021-09-21,131.01,1.82,7215.95
29,2021-09-21,47.23,1.48,3185.88
2A,2021-09-21,69.64,2.1,3319.41
2B,2021-09-21,61.49,2.96,2080.56
30,2021-09-21,141.31,4.01,3528.21
31,2021-09-21,104.51,3.16,3308.75
32,2021-09-21,30.09,0.84,3580.38
33,2021-09-21,112.19,1.72,6538.07
34,2021-09-21,119.5,3.14,3800.36
35,2021-09-21,131.59,3.13,4207.97
36,2021-09-21,63.97,1.96,3271.8
37,2021-09-21,111.08,4.15,2677.11
38,2021-09-21,100.77,3.54,2843.44
39,2021-09-21,202.28,5.35,3782.62
40,2021-09-21,26.58,0.97,2728.56
41,2021-09-21,67.45,2.58,2609.73
42,2021-09-21,58.72,1.35,4357.58
43,2021-09-21,94.41,2.86,3304.48
44,2021-09-21,116.9,3.03,3855.6
45,2021-09-21,106.48,2.91,3653.59
46,2021-09-21,145.84,6.63,2199.81
47,2021-09-21,119.22,2.6,4579.2
48,2021-09-21,25.17,2.38,1057.14
49,2021-09-21,92.35,3.65,2531.94
50,2021-09-21,21.91,1.82,1201.39
51,2021-09-21,113.92,3.22,3537.42
52,2021-09-21,143.87,2.99,4814.08
53,2021-09-21,71.0,5.19,1369.24
54,2021-09-21,119.29,1.14,10469.69
55,2021-09-21,75.45,0.94,7988.31
56,2021-09-21,111.3,3.18,3496.65
57,2021-09-21,173.08,1.47,11801.38
58,2021-09-21,20.65,1.54,1342.28
59,2021-09-21,104.27,1.09,9558.26
60,2021-09-21,123.71,1.82,6805.57
61,2021-09-21,25.59,1.94,1317.64
62,2021-09-21,56.0,0.83,6769.61
63,2021-09-21,150.57,1.7,8872.4
64,2021-09-21,151.4,2.35,6439.75
65,2021-09-21,187.75,1.36,13777.38
66,2021-09-21,74.7,2.03,3682.95
67,2021-09-21,140.31,1.81,7734.4
68,2021-09-21,180.84,3.05,5928.49
69,2021-09-21,134.49,1.52,8825.61
70,2021-09-21,132.51,2.29,5793.58
71,2021-09-21,64.87,3.01,2153.75
72,2021-09-21,85.45,2.42,3529.11
73,2021-09-21,110.26,3.1,3559.9
74,2021-09-21,109.52,3.6,3041.09
75,2021-09-21,138.67,1.94,7161.52
76,2021-09-21,86.13,0.63,13685.04
77,2021-09-21,117.13,2.81,4168.36
78,2021-09-21,151.46,3.15,4805.08
79,2021-09-21,97.3,2.15,4528.77
80,2021-09-21,69.28,0.85,8155.08
81,2021-09-21,152.43,1.92,7926.12
82,2021-09-21,164.75,4.81,3424.54
83,2021-09-21,133.05,3.61,3687.45
84,2021-09-21,182.92,4.32,4236.11
85,2021-09-21,43.81,1.93,2265.92
86,2021-09-21,135.58,3.94,3445.39
87,2021-09-21,158.35,1.79,8852.22
88,2021-09-21,92.07,1.07,8623.6
89,2021-09-21,112.79,3.55,3173.38
90,2021-09-21,154.28,1.35,11452.65
91,2021-09-21,97.52,2.72,3586.48
92,2021-09-21,136.86,2.83,4832.44
93,2021-09-21,130.93,3.22,4067.51
94,2021-09-21,126.62,3.17,3992.42
95,2021-09-21,116.6,2.9,4027.69
971,2021-09-21,96.66,16.92,571.15
972,2021-09-21,142.5,17.31,823.35
973,2021-09-21,396.54,20.73,1913.29
974,2021-09-21,66.94,2.2,3038.84
976,2021-09-21,0.0,0.0,227.38
01,2021-09-22,82.15,1.19,6902.6
02,2021-09-22,60.41,0.77,7836.37
03,2021-09-22,53.08,1.09,4866.11
04,2021-09-22,154.19,2.55,6057.27
05,2021-09-22,145.81,6.22,2345.08
06,2021-09-22,152.91,3.25,4707.05
07,2021-09-22,151.91,4.14,3672.96
08,2021-09-22,64.42,1.37,4715.89
09,2021-09-22,329.16,3.77,8735.28
10,2021-09-22,129.44,4.39,2951.23
11,2021-09-22,120.37,3.41,3533.94
12,2021-09-22,55.75,1.52,3679.7
13,2021-09-22,265.14,3.37,7876.75
14,2021-09-22,19.69,0.26,7698.93
15,2021-09-22,73.49,1.14,6437.39
16,2021-09-22,59.3,3.45,1719.58
17,2021-09-22,44.73,2.12,2105.39
18,2021-09-22,148.59,4.81,3089.4
19,2021-09-22,48.79,1.8,2716.11
21,2021-09-22,105.0,3.15,3329.49
22,2021-09-22,114.15,1.67,6822.37
23,2021-09-22,0.0,0.0,2009.3
24,2021-09-22,50.91,2.12,2397.92
25,2021-09-22,135.7,3.78,3593.03
26,2021-09-22,186.44,3.32,5617.7
27,2021-09-22,107.81,1.96,5512.81
28,2021-09-22,127.47,1.78,7152.21
29,2021-09-22,57.07,1.88,3030.42
2A,2021-09-22,34.82,1.05,3307.8
2B,2021-09-22,81.99,3.77,2172.8
30,2021-09-22,132.19,3.92,3375.5
31,2021-09-22,109.26,3.47,3150.79
32,2021-09-22,50.15,1.45,3450.01
33,2021-09-22,104.92,1.49,7057.45
34,2021-09-22,104.75,2.92,3584.97
35,2021-09-22,131.59,3.17,4156.48
36,2021-09-22,45.7,1.37,3326.63
37,2021-09-22,108.31,4.05,2674.33
38,2021-09-22,101.99,3.72,2745.1
39,2021-09-22,235.99,6.12,3856.79
40,2021-09-22,26.58,1.12,2383.06
41,2021-09-22,57.07,2.0,2858.77
42,2021-09-22,67.1,1.62,4143.69
43,2021-09-22,102.28,3.26,3139.26
44,2021-09-22,109.46,2.76,3972.5
45,2021-09-22,90.95,2.68,3391.82
46,2021-09-22,170.15,6.6,2576.57
47,2021-09-22,86.71,1.94,4476.24
48,2021-09-22,25.17,2.33,1082.31
49,2021-09-22,121.21,4.81,2522.32
50,2021-09-22,29.21,2.48,1179.48
51,2021-09-22,108.08,3.47,3110.94
52,2021-09-22,121.74,2.98,4083.67
53,2021-09-22,71.0,5.09,1394.59
54,2021-09-22,98.24,0.97,10097.77
55,2021-09-22,66.02,0.81,8120.34
56,2021-09-22,97.39,3.01,3232.31
57,2021-09-22,183.16,1.6,11436.73
58,2021-09-22,20.65,1.9,1084.15
59,2021-09-22,104.27,1.09,9583.17
60,2021-09-22,130.77,1.98,6595.27
61,2021-09-22,19.19,1.32,1458.36
62,2021-09-22,53.92,0.8,6706.35
63,2021-09-22,150.57,1.64,9206.38
64,2021-09-22,162.21,2.7,6012.6
65,2021-09-22,196.69,1.41,13911.49
66,2021-09-22,63.5,1.96,3245.93
67,2021-09-22,127.84,1.69,7547.32
68,2021-09-22,172.12,3.18,5414.3
