dep,datetime,tx_incidence,tx_positivite,td
11,2021-09-06,192.59,10.61,1815.12
12,2021-09-06,181.2,12.81,1414.73
13,2021-09-06,462.57,13.24,3493.34
14,2021-09-06,68.92,7.95,866.38
15,2021-09-06,102.88,9.59,1072.9
16,2021-09-06,113.2,10.99,1029.59
17,2021-09-06,74.55,7.86,948.32
18,2021-09-06,167.16,14.67,1139.18
19,2021-09-06,40.66,3.6,1130.36
21,2021-09-06,138.87,10.79,1287.09
22,2021-09-06,175.61,10.31,1703.4
23,2021-09-06,55.81,9.09,613.95
24,2021-09-06,188.37,16.09,1170.96
25,2021-09-06,168.15,11.47,1466.12
26,2021-09-06,161.99,12.59,1286.75
27,2021-09-06,127.41,13.07,975.16
28,2021-09-06,127.47,12.59,1012.64
29,2021-09-06,72.81,8.08,901.26
2A,2021-09-06,174.09,9.26,1880.22
2B,2021-09-06,133.24,8.84,1506.61
30,2021-09-06,351.0,16.3,2153.85
31,2021-09-06,156.77,8.4,1865.77
32,2021-09-06,100.29,11.24,892.59
33,2021-09-06,132.96,12.6,1055.4
34,2021-09-06,240.47,11.84,2031.48
35,2021-09-06,148.75,8.95,1662.02
36,2021-09-06,82.25,9.68,849.94
37,2021-09-06,77.76,8.12,958.09
38,2021-09-06,177.26,12.71,1395.01
39,2021-09-06,141.6,9.25,1530.58
40,2021-09-06,79.73,7.5,1063.08
41,2021-09-06,83.01,8.74,949.47
42,2021-09-06,163.57,12.44,1314.82
43,2021-09-06,212.43,18.24,1164.44
44,2021-09-06,126.47,9.8,1290.16
45,2021-09-06,161.94,11.89,1362.05
46,2021-09-06,158.0,11.11,1421.97
47,2021-09-06,135.48,7.86,1723.3
48,2021-09-06,50.34,11.76,427.89
49,2021-09-06,96.2,9.98,963.91
50,2021-09-06,113.2,10.47,1080.88
51,2021-09-06,128.53,14.33,896.77
52,2021-09-06,143.87,10.74,1339.09
53,2021-09-06,81.14,14.68,552.77
54,2021-09-06,170.75,12.81,1333.27
55,2021-09-06,132.04,11.29,1169.48
56,2021-09-06,166.95,10.89,1532.68
57,2021-09-06,240.3,10.1,2379.43
58,2021-09-06,61.95,8.45,733.09
59,2021-09-06,155.82,7.72,2017.54
60,2021-09-06,107.8,10.34,1042.66
61,2021-09-06,140.72,10.63,1324.04
62,2021-09-06,77.78,4.21,1846.92
63,2021-09-06,109.5,11.02,993.73
64,2021-09-06,164.91,10.07,1638.32
65,2021-09-06,277.16,16.4,1689.76
66,2021-09-06,153.15,9.67,1583.74
67,2021-09-06,204.23,10.07,2028.31
68,2021-09-06,296.32,12.9,2296.45
69,2021-09-06,229.47,15.28,1502.03
70,2021-09-06,184.04,12.38,1487.04
71,2021-09-06,113.53,12.24,927.67
72,2021-09-06,142.42,10.33,1378.6
73,2021-09-06,137.83,12.32,1118.37
74,2021-09-06,191.67,12.44,1540.62
75,2021-09-06,128.0,4.53,2824.5
76,2021-09-06,127.26,9.03,1408.87
77,2021-09-06,144.24,11.89,1212.95
78,2021-09-06,141.56,10.74,1318.58
79,2021-09-06,150.37,11.0,1366.59
80,2021-09-06,37.53,3.79,990.16
81,2021-09-06,121.04,9.57,1264.23
82,2021-09-06,100.03,8.29,1206.24
83,2021-09-06,245.37,12.11,2026.89
84,2021-09-06,238.08,12.48,1907.55
85,2021-09-06,104.66,10.54,993.01
86,2021-09-06,151.53,13.67,1108.59
87,2021-09-06,51.08,7.58,674.26
88,2021-09-06,97.18,7.54,1288.94
89,2021-09-06,102.53,9.13,1122.73
90,2021-09-06,261.1,11.7,2231.19
91,2021-09-06,167.95,11.92,1408.59
92,2021-09-06,187.18,9.91,1888.9
