,1,10,2,3,4,5,6,7,8,9,abstentions,code_insee,exprimes,inscrits,ville,votants,popTotale,taux65Plus,TauxOuvriers,TauxAgricuteurs,TauxCadres,TauxRetraites,TauxChomage
132,21,824,72,449,146,22,13,6,94,22,1343,972204,1669,3083,Le Carbet,1740,3742.0,20.6,8.2,2.5,2.7,26.5,10.6
133,36,751,84,566,137,17,14,8,164,26,1263,972205,1803,3162,Case-Pilote,1899,4464.0,12.7,9.0,1.0,9.9,16.5,16.4
134,48,1112,108,631,178,20,19,5,156,26,2266,972206,2303,4685,Le Diamant,2419,6063.0,12.3,10.6,0.6,8.3,15.8,22.0
135,70,3317,287,1480,391,80,53,28,358,66,5158,972207,6130,11772,Ducos,6614,17051.0,13.8,11.0,0.6,5.5,17.2,21.6
136,6,173,15,159,20,11,2,3,15,0,388,972208,404,813,Fonds-Saint-Denis,425,813.0,23.0,14.6,4.7,1.8,27.6,24.4
137,492,15964,1451,7600,1923,361,342,129,1843,342,32780,972209,30447,65906,Fort-de-France,33126,84174.0,18.2,10.6,0.1,5.8,19.2,27.7
138,73,4325,330,2254,392,73,79,31,378,69,7180,972210,8004,15899,Le François,8719,18225.0,18.0,14.1,0.9,3.6,19.6,28.2
139,4,260,5,72,10,0,1,0,8,1,456,972211,361,839,Grand'Rivière,383,583.0,30.0,18.0,1.5,0.0,27.6,27.6
140,54,1906,248,1047,200,62,56,18,227,48,4038,972212,3866,8289,Gros-Morne,4251,10012.0,19.6,14.8,1.1,1.4,22.8,32.9
141,210,6499,722,3480,840,146,141,48,814,153,10738,972213,13053,24946,Le Lamentin,14208,40040.0,14.4,12.0,0.3,6.2,16.4,21.9
142,45,2075,196,966,114,35,37,15,192,23,2605,972214,3698,6719,Le Lorrain,4114,7177.0,22.4,16.3,2.3,1.4,26.4,28.7
143,1,219,18,240,16,4,5,0,12,1,641,972215,516,1174,Macouba,533,1090.0,20.0,23.9,0.4,0.4,26.1,32.3
144,18,965,53,411,59,20,11,2,86,9,1460,972216,1634,3230,Le Marigot,1770,3481.0,22.9,16.0,0.7,1.4,26.8,26.4
145,55,1711,121,641,168,34,33,12,155,29,3407,972217,2959,6586,Le Marin,3179,8543.0,15.6,12.5,0.7,3.2,18.9,28.2
146,32,993,109,791,125,20,23,9,145,24,2058,972218,2271,4580,Le Morne-Rouge,2522,5021.0,21.2,15.4,2.3,1.3,24.0,28.7
147,16,331,47,202,29,6,11,2,24,3,797,972219,671,1501,Le Prêcheur,704,1632.0,19.4,16.1,2.6,0.3,19.1,35.2
148,32,2251,150,726,224,50,31,9,245,38,6579,972220,3756,10827,Rivière-Pilote,4248,12359.0,17.6,13.5,1.0,1.3,19.1,36.9
149,64,2280,230,1172,273,69,40,15,276,40,4442,972221,4459,9337,Rivière-Salée,4895,12737.0,12.9,11.8,0.5,4.8,16.5,28.7
150,135,4365,419,2476,435,104,94,40,506,90,7833,972222,8664,17408,Le Robert,9575,23296.0,13.6,14.5,0.6,4.1,16.5,29.7
151,40,1730,157,872,208,45,28,6,195,27,3914,972223,3308,7454,Saint-Esprit,3540,9524.0,17.4,12.5,1.8,4.0,19.9,24.8
152,101,2616,339,1735,331,64,58,20,378,75,5503,972224,5717,11689,Saint-Joseph,6186,16885.0,16.5,13.4,0.5,5.0,19.6,25.3
153,28,847,102,506,103,29,20,10,113,23,2123,972225,1781,4018,Saint-Pierre,1895,4285.0,20.4,10.4,2.5,2.7,24.7,29.7
154,48,861,97,363,125,25,18,7,86,16,2277,972226,1646,4024,Sainte-Anne,1747,4436.0,18.9,13.3,1.6,3.6,21.7,27.0
155,82,1903,157,824,256,39,28,13,223,29,3343,972227,3554,7124,Sainte-Luce,3781,9991.0,14.6,10.7,0.9,5.0,18.3,20.1
156,93,4627,318,1850,244,62,82,21,353,84,8347,972228,7734,16909,Sainte-Marie,8562,17188.0,20.7,14.8,1.3,1.4,23.2,37.0
157,168,3753,357,2525,618,98,57,43,653,113,6731,972229,8385,15721,Schoelcher,8990,19922.0,16.7,7.0,0.3,10.6,18.8,18.4
158,90,3060,215,1137,316,63,42,15,302,50,4162,972230,5290,9865,La Trinité,5703,13253.0,17.4,11.0,0.9,5.9,20.2,27.9
159,77,1227,175,825,272,39,25,16,231,45,2418,972231,2932,5500,Les Trois-Ilets,3082,7698.0,12.9,9.0,0.3,10.1,17.5,22.7
160,46,1962,142,933,154,37,27,14,159,40,4315,972232,3514,8126,LE VAUCLIN,3811,9097.0,19.0,8.7,2.2,2.6,23.7,26.7
161,25,348,40,351,65,8,6,2,52,6,686,972233,903,1639,Le Morne-Vert,953,1877.0,23.0,10.9,4.1,3.0,22.5,22.7
162,9,495,27,188,49,16,9,2,45,9,581,972234,849,1505,Bellefontaine,924,1568.0,15.8,18.6,2.9,2.6,16.6,18.8
163,13,95,38,69,15,2,3,0,11,3,375,973301,249,627,Régina,252,951.0,6.3,15.9,4.9,3.6,7.7,45.5
164,214,4668,1181,2741,732,150,62,31,654,105,11148,973302,10538,22223,Cayenne,11075,54709.0,7.7,11.9,0.1,5.1,8.4,26.3
165,1,146,36,137,23,7,2,1,29,1,445,973303,383,958,Iracoubo,513,1967.0,5.9,15.0,4.0,0.6,6.4,49.6
166,127,1830,638,1142,379,61,24,15,374,61,3382,973304,4651,8235,Kourou,4853,25793.0,2.8,12.6,0.2,7.3,3.3,25.6
167,30,1026,300,508,224,39,18,13,142,26,2068,973305,2326,4508,Macouria,2440,10721.0,3.9,14.2,1.9,4.5,4.9,22.8
168,10,399,29,139,76,10,6,5,31,7,924,973306,712,1661,Mana,737,9593.0,2.8,8.3,7.3,2.9,3.0,36.8
169,87,2269,539,1193,388,68,30,26,319,64,4385,973307,4983,9655,Matoury,5270,30244.0,4.8,15.6,0.3,5.0,5.5,27.9
170,16,301,45,156,13,1,7,3,16,12,594,973308,570,1181,Saint-Georges,587,3907.0,3.4,8.1,1.2,2.0,3.3,58.6
171,176,2193,579,1500,541,79,24,30,465,68,4186,973309,5655,10050,Remire-Montjoly,5864,21638.0,6.4,9.3,0.2,14.4,7.8,18.5
172,24,332,95,282,83,10,4,3,51,7,572,973310,891,1499,Roura,927,3293.0,5.6,12.8,8.8,4.3,7.7,17.0
173,72,1393,214,1333,307,26,16,7,126,26,4071,973311,3520,7695,Saint-Laurent-du-Maroni,3624,41515.0,2.3,8.9,1.1,3.5,2.0,47.8
