CodCirLg,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,codeDepartement,code_dep_min,code_dep,votes,entete,id_circo,elu_T1
05,83139,45021,38118,4036,1090,32992,002,02,02,"[{""NomPsn"":""DESSIGNY"",""PrenomPsn"":""Jocelyn"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""4"",""NbVoix"":20589,""score"":62.4},{""NomPsn"":""FRERE"",""PrenomPsn"":""St\u00e9phane"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""7"",""NbVoix"":12403,""score"":37.6}]",RN,02005,0
03,80194,44317,35877,2902,1332,31643,003,03,03,"[{""NomPsn"":""RAY"",""PrenomPsn"":""Nicolas"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""3"",""NbVoix"":19296,""score"":61.0},{""NomPsn"":""PEYROL"",""PrenomPsn"":""B\u00e9n\u00e9dicte"",""CivilitePsn"":""Mme"",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""6"",""NbVoix"":12347,""score"":39.0}]",LR,03003,0
01,61975,29473,32502,2626,985,28891,004,04,04,"[{""NomPsn"":""GIRARD"",""PrenomPsn"":""Christian"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""11"",""NbVoix"":14791,""score"":51.2},{""NomPsn"":""BAGARRY"",""PrenomPsn"":""Delphine"",""CivilitePsn"":""Mme"",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""10"",""NbVoix"":14100,""score"":48.8}]",RN,04001,0
02,66651,32124,34527,2329,1001,31197,004,04,04,"[{""NomPsn"":""WALTER"",""PrenomPsn"":""L\u00e9o"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""12"",""NbVoix"":16063,""score"":51.5},{""NomPsn"":""CASTANER"",""PrenomPsn"":""Christophe"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""11"",""NbVoix"":15134,""score"":48.5}]",NUP,04002,0
02,54275,25674,28601,1364,629,26608,005,05,05,"[{""NomPsn"":""GIRAUD"",""PrenomPsn"":""Joel"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""1"",""NbVoix"":15058,""score"":56.6},{""NomPsn"":""MOUNAL"",""PrenomPsn"":""Capucine"",""CivilitePsn"":""Mme"",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""9"",""NbVoix"":11550,""score"":43.4}]",ENS,05002,0
01,79312,40097,39215,2390,936,35889,007,07,07,"[{""NomPsn"":""SAULIGNAC"",""PrenomPsn"":""Herv\u00e9"",""CivilitePsn"":""M."",""CodNua"":""DVG"",""LibNua"":""Divers gauche"",""NumPanneauCand"":""4"",""NbVoix"":21550,""score"":60.0},{""NomPsn"":""PORQUET"",""PrenomPsn"":""C\u00e9line"",""CivilitePsn"":""Mme"",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""8"",""NbVoix"":14339,""score"":40.0}]",DVG,07001,0
03,80836,34702,46134,1755,786,43593,007,07,07,"[{""NomPsn"":""BRUN"",""PrenomPsn"":""Fabrice"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""4"",""NbVoix"":24896,""score"":57.1},{""NomPsn"":""PALLOT"",""PrenomPsn"":""Florence"",""CivilitePsn"":""Mme"",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""2"",""NbVoix"":18697,""score"":42.9}]",LR,07003,0
01,70966,38944,32022,1814,684,29524,008,08,08,"[{""NomPsn"":""VUIBERT"",""PrenomPsn"":""Lionel"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""4"",""NbVoix"":14861,""score"":50.3},{""NomPsn"":""RICHARD"",""PrenomPsn"":""Laurent"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""1"",""NbVoix"":14663,""score"":49.7}]",ENS,08001,0
03,55162,30999,24163,816,357,22990,008,08,08,"[{""NomPsn"":""WARSMANN"",""PrenomPsn"":""Jean-Luc"",""CivilitePsn"":""M."",""CodNua"":""DVD"",""LibNua"":""Divers droite"",""NumPanneauCand"":""4"",""NbVoix"":15575,""score"":67.7},{""NomPsn"":""LEMOINE"",""PrenomPsn"":""David"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""8"",""NbVoix"":7415,""score"":32.3}]",DVD,08003,0
01,57471,27001,30470,2405,1402,26663,009,09,09,"[{""NomPsn"":""TAURINE"",""PrenomPsn"":""B\u00e9n\u00e9dicte"",""CivilitePsn"":""Mme"",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""2"",""NbVoix"":14746,""score"":55.3},{""NomPsn"":""TRIBOUT"",""PrenomPsn"":""Anne-Sophie"",""CivilitePsn"":""Mme"",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""7"",""NbVoix"":11917,""score"":44.7}]",NUP,09001,0
