ville,inscrits,score,revenu_median,circle,color
Cruzilles-lès-Mépillat,684.0,27.5,23120.0,13.1,grey
Culoz,1900.0,18.8,20130.0,21.8,grey
Curciat-Dongalon,326.0,25.0,21020.0,9.0,grey
Curtafond,563.0,26.3,24370.0,11.9,grey
Cuzieu,388.0,32.2,24320.0,9.8,grey
Dagneux,3290.0,27.5,24420.0,28.7,grey
Divonne-les-Bains,6424.0,44.2,43030.0,40.1,grey
Dompierre-sur-Veyle,884.0,26.8,22140.0,14.9,grey
Dompierre-sur-Chalaronne,296.0,28.9,22380.0,8.6,grey
Domsure,408.0,25.6,20490.0,10.1,grey
Dortan,1355.0,23.7,22710.0,18.4,grey
Douvres,846.0,24.7,26120.0,14.5,grey
Drom,182.0,17.2,23130.0,6.7,grey
Druillat,888.0,25.4,23810.0,14.9,grey
Echallon,614.0,21.2,26460.0,12.4,grey
Echenevex,1254.0,38.3,46570.0,17.7,grey
Evosges,131.0,13.2,22610.0,5.7,grey
Faramans,656.0,24.2,25030.0,12.8,grey
Fareins,1897.0,30.6,26080.0,21.8,grey
Farges,606.0,25.7,33810.0,12.3,grey
Feillens,2600.0,33.0,22720.0,25.5,grey
Ferney-Voltaire,3988.0,33.2,27650.0,31.6,grey
Foissiat,1592.0,29.0,22280.0,19.9,grey
Francheleins,1100.0,28.9,24420.0,16.6,grey
Frans,1795.0,31.8,25420.0,21.2,grey
Garnerans,566.0,26.7,23960.0,11.9,grey
Genouilleux,492.0,24.5,24340.0,11.1,grey
Beard-Géovreissiat,713.0,23.1,22950.0,13.4,grey
Géovreisset,567.0,24.5,23720.0,11.9,grey
Gex,6649.0,33.2,32900.0,40.8,grey
Giron,127.0,23.1,24460.0,5.6,grey
Gorrevod,659.0,27.6,21610.0,12.8,grey
Grand-Corent,160.0,17.9,22490.0,6.3,grey
Grièges,1492.0,27.0,23120.0,19.3,grey
Grilly,554.0,43.5,48590.0,11.8,grey
Groissiat,909.0,25.5,24280.0,15.1,grey
Guéreins,1110.0,26.9,25180.0,16.7,grey
Hautecourt-Romanèche,641.0,22.1,22130.0,12.7,grey
Hauteville-Lompnes,3157.0,23.9,22070.0,28.1,grey
Haut Valromey,636.0,26.2,21820.0,12.6,grey
Illiat,505.0,26.7,22470.0,11.2,grey
Injoux-Génissiat,721.0,20.5,27020.0,13.4,grey
Izenave,135.0,27.4,22970.0,5.8,grey
Izernore,1465.0,21.9,22680.0,19.1,grey
Izieu,190.0,20.0,24260.0,6.9,grey
Jassans-Riottier,4427.0,30.0,22630.0,33.3,grey
Jasseron,1351.0,30.6,24550.0,18.4,grey
Jayat,884.0,23.1,22100.0,14.9,grey
Journans,282.0,23.8,25200.0,8.4,grey
Joyeux,206.0,29.3,24220.0,7.2,grey
Jujurieux,1531.0,23.4,21940.0,19.6,grey
Labalme,155.0,14.4,22240.0,6.2,grey
Lagnieu,5303.0,24.2,22430.0,36.4,grey
Laiz,927.0,30.9,23080.0,15.2,grey
Le Poizat-Lalleyriat,561.0,23.9,25310.0,11.8,grey
Lantenay,226.0,17.1,24790.0,7.5,grey
Lapeyrouse,263.0,20.5,27950.0,8.1,grey
Lavours,111.0,24.4,20770.0,5.3,grey
Léaz,488.0,24.9,29950.0,11.0,grey
Lélex,221.0,29.5,23990.0,7.4,grey
Lent,1095.0,27.3,23640.0,16.5,grey
Lescheroux,539.0,21.7,20990.0,11.6,grey
Leyment,989.0,21.3,23240.0,15.7,grey
Leyssard,120.0,20.2,24020.0,5.5,grey
Lhôpital,112.0,30.1,25290.0,5.3,grey
Lhuis,651.0,21.6,22060.0,12.8,grey
Lompnas,128.0,18.6,18410.0,5.7,grey
Loyettes,2139.0,24.7,22070.0,23.1,grey
Lurcy,376.0,25.3,25080.0,9.7,grey
Magnieu,540.0,21.0,23370.0,11.6,grey
Maillat,488.0,25.8,25070.0,11.0,grey
Malafretaz,918.0,27.7,22720.0,15.1,grey
Mantenay-Montlin,266.0,28.4,19880.0,8.2,grey
Manziat,1541.0,34.6,23180.0,19.6,grey
Marboz,1731.0,28.8,23180.0,20.8,grey
Marchamp,112.0,15.6,24480.0,5.3,grey
Marignieu,157.0,19.4,23140.0,6.3,grey
Marlieux,741.0,27.0,22350.0,13.6,grey
Marsonnas,752.0,30.5,22510.0,13.7,grey
Martignat,1173.0,23.9,22180.0,17.1,grey
Massieux,2075.0,29.3,26610.0,22.8,grey
Massignieu-de-Rives,517.0,24.3,23340.0,11.4,grey
Matafelon-Granges,483.0,22.4,23990.0,11.0,grey
Meillonnas,1052.0,28.2,24470.0,16.2,grey
Mérignat,105.0,15.1,16380.0,5.1,grey
Messimy-sur-Saône,967.0,32.9,25620.0,15.5,grey
Meximieux,5545.0,28.1,23240.0,37.2,grey
Bohas-Meyriat-Rignat,721.0,23.7,23550.0,13.4,grey
Mézériat,1611.0,29.3,22520.0,20.1,grey
Mijoux,224.0,25.7,29130.0,7.5,grey
Mionnay,1829.0,28.9,27690.0,21.4,grey
Miribel,7009.0,30.2,24990.0,41.9,grey
Misérieux,1327.0,32.1,25830.0,18.2,grey
Mogneneins,621.0,29.6,25100.0,12.5,grey
Montagnat,1704.0,35.9,26020.0,20.6,grey
Montagnieu,447.0,25.1,21840.0,10.6,grey
Montanges,299.0,22.4,27200.0,8.6,grey
Montceaux,944.0,29.0,25550.0,15.4,grey
Montcet,500.0,31.6,24200.0,11.2,grey
Le Montellier,223.0,27.8,26640.0,7.5,grey
Monthieux,529.0,29.7,27400.0,11.5,grey
Montluel,4486.0,25.6,22480.0,33.5,grey
Montmerle-sur-Saône,3002.0,31.7,24360.0,27.4,grey
Montracol,771.0,23.2,23510.0,13.9,grey
Montréal-la-Cluse,2076.0,23.0,19940.0,22.8,grey
Montrevel-en-Bresse,1974.0,28.3,21460.0,22.2,grey
Nurieux-Volognat,747.0,22.4,23630.0,13.7,grey
Murs-et-Gélignieux,202.0,25.5,23100.0,7.1,grey
Nantua,1605.0,23.7,17490.0,20.0,grey
Neuville-les-Dames,1066.0,27.4,21820.0,16.3,grey
Neuville-sur-Ain,1269.0,21.5,22180.0,17.8,grey
Les Neyrolles,353.0,24.5,20180.0,9.4,grey
Neyron,1901.0,34.2,29180.0,21.8,grey
Niévroz,1251.0,25.4,26170.0,17.7,grey
Nivollet-Montgriffon,119.0,36.7,24560.0,5.5,grey
Ordonnaz,140.0,30.3,21460.0,5.9,grey
Ornex,2046.0,37.4,35440.0,22.6,grey
Outriaz,174.0,18.2,25420.0,6.6,grey
Oyonnax,11648.0,22.6,17620.0,54.0,grey
Ozan,539.0,23.3,22100.0,11.6,grey
Parcieux,1006.0,33.3,28160.0,15.9,grey
Parves et Nattages,807.0,23.9,25510.0,14.2,grey
Péron,1474.0,31.2,37100.0,19.2,grey
Péronnas,4664.0,29.9,22940.0,34.1,grey
Pérouges,1042.0,27.2,26580.0,16.1,grey
Perrex,634.0,35.0,23110.0,12.6,grey
Peyriat,135.0,21.4,25910.0,5.8,grey
Peyrieu,652.0,25.1,22000.0,12.8,grey
Peyzieux-sur-Saône,449.0,21.9,23180.0,10.6,grey
Pirajoux,318.0,20.0,22220.0,8.9,grey
Pizay,722.0,24.9,26740.0,13.4,grey
Plagne,114.0,28.4,28870.0,5.3,grey
Le Plantay,414.0,25.8,24300.0,10.2,grey
Polliat,2065.0,29.8,23740.0,22.7,grey
Pollieu,144.0,25.6,24990.0,6.0,grey
Poncin,1239.0,20.3,21090.0,17.6,grey
Pont-d'Ain,1938.0,22.6,21970.0,22.0,grey
Pont-de-Vaux,1484.0,32.9,19450.0,19.3,grey
Pont-de-Veyle,966.0,25.0,20490.0,15.5,grey
Port,580.0,27.9,21420.0,12.0,grey
Pougny,441.0,26.1,35930.0,10.5,grey
Prémeyzel,132.0,18.9,22270.0,5.7,grey
Prévessin-Moëns,4112.0,42.1,40210.0,32.1,grey
Priay,1253.0,20.8,22620.0,17.7,grey
Ramasse,249.0,22.2,23710.0,7.9,grey
Rancé,557.0,27.0,27590.0,11.8,grey
Relevant,342.0,28.5,25150.0,9.2,grey
Replonges,2884.0,33.4,23450.0,26.9,grey
Revonnas,702.0,27.7,26280.0,13.2,grey
Reyrieux,3711.0,34.3,27270.0,30.5,grey
Reyssouze,734.0,27.4,22200.0,13.5,grey
Rignieux-le-Franc,831.0,25.2,24810.0,14.4,grey
Romans,391.0,31.2,23610.0,9.9,grey
Rossillon,147.0,23.0,19280.0,6.1,grey
Ruffieu,159.0,26.3,21470.0,6.3,grey
Saint-Alban,148.0,24.3,23950.0,6.1,grey
Saint-André-de-Bâgé,609.0,27.7,23570.0,12.3,grey
Saint-André-de-Corcy,2659.0,26.5,25670.0,25.8,grey
Saint-André-d'Huiriat,474.0,23.4,23530.0,10.9,grey
Saint-André-le-Bouchoux,275.0,24.4,22100.0,8.3,grey
Saint-André-sur-Vieux-Jonc,901.0,31.1,22560.0,15.0,grey
Saint-Bénigne,986.0,32.0,22170.0,15.7,grey
Groslée-Saint-Benoît,983.0,27.2,21240.0,15.7,grey
Saint-Bernard,1304.0,36.3,30470.0,18.1,grey
Sainte-Croix,421.0,24.2,28120.0,10.3,grey
Saint-Cyr-sur-Menthon,1367.0,27.6,22570.0,18.5,grey
Saint-Denis-lès-Bourg,4598.0,31.5,24280.0,33.9,grey
Saint-Denis-en-Bugey,1678.0,21.1,22440.0,20.5,grey
Saint-Didier-d'Aussiat,618.0,24.8,22250.0,12.4,grey
Saint-Didier-de-Formans,1709.0,32.0,27210.0,20.7,grey
Saint-Didier-sur-Chalaronne,2218.0,29.7,22790.0,23.5,grey
Saint-Eloi,415.0,28.2,26130.0,10.2,grey
Saint-Etienne-du-Bois,1956.0,27.7,23480.0,22.1,grey
Saint-Etienne-sur-Chalaronne,1212.0,23.3,22370.0,17.4,grey
