Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS_2022,Ecart-type de l'IPS_2022,IPS_2017,Ecart-type de l'IPS_2017,Ecart-type de l'IPS_2020,latitude,longitude
2021-2022,LYON,001,AIN,0010025X,COLLEGE PAUL SIXDENIER,01185,PLATEAU D HAUTEVILLE,public,110.4,36.6,108.5,,35.0,45.97621920492385,5.600967267017193
2021-2022,LYON,001,AIN,0010026Y,COLLEGE PAUL CLAUDEL,01202,LAGNIEU,public,112.9,34.2,100.1,,34.1,45.89846945460407,5.344962827467159
2021-2022,LYON,001,AIN,0010046V,COLLEGE DU RENON,01457,VONNAS,public,105.8,34.3,105.1,,33.3,46.21923193356951,4.987420600330237
2021-2022,LYON,001,AIN,0010089S,COLLEGE PRIVE SAINT PIERRE,01232,MARBOZ,privé sous contrat,115.1,28.8,110.1,,30.1,46.34114628974638,5.259560023313107
2021-2022,LYON,001,AIN,0010097A,COLLEGE PRIVE DE LA SIDOINE,01427,TREVOUX,privé sous contrat,122.6,33.3,115.4,,34.5,45.93760515615645,4.783610025128626
2021-2022,LYON,001,AIN,0010820L,COLLEGE GEORGE SAND,01306,PONT DE VEYLE,public,104.2,32.5,104.4,,32.4,46.2640084547234,4.8850399080287845
2021-2022,LYON,001,AIN,0010964T,COLLEGE ANNE FRANK,01249,MIRIBEL,public,114.8,39.4,104.5,,42.4,45.82801247837263,4.968140162413298
2021-2022,LYON,001,AIN,0011011U,COLLEGE MARCEL ANTHONIOZ,01143,DIVONNE LES BAINS,public,105.5,40.3,123.9,,39.2,46.34700568692691,6.146100276323841
2021-2022,LYON,001,AIN,0011275F,COLLEGE THOMAS RIBOUD,01053,BOURG EN BRESSE,public,97.9,38.7,100.3,,37.6,46.19340841704188,5.228480410467756
2021-2022,LYON,001,AIN,0011338Z,COLLEGE JEAN COMPAGNON,01322,REYRIEUX,public,121.7,35.1,124.5,,34.4,45.9307071858806,4.814159781203816
2021-2022,AMIENS,002,AISNE,0020018J,COLLEGE LEON DROUSSENT,02217,COUCY LE CHATEAU AUFFRIQUE,public,92.2,30.8,85.6,,33.5,49.518712432409465,3.3133700826604606
2021-2022,AMIENS,002,AISNE,0020030X,COLLEGE CAMILLE DESMOULINS,02361,GUISE,public,71.0,23.6,71.5,,23.3,49.904117444645166,3.636139990380132
2021-2022,AMIENS,002,AISNE,0020055Z,COLLEGE GABRIEL HANOTAUX,02691,SAINT QUENTIN,public,85.3,32.5,78.3,,32.2,49.86071885144114,3.2736201480068536
2021-2022,AMIENS,002,AISNE,0020056A,COLLEGE MARTHE LEFEVRE,02691,SAINT QUENTIN,public,69.3,22.2,65.7,,25.6,49.83675770982215,3.318949412019479
2021-2022,AMIENS,002,AISNE,0020472C,COLLEGE PRIVE NOTRE DAME DE LIESSE,02430,LIESSE NOTRE DAME,privé sous contrat,105.7,31.2,105.0,,30.1,49.610938846900126,3.805739643548973
2021-2022,AMIENS,002,AISNE,0021661V,COLLEGE VILLARD DE HONNECOURT,02334,FRESNOY LE GRAND,public,90.4,32.9,86.1,,31.9,49.94866760852859,3.4193600013855217
2021-2022,AMIENS,002,AISNE,0021688Z,COLLEGE MAX DUSSUCHAL,02810,VILLERS COTTERETS,public,89.2,34.6,84.2,,32.2,49.259078005380026,3.082949610507377
2021-2022,AMIENS,002,AISNE,0021689A,COLLEGE ANTOINE NICOLAS DE CONDORCET,02648,RIBEMONT,public,85.2,31.6,81.1,,29.8,49.80009014466591,3.467870569177816
2021-2022,AMIENS,002,AISNE,0021691C,COLLEGE SAINT JUST,02722,SOISSONS,public,93.0,37.2,102.5,,38.1,49.38276240166077,3.325259763505805
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030017C,COLLEGE JOSEPH HENNEQUIN,03118,GANNAT,public,103.3,33.3,102.4,,36.1,46.08668244300113,3.198709839779961
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030021G,COLLEGE ANDRE BOUTRY,03155,LURCY LEVIS,public,93.1,31.4,88.4,,30.4,46.73330275355253,2.9382700300091456
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030030S,COLLEGE JEAN ZAY,03185,MONTLUCON,public,74.6,27.7,72.8,,27.2,46.349204184430654,2.5925800816384736
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030042E,COLLEGE FRANCOIS RABELAIS,03195,NERIS LES BAINS,public,105.7,35.7,112.8,,34.9,46.28872879112456,2.661711484047642
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030043F,COLLEGE JEAN DE LA FONTAINE,03236,SAINT GERMAIN DES FOSSES,public,99.6,32.6,102.5,,31.9,46.20986844727405,3.4387605902586245
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030892D,COLLEGE BLAISE DE VIGENERE,03254,SAINT POURCAIN SUR SIOULE,public,99.1,33.1,99.2,,33.8,46.311342214707125,3.293969563548033
2021-2022,AIX-MARSEILLE,004,ALPES-DE-HTE-PROVENCE,0040420K,COLLEGE PAUL ARENE,04209,SISTERON,public,106.1,35.0,104.0,,34.5,44.18160066306098,5.945989683114227
2021-2022,AIX-MARSEILLE,005,HAUTES-ALPES,0050010J,COLLEGE CENTRE,05061,GAP,public,109.1,35.3,110.5,,36.0,44.56098044735989,6.074839737462087
2021-2022,AIX-MARSEILLE,005,HAUTES-ALPES,0050019U,COLLEGE DE SAINT BONNET,05132,SAINT BONNET EN CHAMPSAUR,public,113.6,32.5,112.3,,34.6,44.67987112257961,6.078969435323396
2021-2022,AIX-MARSEILLE,005,HAUTES-ALPES,0050043V,COLLEGE CLIMATIQUE VAUBAN,05023,BRIANCON,public,114.1,34.1,112.2,,34.6,44.9008748862092,6.638860152899207
2021-2022,AIX-MARSEILLE,005,HAUTES-ALPES,0050409T,COLLEGE LES GIRAUDES,05006,L ARGENTIERE LA BESSEE,public,112.4,34.6,104.4,,35.4,44.793827501956464,6.5611896701809975
2021-2022,AIX-MARSEILLE,005,HAUTES-ALPES,0050638S,COLLEGE MARIE MARVINGT,05170,TALLARD,public,103.2,32.0,104.3,,30.3,44.455154610092045,6.047359397952519
2021-2022,NICE,006,ALPES-MARITIMES,0060063L,COLLEGE JEAN FRANCO,06120,SAINT ETIENNE DE TINEE,public,120.9,32.1,119.4,,32.0,44.25762470031705,6.922340383554523
2021-2022,NICE,006,ALPES-MARITIMES,0060086L,COLLEGE ROLAND GARROS,06088,NICE,public,105.4,41.6,105.2,,42.3,43.70726713815887,7.270549712541347
2021-2022,NICE,006,ALPES-MARITIMES,0060679F,COLLEGE PRIVE DON BOSCO,06088,NICE,privé sous contrat,128.2,30.7,114.6,,33.2,43.70932397402745,7.281539631301335
2021-2022,NICE,006,ALPES-MARITIMES,0060823M,COLLEGE PRIVE SAINT PHILIPPE NERI,06004,ANTIBES,privé sous contrat,121.4,33.2,111.3,,33.4,43.56718170159891,7.116959985158406
2021-2022,NICE,006,ALPES-MARITIMES,0060840F,COLLEGE FREDERIC MISTRAL,06088,NICE,public,85.7,28.1,87.9,,29.0,43.67372499276318,7.212340363560946
2021-2022,NICE,006,ALPES-MARITIMES,0061006L,COLLEGE HENRI MATISSE,06088,NICE,public,124.0,34.9,127.1,,35.5,43.72290639038359,7.272070021641891
2021-2022,NICE,006,ALPES-MARITIMES,0061134A,COLLEGE JOSEPH PAGNOL,06123,SAINT LAURENT DU VAR,public,103.6,35.7,109.8,,35.4,43.68254159607178,7.18835995658047
2021-2022,NICE,006,ALPES-MARITIMES,0061174U,COLLEGE GERARD PHILIPE,06029,CANNES,public,82.4,28.5,91.4,,29.1,43.56994589845756,6.963340154600625
2021-2022,NICE,006,ALPES-MARITIMES,0061175V,COLLEGE ALBERT CAMUS,06079,MANDELIEU LA NAPOULE,public,111.6,34.7,106.5,,35.0,43.538882355714094,6.920106381198643
2021-2022,NICE,006,ALPES-MARITIMES,0061209G,COLLEGE JEAN COCTEAU,06011,BEAULIEU SUR MER,public,115.0,34.1,111.7,,33.6,43.70334938065307,7.328110250849296
2021-2022,NICE,006,ALPES-MARITIMES,0061738G,COLLEGE SAINT EXUPERY,06123,SAINT LAURENT DU VAR,public,114.6,37.0,108.6,,35.6,43.66622890582984,7.185519730137099
2021-2022,NICE,006,ALPES-MARITIMES,0061826C,COLLEGE FRANCOIS RABELAIS,06057,L ESCARENE,public,105.1,30.5,101.9,,30.3,43.84096574757061,7.352120437952709
2021-2022,NICE,006,ALPES-MARITIMES,0061924J,COLLEGE LES MIMOSAS,06079,MANDELIEU LA NAPOULE,public,111.1,35.3,109.2,,34.8,43.56409837463051,6.939889425260129
2021-2022,NICE,006,ALPES-MARITIMES,0061925K,COLLEGE NIKI DE SAINT PHALLE,06152,VALBONNE,public,144.6,29.3,143.5,,30.5,43.647871793887376,7.045729551366508
2021-2022,NICE,006,ALPES-MARITIMES,0061986B,COLLEGE DE SAINT VALLIER DE THIEY,06130,SAINT VALLIER DE THIEY,public,109.9,33.9,115.7,,34.4,43.697796392674825,6.853850352686607
2021-2022,GRENOBLE,007,ARDECHE,0070012A,COLLEGE VALLEE DE LA BEAUME,07110,JOYEUSE,public,105.4,31.5,103.0,,30.4,44.48049965376543,4.23462750081875
2021-2022,GRENOBLE,007,ARDECHE,0070018G,COLLEGE JOSEPH DURAND,07161,MONTPEZAT SOUS BAUZON,public,104.6,31.0,110.8,,30.6,44.71080314976159,4.20989131885131
2021-2022,GRENOBLE,007,ARDECHE,0070086F,COLLEGE PRIVE SAINT JOSEPH EN VAL D AY,07309,SATILLIEU,privé sous contrat,97.3,28.0,92.9,,28.2,45.15163339834458,4.616840391393916
2021-2022,GRENOBLE,007,ARDECHE,0070846G,COLLEGE GEORGES GOUY,07331,VALS LES BAINS,public,99.4,32.0,102.3,,31.1,44.66851761567125,4.3640572228037335
2021-2022,GRENOBLE,007,ARDECHE,0070860X,COLLEGE PRIVE MARIE RIVIER,07042,BOURG SAINT ANDEOL,privé sous contrat,110.8,34.4,107.3,,33.7,44.37428725104903,4.643789809808278
2021-2022,GRENOBLE,007,ARDECHE,0070863A,COLLEGE PRIVE SAINT JOSEPH,07201,RUOMS,privé sous contrat,106.5,30.2,103.9,,28.8,44.4494494656227,4.344460568473494
2021-2022,GRENOBLE,007,ARDECHE,0071168G,COLLEGE PRIVE CHARLES DE FOUCAULD,07129,LAMASTRE,privé sous contrat,93.9,27.4,94.0,,27.0,44.98511168476998,4.584419934777967
2021-2022,REIMS,008,ARDENNES,0080016Z,COLLEGE MARIE HELENE CARDOT,08145,DOUZY,public,94.1,31.7,90.4,,33.9,49.675068478551374,5.041700120954187
2021-2022,REIMS,008,ARDENNES,0080052N,COLLEGE CHARLES BRUNEAU,08487,VIREUX WALLERAND,public,94.6,34.4,95.6,,36.8,50.08746773503569,4.728219397754219
2021-2022,REIMS,008,ARDENNES,0080084Y,COLLEGE PRIVE SAINT JEAN BAPTISTE DE LA SALLE,08105,CHARLEVILLE MEZIERES,privé sous contrat,118.5,33.2,118.9,,34.0,49.7692393234768,4.716170200956684
2021-2022,REIMS,008,ARDENNES,0080827F,COLLEGE LES DEUX VALLEES,08302,MONTHERME,public,86.0,32.6,83.1,,32.0,49.88394560416253,4.745840677210074
2021-2022,REIMS,008,ARDENNES,0080829H,COLLEGE JEAN DE LA FONTAINE,08105,CHARLEVILLE MEZIERES,public,91.8,36.0,91.4,,39.4,49.77893503560025,4.702133513795399
2021-2022,REIMS,008,ARDENNES,0080949N,COLLEGE GEORGE SAND,08363,REVIN,public,84.9,33.6,88.1,,34.0,49.93458688259741,4.646499964728705
2021-2022,REIMS,008,ARDENNES,0081096Y,COLLEGE DE L ARGONNE,08198,GRANDPRE,public,89.1,32.9,93.0,,33.7,49.34388087742119,4.870819879334476
2021-2022,REIMS,008,ARDENNES,0081097Z,COLLEGE PAUL DROUOT,08490,VOUZIERS,public,95.0,37.1,92.2,,35.6,49.40352107439829,4.6957693605490025
2021-2022,REIMS,008,ARDENNES,0081104G,COLLEGE SIGNY L ABBAYE,08419,SIGNY L ABBAYE,public,98.2,32.6,93.1,,36.4,49.69872902489421,4.419959430199951
2021-2022,TOULOUSE,009,ARIEGE,0090012P,COLLEGE GASTON FEBUS,09185,MAZERES,public,107.9,34.8,102.2,,32.9,43.24431176368251,1.6777696816687049
2021-2022,TOULOUSE,009,ARIEGE,0090023B,COLLEGE DU GIRBET,09282,SAVERDUN,public,104.7,33.0,107.5,,33.5,43.239711488319806,1.5731299998550077
2021-2022,TOULOUSE,009,ARIEGE,0090025D,COLLEGE JULES PALMADE,09285,SEIX,public,104.1,33.7,94.3,,34.8,42.8642079613663,1.2047604660036495
2021-2022,TOULOUSE,009,ARIEGE,0090037S,COLLEGE PRIVE JEAN XXIII,09225,PAMIERS,privé sous contrat,106.7,32.8,99.1,,31.9,43.10796396546815,1.6183799951360411
2021-2022,REIMS,010,AUBE,0100054E,COLLEGE PRIVE SAINT JOSEPH,10323,ROMILLY SUR SEINE,privé sous contrat,117.1,29.5,109.4,,31.5,48.52096996577281,3.729120604344924
2021-2022,REIMS,010,AUBE,0100664T,COLLEGE PAUL LANGEVIN,10362,SAINTE SAVINE,public,107.7,36.3,109.2,,36.0,48.29844510675619,4.042640421713391
2021-2022,REIMS,010,AUBE,0100786A,COLLEGE JEAN JAURES,10268,NOGENT SUR SEINE,public,94.3,34.4,96.2,,34.1,48.49351095382592,3.5041005707092885
2021-2022,REIMS,010,AUBE,0100806X,COLLEGE D OTHE ET VANNE,10003,AIX VILLEMAUR PALIS,public,97.1,34.9,95.3,,33.8,48.22179842108624,3.742430554062383
2021-2022,REIMS,010,AUBE,0100807Y,COLLEGE PIERRE BROSSOLETTE,10081,LA CHAPELLE SAINT LUC,public,82.7,33.5,77.7,,33.6,48.30525848042421,4.033710433120712
2021-2022,REIMS,010,AUBE,0100961R,COLLEGE PRIVE SAINT FRANCOIS DE SALES,10387,TROYES,privé sous contrat,126.5,34.4,129.7,,35.0,48.2955040579674,4.074279821855971
2021-2022,REIMS,010,AUBE,0100962S,COLLEGE PRIVE SAINT BERNARD,10387,TROYES,privé sous contrat,129.1,31.1,127.7,,31.6,48.29661736009231,4.070580603218747
2021-2022,MONTPELLIER,011,AUDE,0110010B,COLLEGE ANDRE CHENIER,11069,CARCASSONNE,public,96.3,37.2,98.3,,37.5,43.21227879537586,2.349310082875352
2021-2022,MONTPELLIER,011,AUDE,0110021N,COLLEGE VICTOR HUGO,11262,NARBONNE,public,91.9,34.8,88.5,,34.9,43.18780519341794,3.006150016337126
2021-2022,MONTPELLIER,011,AUDE,0110676A,COLLEGE SAINT EXUPERY,11049,BRAM,public,105.6,32.5,92.4,,34.5,43.239179989872014,2.110860562859487
2021-2022,MONTPELLIER,011,AUDE,0110721Z,COLLEGE ANTOINE COURRIERE,11115,CUXAC CABARDES,public,108.3,32.9,101.4,,34.0,43.36187125962498,2.2658004110177257
2021-2022,MONTPELLIER,011,AUDE,0110788X,COLLEGE MONTESQUIEU,11262,NARBONNE,public,90.4,35.3,90.0,,34.7,43.19340845563399,3.0187296795732736
2021-2022,MONTPELLIER,011,AUDE,0110859Z,COLLEGE JOSEPH DELTEIL,11206,LIMOUX,public,98.3,36.7,99.2,,35.3,43.06418305962561,2.2153096873444653
2021-2022,MONTPELLIER,011,AUDE,0110870L,COLLEGE ANTOINE PONS,11091,CHALABRE,public,98.2,30.6,95.7,,28.1,42.985108904481415,2.004979939508664
2021-2022,TOULOUSE,012,AVEYRON,0120002M,COLLEGE VOLTAIRE,12052,CAPDENAC GARE,public,109.2,34.0,107.0,,34.7,44.573786937526265,2.081049731118863
2021-2022,TOULOUSE,012,AVEYRON,0120004P,COLLEGE JEAN JAURES,12083,CRANSAC,public,92.4,30.0,88.0,,24.0,44.5247234560744,2.282369802041451
2021-2022,TOULOUSE,012,AVEYRON,0120878P,COLLEGE MARCEL AYMARD,12145,MILLAU,public,101.3,34.4,104.0,,34.0,44.0981730560949,3.0734899958875217
2021-2022,TOULOUSE,012,AVEYRON,0121174L,COLLEGE PRIVE SAINT MARTIN,12169,NAUCELLE,privé sous contrat,96.8,30.7,85.7,,26.1,44.19536277389672,2.346510135058061
2021-2022,TOULOUSE,012,AVEYRON,0121213D,COLLEGE CARCO,12300,VILLEFRANCHE DE ROUERGUE,public,98.0,37.4,100.3,,36.6,44.34973604763367,2.0353801237695333
2021-2022,TOULOUSE,012,AVEYRON,0121295T,COLLEGE DE LA VIADENE,12209,SAINT AMANS DES COTS,public,101.8,26.9,101.0,,24.5,44.682273267461646,2.665510181513443
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0130084W,COLLEGE GRANDE BASTIDE,13209,MARSEILLE 9E ARRONDISSEMENT,public,98.8,36.4,113.8,,37.7,43.256046271765534,5.405230541237647
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0130163G,COLLEGE JOSEPH D ARBAUD,13103,SALON DE PROVENCE,public,95.8,35.0,102.2,,34.5,43.625400426206376,5.105299609237648
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131262B,COLLEGE JACQUES PREVERT,13213,MARSEILLE 13E ARRONDISSEMENT,public,65.5,19.5,65.7,,19.0,43.325958622791504,5.432413527640791
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131318M,COLLEGE PRIVE SAINT JOSEPH,13001,AIX EN PROVENCE,privé sous contrat,135.1,33.8,129.0,,34.4,43.53039635336774,5.452970618199416
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131372W,COLLEGE PRIVE SAINT JOSEPH,13215,MARSEILLE 15E ARRONDISSEMENT,privé sous contrat,86.2,26.1,78.2,,25.3,43.33487537990565,5.360389925458443
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131387M,COLLEGE PRIVE ALPILLES DURANCE,13083,ROGNONAS,privé sous contrat,123.1,31.2,119.6,,30.8,43.89917170818379,4.803870231648804
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131548M,COLLEGE SYLVAIN MENU,13209,MARSEILLE 9E ARRONDISSEMENT,public,98.3,38.5,109.9,,40.8,43.257907247058256,5.4120964560492935
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131603X,COLLEGE ADOLPHE MONTICELLI,13208,MARSEILLE 8E ARRONDISSEMENT,public,105.6,40.6,122.3,,40.1,43.2766490842907,5.380973635569391
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131608C,COLLEGE EMILIE DE MIRABEAU,13054,MARIGNANE,public,90.2,33.9,94.1,,34.7,43.40401199625373,5.224930185750121
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131703F,COLLEGE EDOUARD MANET,13214,MARSEILLE 14E ARRONDISSEMENT,public,56.7,17.7,59.6,,16.9,43.33336908225192,5.399634040443975
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131711P,COLLEGE ROCHER DU DRAGON,13001,AIX EN PROVENCE,public,113.5,38.7,122.1,,36.7,43.533367200113865,5.438419962046779
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131756N,COLLEGE DARIUS MILHAUD,13212,MARSEILLE 12E ARRONDISSEMENT,public,89.4,33.6,94.1,,33.1,43.2987330579284,5.411956189934586
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131789Z,COLLEGE HENRI WALLON,13056,MARTIGUES,public,90.8,34.5,97.2,,35.0,43.40886514779652,5.05348994387468
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131885D,COLLEGE VALLON DES PINS,13215,MARSEILLE 15E ARRONDISSEMENT,public,66.9,18.7,63.9,,15.3,43.3713999942096,5.365884347481156
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131922U,COLLEGE LES BARTAVELLES,13210,MARSEILLE 10E ARRONDISSEMENT,public,91.5,30.9,94.1,,31.5,43.28219994446597,5.437244613531648
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0131968U,COLLEGE DES CAILLOLS,13212,MARSEILLE 12E ARRONDISSEMENT,public,84.0,30.9,92.4,,32.7,43.3077499807866,5.447910569929068
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132217P,COLLEGE MONT SAUVY,13067,ORGON,public,95.3,34.1,92.5,,34.4,43.7960920994055,5.031266668352428
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132310R,COLLEGE GYPTIS,13209,MARSEILLE 9E ARRONDISSEMENT,public,106.7,34.8,104.9,,35.2,43.263731391555446,5.422529079769299
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132312T,COLLEGE ANDRE MALRAUX,13213,MARSEILLE 13E ARRONDISSEMENT,public,111.4,35.6,109.7,,36.5,43.34211901459716,5.446154832019906
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132313U,COLLEGE STEPHANE MALLARME,13213,MARSEILLE 13E ARRONDISSEMENT,public,69.2,22.9,63.3,,22.7,43.330958835404665,5.43018344762998
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132318Z,COLLEGE ELIE COUTAREL,13047,ISTRES,public,103.3,32.0,99.7,,32.4,43.505099814219165,4.982029493258294
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132325G,COLLEGE CAMPRA,13001,AIX EN PROVENCE,public,119.8,38.6,117.2,,38.6,43.532209906660974,5.4483193779569135
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132326H,COLLEGE ALBERT CAMUS,13063,MIRAMAS,public,94.1,35.5,87.0,,32.7,43.57503479618511,5.000400538846497
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132404T,COLLEGE CLAIR SOLEIL,13214,MARSEILLE 14E ARRONDISSEMENT,public,61.0,25.0,61.4,,21.3,43.323549135712575,5.385889532583953
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132497U,COLLEGE LA CARRAIRE,13063,MIRAMAS,public,85.3,30.1,88.2,,31.1,43.58227085337761,5.003490518375512
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132913W,COLLEGE PRIVE DE PROVENCE,13208,MARSEILLE 8E ARRONDISSEMENT,privé sous contrat,152.7,20.1,145.1,,23.7,43.25564329302572,5.39526007895514
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0132951M,COLLEGE PRIVE SAINTE TRINITE,13209,MARSEILLE 9E ARRONDISSEMENT,privé sous contrat,126.6,34.8,121.1,,34.9,43.24731494078902,5.407169999887197
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0133287C,COLLEGE LES GARRIGUES,13082,ROGNES,public,120.3,36.6,123.8,,37.4,43.65440207531521,5.326983962979826
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0133381E,COLLEGE LE PETIT PRINCE,13043,GIGNAC LA NERTHE,public,113.4,35.9,110.3,,36.7,43.38869573591683,5.227304917570506
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0133449D,COLLEGE PIERRE MATRAJA,13104,SAUSSET LES PINS,public,116.0,39.1,121.8,,37.6,43.33874896704455,5.101543094031151
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0133621R,COLLEGE FRANCOISE DOLTO,13089,SAINT ANDIOL,public,108.8,34.9,102.4,,36.4,43.82172785383683,4.948129794161241
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0133775H,COLLEGE MARIE LAURENCIN,13214,MARSEILLE 14E ARRONDISSEMENT,public,66.7,21.3,61.4,,20.6,43.32037096854043,5.38785964493626
2021-2022,AIX-MARSEILLE,013,BOUCHES-DU-RHONE,0134245U,COLLEGE NOTRE DAME,13063,MIRAMAS,privé sous contrat,116.0,29.6,,,32.1,43.5879787995529,4.999737358043085
2021-2022,NORMANDIE,014,CALVADOS,0140024A,COLLEGE VILLEY DESMESERETS,14118,CAEN,public,106.5,41.0,103.1,,41.5,49.17244888520429,-0.3518098735749924
2021-2022,NORMANDIE,014,CALVADOS,0140041U,COLLEGE QUINTEFEUILLE,14191,COURSEULLES SUR MER,public,113.7,33.5,114.6,,35.0,49.32946034112496,-0.4461604118162351
2021-2022,NORMANDIE,014,CALVADOS,0140072C,COLLEGE JEAN CASTEL,14020,ARGENCES,public,100.4,30.6,96.6,,31.9,49.1235441494666,-0.1676401374589421
2021-2022,NORMANDIE,014,CALVADOS,0140073D,COLLEGE LOTTIN DE LAVAL,14478,ORBEC,public,90.9,28.2,89.8,,27.8,49.02753607389474,0.4095298822647166
2021-2022,NORMANDIE,014,CALVADOS,0141167T,COLLEGE PRIVE SAINTE TRINITE,14258,FALAISE,privé sous contrat,97.4,30.1,104.5,,30.8,48.898250405851975,-0.1976906082205201
2021-2022,NORMANDIE,014,CALVADOS,0141168U,COLLEGE PRIVE NOTRE DAME,14333,HONFLEUR,privé sous contrat,102.9,38.3,96.7,,37.1,49.41834719767507,0.2324101345213763
2021-2022,NORMANDIE,014,CALVADOS,0141171X,COLLEGE PRIVE NOTRE DAME,14478,ORBEC,privé sous contrat,93.7,30.0,88.7,,33.0,49.02457783597308,0.4053996753896189
2021-2022,NORMANDIE,014,CALVADOS,0141212S,COLLEGE PRIVE SACRE COEUR,14118,CAEN,privé sous contrat,112.0,30.2,107.9,,31.2,49.17519648396809,-0.3387500799563024
2021-2022,NORMANDIE,014,CALVADOS,0141257R,COLLEGE DU VAL D AURE,14342,ISIGNY SUR MER,public,83.6,27.3,79.7,,30.6,49.31870397951404,-1.104999863147956
2021-2022,NORMANDIE,014,CALVADOS,0141268C,COLLEGE GUILLAUME DE NORMANDIE,14118,CAEN,public,82.6,32.3,87.3,,33.4,49.16098458295274,-0.3469606119626238
2021-2022,NORMANDIE,014,CALVADOS,0141271F,COLLEGE JEAN MONNET,14488,OUISTREHAM,public,115.0,35.8,116.7,,37.1,49.28038085606663,-0.2554403787985049
2021-2022,NORMANDIE,014,CALVADOS,0141315D,COLLEGE PIERRE SIMON DE LAPLACE,14366,LISIEUX,public,77.0,28.2,68.6,,22.6,49.14414975677629,0.2474594275490992
2021-2022,NORMANDIE,014,CALVADOS,0141363F,COLLEGE NELSON MANDELA,14327,HEROUVILLE SAINT CLAIR,public,82.1,28.7,85.8,,29.5,49.20100436243072,-0.3449601891531859
2021-2022,NORMANDIE,014,CALVADOS,0141596J,COLLEGE JEAN MOULIN,14118,CAEN,public,116.8,37.2,114.9,,36.5,49.18086664317881,-0.4089604419400233
2021-2022,NORMANDIE,014,CALVADOS,0141597K,COLLEGE FERNAND LECHANTEUR,14118,CAEN,public,97.8,41.5,103.8,,41.6,49.200625482965926,-0.3545699172387487
2021-2022,NORMANDIE,014,CALVADOS,0141763R,COLLEGE ANDRE MAUROIS,14220,DEAUVILLE,public,109.3,32.4,108.3,,33.1,49.36355137508824,0.0753699819847848
2021-2022,NORMANDIE,014,CALVADOS,0141765T,COLLEGE ALPHONSE ALLAIS,14333,HONFLEUR,public,105.6,33.1,99.4,,33.7,49.40097572518852,0.2367405489813525
2021-2022,NORMANDIE,014,CALVADOS,0141812U,COLLEGE PRIVE SAINT LOUIS,14117,CABOURG,privé sous contrat,104.5,31.4,102.8,,30.0,49.27412274122744,-0.1190704228666612
2021-2022,NORMANDIE,014,CALVADOS,0141863Z,COLLEGE PRIVE MARIE JOSEPH,14715,TROUVILLE SUR MER,privé sous contrat,124.8,33.0,123.7,,32.3,49.37099079728799,0.114730188751632
