id_circo,nom,groupe_sigle,parti_ratt_financier
69008,Nathalie Serre,LR,Les Républicains
30002,Nicolas Meizonnet,NI,Rassemblement national
75014,Sandra Boëlle,LR,Les Républicains
ZD001,Philippe Naillet,SOC,Parti socialiste
61001,Chantal Jourdan,SOC,Parti socialiste
83003,Edith Audibert,LR,Les Républicains
91002,Bernard Bouley,LR,Les Républicains
75012,Marie Silin,LREM,La République en Marche
52001,Sylvain Templier,LREM,La République en Marche
76005,Gérard Leseul,SOC,Parti socialiste
78011,Philippe Benassaya,LR,Les Républicains
49003,Anne-Laure Blin,LR,Les Républicains
68001,Yves Hemedinger,LR,Les Républicains
94009,Isabelle Santiago,SOC,Parti socialiste
ZD002,Karine Lebon,GDR,Parti communiste français
13001,Julien Ravier,LR,Les Républicains
80005,Grégory Labille,UDI,"Union des démocrates, radicaux et libéraux"
81001,Muriel Roques-Etienne,LREM,La République en Marche
62003,Emmanuel Blairy,NI,
75011,Maud Gatel,MODEM,Mouvement Démocrate
30005,Catherine Daufès-Roux,LREM,La République en Marche
62010,Myriane Houplain,NI,Rassemblement national
28003,Luc Lamirault,AE,Mouvement Démocrate
74003,Christelle Petex-Levet,LR,Les Républicains
37003,Sophie Métadier,UDI,"Union des démocrates, radicaux et libéraux"
60001,Victor Habert-Dassault,LR,Les Républicains
