code_commune,code_dep_min,MACRON,LE PEN
76004,76,138,189
33004,33,600,798
01004,01,3080,2609
45004,45,3356,2604
72004,72,166,141
05004,05,398,306
37004,37,139,114
03004,03,63,68
15004,15,126,132
77004,77,80,89
46004,46,85,39
85004,85,1033,970
86004,86,165,78
40004,40,726,439
36004,36,87,121
06004,06,20155,16897
23004,23,150,143
32004,32,41,45
90004,90,130,163
13004,13,12203,12039
41004,41,71,93
56004,56,641,426
92004,92,28171,5984
82004,82,37,52
84004,84,1345,1733
87004,87,45,13
31004,31,1055,538
29004,29,1643,1344
94004,94,3563,1653
22004,22,1292,1243
17004,17,119,51
38004,38,321,308
63004,63,497,387
66004,66,285,211
83004,83,1618,2313
67004,67,416,485
35004,35,1071,1009
64005,64,190,155
25005,25,15,42
62005,62,185,342
78005,78,5366,2623
60005,60,159,245
54005,54,42,37
80005,80,15,25
34005,34,101,56
02005,02,97,142
16005,16,385,367
30005,30,95,53
70005,70,33,45
73005,73,56,60
27005,27,310,359
79005,79,929,857
21005,21,349,421
52005,52,4,18
11005,11,309,454
31005,31,100,94
2B005,2B,6,3
07005,07,480,300
81005,81,153,169
09005,09,44,53
08005,08,55,31
26005,26,523,556
88005,88,64,73
17005,17,74,56
19005,19,1119,1013
47005,47,158,134
51005,51,40,43
38005,38,344,208
59005,59,1101,996
24005,24,100,118
43005,43,69,59
65005,65,156,127
74005,74,1461,1091
04005,04,42,30
18005,18,301,266
28005,28,181,225
67005,67,276,214
71005,71,93,63
10005,10,51,88
55005,55,24,14
58005,58,60,68
69005,69,151,181
01005,01,451,503
76005,76,800,611
68005,68,683,340
72005,72,284,194
89005,89,161,257
33005,33,5472,2819
45005,45,62,68
53005,53,788,470
42005,42,2579,1801
15005,15,104,126
46005,46,114,77
86005,86,151,183
66005,66,142,90
77005,77,857,702
85005,85,376,204
37005,37,123,139
63005,63,97,112
48005,48,99,85
61005,61,85,81
32005,32,107,96
40005,40,88,34
35005,35,82,67
03005,03,64,66
36005,36,1060,999
23005,23,43,48
83005,83,90,155
56005,56,1297,476
06005,06,54,69
13005,13,10284,11370
82005,82,349,407
93005,93,16811,6746
87005,87,321,271
84005,84,60,76
90005,90,117,138
29005,29,520,290
22005,22,313,231
44005,44,2134,1645
14005,14,530,452
64006,64,175,76
57006,57,186,365
62006,62,94,114
78006,78,285,181
25006,25,25,27
80006,80,76,60
54006,54,180,103
39006,39,137,97
34006,34,70,85
70006,70,271,507
30006,30,1039,1824
73006,73,1498,1061
21006,21,24,41
02006,02,49,114
27006,27,59,37
2A006,2A,576,1028
11006,11,29,25
31006,31,85,70
07006,07,46,46
81006,81,82,61
08006,08,60,99
17006,17,77,72
24006,24,65,62
38006,38,1150,801
26006,26,854,623
19006,19,47,19
47006,47,159,186
51006,51,43,46
09006,09,21,13
52006,52,43,149
74006,74,552,412
04006,04,146,233
43006,43,50,59
12006,12,158,78
67006,67,55,82
71006,71,86,31
14006,14,389,218
88006,88,69,107
01006,01,45,27
76006,76,51,54
59006,59,59,72
50006,50,39,43
28006,28,588,515
69006,69,1281,1129
65006,65,92,79
89006,89,51,57
33006,33,147,303
15006,15,239,190
46006,46,87,107
58006,58,50,86
18006,18,60,71
66006,66,39,64
86006,86,179,146
63006,63,55,44
42006,42,132,98
85006,85,508,459
77006,77,285,236
10006,10,540,699
45006,45,480,265
40006,40,200,230
03006,03,134,191
61006,61,3122,2305
36006,36,1288,950
35006,35,1854,751
23006,23,82,60
37006,37,974,644
83006,83,54,144
72006,72,612,395
06006,06,691,718
44006,44,651,428
56006,56,458,369
13006,13,405,572
84006,84,33,5
41006,41,98,142
82006,82,25,26
90006,90,75,74
87006,87,61,64
93006,93,8503,2134
22006,22,65,49
68006,68,374,344
29006,29,1710,762
05006,05,607,425
60006,60,253,379
62007,62,265,153
57007,57,32,41
25007,25,18,36
60007,60,859,911
64007,64,323,235
78007,78,499,142
34007,34,104,134
70007,70,70,90
54007,54,120,206
21007,21,61,55
73007,73,240,411
02007,02,41,43
2B007,2B,49,57
11007,11,20,34
07007,07,288,270
39007,39,41,43
24007,24,147,136
09007,09,21,15
79007,79,188,125
47007,47,60,47
16007,16,120,127
81007,81,20,17
19007,19,237,205
30007,30,8182,7659
74007,74,792,563
14007,14,42,86
31007,31,12,28
12007,12,52,37
55007,55,75,76
26007,26,54,44
51007,51,250,282
